Year,January,February,March,April,May,June,July,August,September,October,November,December
1948,3,0,10,11,21.3,100.9,58.5,81.5,121.7,120,0.2,0
1949,4.7,14.6,1.5,24.8,33,60.8,105.4,55.1,113.8,30.4,0.5,17.4
1950,0,4.2,56.9,7.2,52.3,34.3,31.9,62.2,46.2,121.8,15,0
1951,0,0,17.9,50.5,49.7,145,31.5,219.2,293.5,85,0,0.3
1952,1.5,1.7,6.5,64.5,24.6,64.8,77.1,3.4,149.7,3,8.7,2.5
1953,0,10.5,28.6,5.5,14.6,34.5,43.5,174,24,57,0.3,19.1
1954,25.3,3,0,30,21.5,58,94.6,68,81.5,200.6,19.6,1.5
1955,1,11.6,0.2,0.7,28.5,19.3,156.7,119.4,288.3,33.3,13,4.5
1956,0,8.1,4.2,67.5,76.7,469,57.5,88,90,,23.7,7
1957,4,22.8,11.5,35.3,96,89.1,3,71,92.6,49.1,6,8
1958,22.5,28.8,8.9,18.7,64.2,93.2,30.5,81.8,89.4,184.6,45.8,25.1
1959,29.8,43.7,14.5,42,28,135.3,91.7,48.6,76.4,112.4,7.6,13.2
1960,1.5,5,,,18.9,62.1,83.6,110,183.1,31.4,20.2,24.7
1961,16,9.1,32.8,12.1,13,188.3,63.3,171.5,129.4,13.4,0,0
1962,0,0,2.8,24.6,,139.4,0,78.9,144.4,17,23.5,22.5
1963,0,8.8,5.8,9.4,26.3,28.1,81.9,11.6,246.8,45.9,22.5,44.5
1964,20.8,9.3,16,,130,61.3,26.6,45.2,161.1,70.2,20,15.6
1965,13.8,17.7,15.7,57.5,25.6,63.4,28.8,111.2,,34,19.6,56.3
1966,101.8,34.8,26.4,38.4,85.8,151.4,40.1,100.5,117.9,159.2,15.7,0
1967,35.4,24.4,61,7,8.9,66,51.9,225.7,221.1,45.2,26.6,0
1968,9.1,32.5,28.5,99.1,55.7,34.2,44.3,67.7,121.2,86.2,11.9,12.7
1969,28,22.2,2.3,41.1,39.7,77.7,52.5,211.6,127,37.5,55.8,12.7
1970,10.6,24.9,4.5,4,71,76.7,125.5,91.7,176.1,13.5,0.7,1
1971,10.2,0,2,5.7,77.2,118.9,82,152.3,110.7,71.6,6.7,8.2
1972,10,12.7,100.1,9.4,66.4,173.7,104.1,9,71.5,24.1,15.8,2.5
1973,53.4,23.5,3,29.4,38.9,248,79.4,201.3,186.1,96.5,1.3,2.5
1974,3.2,0,24.4,49.5,31.8,97.8,32,19,168.3,21.5,4,2.3
