Year,January,February,March,April,May,June,July,August,September,October,November,December
1981,47.5,2.7,66,99,207.3,49.3,7,93.5,35,154.5,0,4.1
1982,1.5,20,5.5,58,183.5,25.5,,0,10.4,99,4,
1983,12,54.5,4.5,0,59.5,37.5,6.5,21.5,14.5,36.5,34,6
1984,46.4,0,,,137,10,92,,,,,
1985,56,20,29.5,176,79,113.5,6.3,0,19,110,,0
1986,15.5,10,0.1,43.5,41,153,,0,29,57,,78.5
1987,14,72.5,5.8,39,88.4,0,127,89,0,15.5,17,5
1988,4,24,5,6,9,6,93,74,124,95,0,2
1989,48,17,11,10.5,2,75.5,7,46.5,0,6,16,38
1990,28,87.5,19,16,20,0,105.5,9.5,95.5,42,28,2
1991,21.5,44.5,4.5,28,57,51.7,1,16,97,0,6,71
1992,104.5,20,7.5,210,120,30.5,33,32,85,13.5,29,24.5
1993,,,,,80,93,,0,56,34.5,8.5,4
1994,10.5,9,67,10.5,90.8,51,91,38,66,7.5,6,46.5
1995,5,17.5,14.5,4,58,82,1,50,105,11,67.5,12.5
1996,0,1,0,,,3,59,138.5,33.5,34.5,25,11
1997,,37.5,99,67,70.5,53,20,11,27.5,83,39.3,8.5
1998,1,36.5,28,1,0,22,0,30,57.5,68.5,43,4.5
1999,0,0.5,20.5,2,104,68,19,99,40,10,0,4
