Year,January,February,March,April,May,June,July,August,September,October,November,December
2000,7,2,1,20.5,44,90,3,36.5,31,153,9,5
2001,16,12,12,31.5,52,40.5,20.5,87.5,168,10.5,5,0
2002,7,23,0,60,86,93,76,57,111,94.5,12.5,9
2003,33,22,15,12,25,89.5,45,85,113.5,55,0,1.5
2004,14,16,47.5,5,26.5,42,48,88,75.5,64,1,1
2005,0,62,34.5,19.5,41.5,2.5,82.5,41,81,43.5,0,8
2006,5,0,12.5,27,57,13.5,60,58,115.5,28,9,
2008,2,3,14.5,35,89,28.5,40.5,106.5,97,6.5,0,0
2009,,,,,,,,14,121.5,17.5,0,
2010,12,73,3.5,51,22,165,208,2,70,1,0,0
2011,20,0,0,0,7,113,53,20,46,14,18,0
2012,14,113,21.5,0,33,23,53,38.5,14,24,19.5,0
2013,74,0,0,21.5,43.5,32.5,83.5,56.5,294.5,27,32.1,131.3
2014,54,17.5,77.5,32,93.5,135.5,142.5,22.5,180.5,37.9,72.6,8.3
2015,24.5,35,111,117,94.5,76.3,5.4,90.2,75.2,116.5,2,10.5
2016,62,10,57.5,29.4,62.5,56.1,53,74.8,28.8,58,61.3,10.5
2017,9.5,12,40.2,19,34.5,51,92.5,88,145.7,94,6,15
2018,36,20,5,103.5,62.5,80,12.5,9.5,218,31.5,25,6.5
