Year,January,February,March,April,May,June,July,August,September,October,November,December
1973,27,62.6,2.3,27.7,43.5,803.6,174.8,375.8,202.8,62,41.8,15.4
1974,29.5,0,50.7,13.8,128,176.2,47,35.1,180.2,43,5.4,10.9
1975,7,27,7.8,30.7,38.3,20.8,344.4,163.7,261.8,42.6,6.4,28.4
1976,3.6,0.3,51.2,89.3,54.1,85.1,445.5,153,274.8,50.6,138,22.9
1977,18.3,21.6,10.8,56.4,58.4,51.4,32.3,187.3,213.4,192.9,7.7,1.4
1978,17.9,14.7,4.2,44.9,117,134.2,31,344.6,592.9,218,19,9
1979,5.5,3.9,48,55.1,54.7,221,113.7,93.8,249.9,0,18.6,120.5
1980,8.8,14.4,6,32.2,54.3,23.9,50.6,255.1,190.9,185.3,32.5,13.4
1981,76.4,23.3,19.5,166.2,118.5,331.9,45.6,107.7,195.3,30.8,0.8,0.7
1982,0,14.1,18.3,95.6,81.8,6.9,6.6,15,207.7,272.8,10.2,42.1
1983,41,48.2,42.1,0,213.7,10.3,198.5,167.2,342.4,85.8,2.8,5.9
1984,131.9,8.6,,,263.5,49.8,77,,,,,
1985,40.3,13.8,19.8,109,74.3,141.9,3,33.1,157.5,150.6,3.6,2.8
1986,0,2.4,4.9,32.2,173.5,155.9,7,85.7,,,55.9,75.6
1987,28.8,54.9,19.4,60.3,70,191.1,101.5,65.3,204.1,65.1,7.4,1.6
1988,45.7,11,4.1,32.8,84.3,129.5,85.5,197.1,424.8,18.5,0.2,3.1
1989,12,8.7,2.6,35.7,2.1,55.2,,64.9,281.3,105.5,7.5,
1990,12.7,18.3,48.4,114.9,78.8,74.1,,108.6,250.1,205.2,16.8,2.1
1991,,24.1,24.7,51.9,86,153.3,23.3,27.3,347,20.5,15.5,72
1992,,21.9,12.2,143,91.8,8.6,5.5,191.3,137.5,77.3,33.7,
1993,11.5,27,33.7,,,384.5,15.6,120.1,479.3,40.1,25.2,17.9
1994,,24.3,47.7,4,44,122.1,64.8,262.3,251,53.8,28.1,24.3
1995,,,,,129.6,151.9,84.5,635.9,72,20,,
1996,12,3.7,4.3,13.3,10.4,96,22.5,377.7,87,206.4,5.9,0.5
1997,15.5,32.8,93,124.6,105.1,43.1,20.8,107.4,162.1,216.4,39.6,6.5
1998,0,7.8,16.7,8.9,1.3,52.7,60.1,168.5,387.8,156.2,61.3,6.6
1999,0,0,18.4,25.5,40.3,240.4,175.1,51,174.9,48.1,0.4,
2000,18,32.1,12.4,58.6,172.7,193.1,6.2,165.6,201.3,323.4,36.4,17.1
2001,20.1,39.5,34.6,36.7,57,114.9,179.1,92.6,422.1,156.2,80.6,
2002,1.8,8.1,19.3,17,3.5,65.2,79.6,63,575.9,292,23.1,
2003,132.6,23.6,4.8,22.2,129,175.2,76,164.1,583.1,228.5,26.6,
2004,5.3,17.8,167.6,115.2,22.6,85.2,75.6,97.8,494.8,104.4,22.2,2
2005,35.3,99.6,30.9,15.7,111.1,13,545.7,85.3,84.5,341.4,21.9,12.3
2006,0,17.4,12.9,10.7,39.4,127,109.2,80.8,230.1,35.6,38.8,73.7
2008,12.4,3.1,38.6,26.2,93.8,11.3,202,205.5,573,137.2,2.2,8.4
2009,20.7,11,14.9,12.8,57,6.1,37.9,97.9,261.2,47.2,63.9,36.1
2010,29.7,24.1,32.6,165.1,47.4,386.1,618.5,26.3,737.1,17.2,0,0
2011,18.1,0,8.9,7.6,14.8,190.2,83.5,82.3,26.1,177,3.3,25.9
2012,11.7,49.4,15,26.8,50.2,112,55.9,108.2,225.5,71.1,57.8,15.6
2013,26.6,0,26.6,32.3,126.6,12.7,104.2,122.6,636.3,47.6,157.9,100.5
2014,10.2,15.2,30.2,16.2,45.8,25.1,23.8,140.3,585.3,332,61.8,61
2015,34.4,111.3,125.6,40.4,173.9,173.3,0,36.9,178.6,89.3,23,4.8
2016,36.3,1.9,23,70.7,56.4,64.9,55.5,322.3,136.2,0,110.9,96.8
2017,21.2,1.9,92.3,35.4,107.4,28.7,10.5,22.2,359.3,187.2,5.3,55.31
2018,19.5,45,1.8,109.6,20.6,69.9,137.6,8,462.1,44.6,28.5,32.2
