Year,January,February,March,April,May,June,July,August,September,October,November,December
1998,0.1,12.7,24.1,0.4,0,67,7,61.5,270.7,80,46.7,0.2
1999,0,0,3.5,1.1,58.3,150.6,79.5,46.1,83.9,43.5,0,1.6
2000,0.3,23.3,10,15,90,75,0,81,133,124,45,16
2001,1.9,1.9,0.5,32.6,51.7,61.1,81.4,15.7,392.1,193.5,58,0.2
2002,0,0.5,21.1,0.9,0.2,96.3,144.2,54,402.2,195.2,2.5,0.1
2003,106,22.5,0.7,33.7,87.9,173,23.3,163.7,365.7,198,12.7,38.9
2004,1.4,13.7,89.1,223.2,16.4,29,23.6,63.6,406,27,14,0.2
2005,15.3,81.8,30.7,0.7,223.5,1.4,353.4,0.3,77,510.7,0.7,8
2006,0,2.9,1.2,1.8,35.3,0.3,36.9,48.9,,53.5,48,42.9
2008,15.6,6,22.2,19.4,33.8,0.9,140.9,98.9,178.8,,,4
2009,,16.8,20.2,21.6,55.6,9.3,9.2,61.8,238.2,46.7,,37
2010,32.4,21.7,31,270.7,31.3,320.5,433.4,1.1,513.1,8.6,0,0
2011,21.8,0.3,10.5,0,,,,,,,,
