Year,January,February,March,April,May,June,July,August,September,October,November,December
1955,,0,0,0,40.8,11,44,42.5,138.5,21,29,0
1956,0,0,0,40,103,13,62.5,63,68,0,26,3
1957,0,35,9,6,30,,103,52.5,27,32,8,2
1959,33,57.4,4,22.5,41.5,75,143,65,68.5,96.5,14.5,0
1960,8.5,32.5,0,0.9,4.5,52.5,51,193,112,43,48.5,28
1961,19,8,6,14,4.5,20,182,73,56.5,89.5,10.5,0
1962,0,0,0,12.5,5,127,38.5,79.5,51,22,0,0
1963,0,3,20,4,33.5,26.5,38,94.5,146.5,64.5,21.5,22
1964,12.5,0,8,15,77,11,38,28,92.5,16,17,26
1965,7,16,0,32.5,70,,10,31,90,30,35,
1966,78,45,0,11,111,15,7,88,87,48,0,2
1967,18,11,27,0,0,0,31,86,274,0,0,0
1968,0,0,0,7,7,27,25,13,140.6,80,14,2
1969,0,1.8,0,0,23,79,100,158,154,25,40,8
1970,0,24,0,15,36,139,76,62,158,0,0,0
1971,15,0,0,15,78,181,72,148,150,92,11,12
1972,0,0,10,49,24,77,84,40,40,14,24,0
1973,52,0,0,0,18,114,16.4,125,69,19,0,
1974,0,0,22,0,0,0,0,65,186,41,16,9
1975,0,0,18,0,0,30,111,159,87,84,39,36
1976,29,0,5.5,78,92,33,429,128,109,83,123,23.1
1977,57,18,0,18,0,30,37,63,129,54,3,1.5
1978,0,0,9,63,42.5,67,59,93,124.1,121.5,0,15
1979,43,37,25,95,118,93,127.5,193,90,0,3,
1980,25,23,10,38.5,61,108.6,113.9,139,,,10,0
1981,131,26,59.1,136,84.5,177.3,27.8,80.8,89,19,0,0
1982,0,14.2,8.5,100.4,67,5.3,145.5,67.7,83.5,37.1,19.5,22
1983,61,42,9,0,132,33,47,115.3,145,,,0
1984,102.8,54,,,100,98,132.7,,,,,
1985,114.3,19.5,18.5,127,76,171.1,39,25,119,76,,0
1986,0,64,0,85,77,173,32.8,132,317,118,62,59
1987,67,63,9,64,164,195.3,113,144.3,48.8,,12.3,40
1988,70,2.3,19.5,46.5,30.2,244.5,171.4,384.8,296.9,15.6,6,23
1989,0,0,0,0,20,21,67,,184.1,94.7,93.2,21.4
1990,,,70.1,34.6,50.4,20,201.8,75,119,92.9,0,0
1991,10,19.5,0,0,10.6,97,112.4,149,295.5,46,25.9,70.6
1992,186.3,30,13,49.6,246.9,0,125.8,133.9,68,25.7,40,29.3
1993,,,,,,,,,,,3,5
1994,6.3,0,32.6,11.2,98.3,62.6,106.5,123.9,118.3,47,10,0
1995,14,0,50,0,73,34.2,190.4,267.3,34.3,20.3,4,61.9
1996,10,0,0,0,30,33.4,128.7,342.7,102.2,185,0,60.8
1997,22,17.4,78.6,226,46.3,104,66,59.2,49,86.3,59,2
1998,0,14,0,6,14,109,72,177,266,0,0,0
1999,0,0,0,30,13,97,70,64,101,24,0,0
2000,0,0,21,18,69,81,62,176,83,,,
2001,5,29.5,31,25,31,1,0,10,76,2,0,37
2002,11.5,7,3,40,11,64,275,86,383.3,45,17,31
2003,54,35,16,10,23,65,143,100,213,98,100,45
2004,50,60,112,45,0,174,185,248,183,0,,10
2005,10,60,20,0,67,30,197,87,127,123,,
2006,0,0,0,50,20,65,115,95,50,160,0,65
2008,0.6,0,,,,29,76,276,280,47,8,0
2009,0,0,70,2,81,33,71,48,243,58,68,57
2010,30,40,8,2,64,398,269,12,213.6,21,,
2011,0,0,0,7.1,0,153.1,100,46,27.2,42,,
