Year,January,February,March,April,May,June,July,August,September,October,November,December
1979,11.6,3,9.3,,7,96,4.7,,36.5,0,4,112
1980,0.8,0,1,0,29.7,16,29,300,107,42,24,24
1981,72.5,42,35,,87,104.7,52.4,167.4,23.8,43,0,0
1982,0,,,41.5,133.9,,0,16,58.5,32.5,,56
1983,18,86,19,0,96,,,87.5,51.5,33.5,20,15
1984,155,,112,,68.5,0,24.5,,,,,
1985,47.5,15,11.5,282,67.5,70,12.5,74,9,156.5,0,10
1986,10,,14,72,31,133,0,,130.5,82,0,133.5
1987,62,63,38,12.1,33,154,56,56,236,31,36,8
1988,19,36.5,22,14,43,73,268,258,239,75,0,0
1989,20,24,0,84,36,13,69,225,63,4,11,34
1990,3,32,45.5,34,28,,44,49,136,25,13,0
1991,33,13,7,0,0,89,25,,103.2,6,17,66
1992,155.8,16,7,54,76,40,10,55,105,39,56,17
1993,7,55.4,22,32,35,124,0,0,90,6,25,6
1994,117.4,7,58,23,65,67,55,8,83,16,24,18
1995,22,6,21,9,213,8,45,117,76,27,68,19
1996,3,0,0,27,0,17,4,154,64,51,24,8
1997,13,47,126,141,144,8,0,0,130,201,32,15
1998,0,42,34.5,0,0,14.3,23.5,182,216,92,105.6,0
1999,0,0,45,0,72,96,125,58,104.2,23.6,0,26
2000,39,26,13,63,75,,,,,171,,
2001,,,,,,,37,44,235.3,0,63.3,15.6
2002,0,1.5,0,10.4,29.6,17.7,147,94.4,153.5,92.5,29.9,0.2
2003,28.7,22.5,1.1,73.1,162.1,42.8,39.7,33.5,334.8,300,23.2,26.5
2004,4.1,23,106.5,104.7,29.6,59.5,40,57,365,108.5,28.1,0
2005,8.2,70.8,0.8,14,116.9,0.2,363,0,1.3,217.2,29.1,21
2006,0,1.7,1.5,15.8,3.6,,,60.7,184.3,36.5,0.8,84.9
2008,67.5,19.2,0,15.7,2.9,0.6,221.1,401.5,168.9,1.1,0.9,1.3
2009,31,10.7,1.7,0.9,53.8,39.4,16,44,195.2,87.2,10,52.7
2010,50.4,,22.3,285.5,40.1,316,102.7,18,375.4,0,0,0
2011,7.9,0.1,0.2,0,33.4,44,120,17,76.2,,,
