Year,January,February,March,April,May,June,July,August,September,October,November,December
1977,5.8,0,0,2,0,0,2.4,10.1,140.3,57.9,,
1978,12,10,0,21,14,60,14,73,139.8,74,0,4
1979,2,3,0,3,36,91,5,35,171,0,0,49
1980,0,11,0,0,13,24,48,29,54,59,22,0
1981,36,10,9,36,75,42,33.5,72.9,108.4,42.7,0,0
1982,0,0,0,23,32,18,67,18,34,43,13.5,7
1983,24,16,10,0,47,21,50,29,132,30,0,0
1984,95,0,,,116,3,44,,,,,
1985,9,0,3,34,66,57,0,29,22,34.9,1.4,17.8
1986,0,4,1,15,92.5,30.5,5.5,7,88,28,16.3,42
1987,4,4,10,0,51,29,39,16,183,10,9,4
1988,15,0,33,203,35,18,23,0,343,25,0,2
1989,6,0,0,35,2,18,21,27,163,22,0,56
1990,21,6,32,9,,0,42,62,100,28.5,1,2
1991,4.5,12,0,20.5,38,83,70,12.5,107.5,,0,46
1992,53,7.5,8.5,25.5,52,3,4,39,65.5,15,9.5,9
1993,0,0,9,0,32,81.5,0,5,103.5,14,3.5,0
1994,2,0,19,17.5,38,37.5,12,31.4,63.2,30,2.5,4.5
1995,2,2,4,1,5,0,23,293,22,14,1,18
1996,8,2,3,3,15,22,2,127,26,160,0,0
1997,10,7,,54,79,11,1,9,72,142,16,0
1998,0,4,0,0,2,51,9,156,203,51,0,
1999,0,0,0,5,5,16,40,128,97,30,0,0
2000,0,0,13,10,18,62,3,39,94,145,21,0
2001,1,11,9,4,10,62,4,29,306,30.5,17,1
2002,0,3,5,4,9,77,105,5,93,52,5,1
2003,17,5,24,1,2,13,9,133,232,84,1,5
2004,11,10,35,21,10,91,7,18,112,13,8,0
2005,11,27,11,1,38,5,296,12,57,45,1,2
2006,4,0,5,4,17,21,34,1,142,18,0,49
2008,11,0,1,23,12,0,44,44,270,75,0,3
2009,0,0,3,0,16,13,26,18,64,15,17,4
2010,8,11,8,19,11,225,505.8,13,234,1,0,0
2011,4,0,0,0,2,142,37,26,3,10,0,0
2012,0,24,33,2,18,31,6,62,63.5,38.5,9.7,0
2013,5.7,0,0,11,76.8,13,11.5,55,406.4,8.5,44,53.4
2014,5,0,12.5,0.3,20,30,12.7,60,359.1,77.5,66.5,28
2015,6.3,29.8,86,24,60,19.2,0,22.5,74.3,87.6,0,0
2016,20,0,19.1,58.5,12,43,50,87.3,77.9,30,28.5,6
2017,1,2.8,14.6,38.5,21,13.7,12.5,84,74,80,0,21.5
2018,0,7,0,8,3.5,19,82.9,1,216.5,21.5,0,17.7
