Year,January,February,March,April,May,June,July,August,September,October,November,December
1980,17,,,,,15,0,71.5,108,108,45.5,13
1981,95.8,14,33,170.5,135.2,49.7,13,182.2,132.8,66.6,12.5,
1982,,1.5,14,132.2,56,0,,,151.5,60.5,,47
1983,31.3,13.5,7,0,183,11,141.5,8.5,218.9,43.5,0,11
1984,185,4,0,0,,40.5,86.5,14,213,23.5,11,6.5
1985,41.5,20.5,6,149.5,125,67.5,,,23,92.5,16.5,
1986,0,20.5,15,114.5,264,210,9.5,6,156,,64,142.4
1987,,26,37,40,57.5,,68,22,0,0,8,6
1988,34,9.5,24.5,22.6,65.5,151,79,306.5,466,5.9,7,2.5
1989,0,0,0,75,17,96,40,160,91,36,8,71
1990,42,17,42,44.5,116,17,62,58,139,99,5,4
1991,11,60,21,23,49,140,80,10,201,8,40,63
1992,96.9,10,81.5,100,157,30,3,114,60.5,157,45,25.3
1993,32.5,33,0,41.5,92.5,183.5,0,0,231,32.5,29,45.5
1994,54,19,25,15.5,51,53,71.5,65.5,122.5,40,26,37
1995,19,21,47,4.5,0,107,40,268.5,34.5,81,74.5,20.5
1996,0,1.5,1.5,16,1.5,1.5,0,231,199,83.5,7.5,3
1997,0,,73.5,137.5,106.6,32,1.5,18,107,177.5,9,0
1998,0,11,27,8.1,0,10,25,129.5,264,49.5,35,5
1999,0,0,20,11,53,69,132,2,146,58,7,23
2000,1,13,19,9,87,39,0,73,93,236,20,26
2001,0,7,32,56,47,84.5,88,30,285,101,40,2
2008,17.5,3.2,11,,168.9,25.5,164.1,135.3,400.7,115.3,1.9,7.9
2009,33.6,6.6,14.5,17.5,75.2,50.2,0,38.6,156.3,93.4,92.2,56.5
2010,33.1,31.7,9.2,243.7,52.8,227.9,443.2,68.4,341.2,1.8,0,0
2011,30.2,0,20.1,49.9,12.8,83.2,96,62.2,44.3,51.7,18.1,25.3
2012,5.4,93,11.4,51.4,27.9,95.3,8.8,38.8,113.4,20.7,69.5,4.8
2013,42.4,1.8,21.6,27.5,67.2,98.8,135.2,75.3,420.5,19.5,46.4,147
2014,27.8,10.7,44.7,13.7,113.5,41.1,41.5,54.1,316.4,52.8,66,43
2015,42,47.2,164.3,117.9,109.2,171,5.2,160.2,90,193,22.7,4.8
2016,35.7,0,36.7,32.5,173,56.4,6.8,148.7,91.3,53.6,124.4,12.5
2017,14.7,53.5,71.9,102.8,77.1,53.3,21.1,31.4,103.6,105,3.5,29.5
2018,41.6,18.8,2.2,89.5,78.3,58.2,92,3.5,302.9,55,25.4,14
