Year,January,February,March,April,May,June,July,August,September,October,November,December
1978,,,,,,,,134.5,243,143,2.5,31.1
1979,12,9.5,2,46,29,133,38.3,79,144,1,22,0
1980,2,11.5,5.5,0.2,122,0,36.5,69,67,62.2,50,14.5
1981,106,8,12,134,296.5,179.3,107,79.3,164.7,20.5,0,14
1982,0,31,118.7,82,104.2,43,1,8,69,44.6,12,69
1983,30,28,68,8,155.5,36,99,204,101,43,33,23
1984,124,4,166,31,25.4,31,,,,,,
1985,,25,5,120,204,134,10.3,42,48,31,1,46
1986,3,16,1,50,47,98.6,,,,,,
1998,2,0,16,0,0,41,,97,208,102,34,2
1999,0,0,43,0,45,97,117,19,94,102,1,29
2000,6,5,0,2,129,30,5,40,129,126,5.6,28.6
2001,15.4,13.9,26.9,38.1,13.5,60,44,42.5,313,0,49,5
2002,0,13.5,0,5,24.5,77.5,160.5,25,259,200,5,0
2003,17.5,9.5,26,13,50.5,188,9,159.5,205.5,133,11,0
2004,2,11,43,126,41,48,49,70,177,52,2,9
2005,6,58.5,56,0,81.5,16,318,11,25,207.5,34,21
2006,0,2.5,9,49,43.5,16,59,29.5,245,232.5,30,
2008,2.5,1,12,45,67,25,133.8,123,338,55,20,
2009,11,3,,26,72,61,0,25,111,48,66.5,
2010,15.5,44,8,120.5,87,212,166,36,244,0,0,
2011,28,0,1,,13,94,80,22,2,49,32,
2012,4.5,85,23,134,26,71,78,51,30,45,88,
2013,32,0,6,14,99,91,106,40,376,10,36,
2014,29,13,23,5.1,97,82,29,37,186,42,76,
2015,41.5,39.5,90,31.5,153,70,0,71,36,36,45,
2016,56,0,71,83,141,65,45,50,103,146,21,
2017,21,4,105,88.5,92,56,32,20,229,148,7,
2018,80,55,13,97,109,19,47,0,196,42,15,
