Year,January,February,March,April,May,June,July,August,September,October,November,December
1956,0,0.5,0.8,4,9.5,0,2,8,10,0,0,2
1957,0,19,15,24.5,2,29,0,0,30,20,5,8
1958,17.5,9,3.5,6.5,4,80.5,2.5,22.5,263,100.5,16,8
1959,6,29,0,14.5,58.5,71,42,110,106,43,7,3
1960,10,5,0,15,2,3,,44,25,18,15,38
1961,13,0,0,35,7,12.5,40,49,19,10,5,4
1962,0,,0,16,5,15.5,0,15,66.5,0,8,35
1963,0,3,0,21,30,5,0,0,102,27,10,34
1964,3,7,12,21,29,24,61,41,26,19,52,0
1965,9,6,0,5,28,5,3,8,37,9,26,38
1966,66,17,4,22,117,0,10,38,38,0,14,5
1967,14,6,26,8,0,0,0,188,182,12,16,9
1968,9,32,40,22,61,17,84,100,56,22,0,16
1969,4,9,3,0,0,3,35,68,101,14,32,41
1970,18,38,0,0,32,15,18,0,27,3,0,0
1971,12,0,4,0,24,126,42,25,107,30,0,0
1972,0,33,34,0,57,58,15,27,82,12,22,0
1973,16,34,0,0,9,423.4,0,69,229.8,28,0,0
1974,0,0,0,0,3,43,60,0,26.5,0,0,0
1975,0,0,0,0,0,0,46,184.4,116.8,14.5,0,31.3
1976,4.5,0,3.5,66,42.5,15,204,0,23.6,,133.5,60
1977,17,0,0,9,6,8,0,27,43,2,0,4
1978,6,0,0,4,8,5,0,18,149,,,
1979,0,0,0,0,0,0,6,25,63,0,4.5,84
1980,0,13,0,1.5,25,,58.5,71,9.5,30.5,,
1981,72.5,6.5,23.5,106.5,37.5,31.5,11.8,74,87.5,,,0
1982,0,0,8.8,0,19,40.8,0,20.5,11.2,,,
1983,18.3,11,0,,27,,,0,32.2,7,,0
1984,62,5.2,,,23,0,90.4,,,,,
1985,24.5,3,0,39,73.6,0,0,0,1,15,0,0
1986,,,,11,23,43,,,,,,
1987,0,0,0,0,38,20,10,63,32.5,2,0,0
1988,0,0,0,6,9,15,65,36,72,10,0,0
1989,0,0,0,3,0.3,4,6,40,7,0,22,25
1990,10,3.5,0,0,13,0,0,25,0,100,0,0
1991,0,0,0,0,,0,0,0,26,0,0,13
1992,26,0,0,0,18.1,0.4,0,24.5,1,0,3.5,24.5
1993,5,0,1,0,25,64,9.5,27,68,0,5,4
1994,0,0,0,8,0,0,5,7,17.2,13,0,75
1995,0,0,0,0,1.1,6,7,38,6,6,12,8
1996,5,0,3,0,17.2,17.5,38,44.5,37,37.5,11,0
1997,17,6,43.5,13.5,36,,0,12,0,,,
2001,0,0,0,0,,0,0,0,0,1.4,49,2
2002,0,0,0,3.5,0,9,14,13,150,83,5,0
2003,9,34,11,0,30,18,33,128,32,40.5,0,0
2004,13,10,30,22,0,73,7,32,99,0,,0
2005,0,19,1,0,76,0,96,0,0,23,31,0
2006,7,0,0,10,36,10,,0,56,5,0,44
2008,2,0,0,12,19,0,27,95,85,0,0,0
2009,0,0,0,0,11,0,0,30,8,0,0,0
2010,0,0,0,19.9,0,188,208.9,33,85,19,0,0
2011,3,0,0,0,0,,33,0,30,0,0,0
2012,0,9,0,0,2,0,105,32,71,4,4,0
2013,38,0,0,0,64,32,0,37,127,13,29,39
2014,0,0,0,95,12,7,34,2,54,1,61,27
2015,2,50,62,8,65,5,2,10,0,0,,0
2016,50,0,31,29,,0,0,0,30,15,32,27.3
2017,0,0,51,25,0,0,0,17.5,53.5,50.5,0,52
2018,0,2,2,0,14,34,25,0,45,62,0,32
