Year,January,February,March,April,May,June,July,August,September,October,November,December
1981,42,0,29.8,0,114.9,16.5,41.2,53.4,,,0,0
1982,0,0,2,74,58,0,57,43,90,63,0,16
1983,22,4,28,0,,16,,102,31,14,16,
1984,147,0,,,74,21,19.5,,,,,
1985,4.1,10,13,88,40,61,31,99,27,54,5,37
1986,0,3,1,5.8,7,13,16,12,11.5,,,
1987,,,124.5,42,68,122,,,95,9,7,18
1988,9,8,54,58,50,40,38.2,148,244,9,13,5
1989,1,,0,5,0,61,54,63,64,14,39,40
1990,23,55,43,11,87,6,101,84,124,123,0,0
1991,0,34,0,2,32,53,90,69,47,14.7,0,20
1992,21,12,10,21,116,26,27.3,8.5,18.2,42,40,14
1993,0,4,1,7,33,63,34,3,78,24.3,13,0
1994,26,0,0.7,2,66.5,163,59,48,87,80.4,0,
1995,0,0,35,0,18,17,66,58.5,27,0,0,28
1996,0,11,6,0,0,45.8,9,77.5,34.5,19.5,2,2.3
1997,20.5,14,63,61,50,33,151,211,65,43,0.7,0
1998,0,0,0.4,0.7,8,3.9,2.4,14.9,14.9,5.3,1.4,0
1999,0,1,12.3,0.5,0,33.9,140.8,23.7,32.8,34.3,0,0
2000,11.1,0,5.1,19.3,62.3,163.5,32.1,70.2,40.1,10.1,4,27
2001,0,20,54,20,25,143,53,20,176,33,0,0
2002,3,0,6,46,40,35,74.2,42.3,85.2,60,4,0
2003,24,3.4,23,0,21,95.5,27,215,99,84,0,0
2004,5,12,53,29,23,60.2,31.6,31.3,14.5,15,3,0
2005,0,32,9.9,1.2,14.2,6,129,9.5,23,23.1,0,12
2006,0,,,,,9,42,23.8,36.5,46.3,,31
2007,14.3,4,3,10,51,75.6,37.4,,,,2,0
2008,0,0,0,1,14,12.2,37.5,69.2,51.6,0,0,0
2009,0,0,0,,,,,,41.4,0,45,
2010,,,0,52,71,0,0,0,0,0,0,0
2011,15,0,0,7,0,168,57,5.5,31,7,27,0
2012,2,103,48,7,0,0,8,0,0,0,0.7,0
2013,24.6,0,0,0,0,0,42,52.3,289,16,7,148
2014,29,0,0,0,33,112,0,0,229,19,104,0
2015,24,,0,30,98,72.5,12,40,102,101,0,0
2016,19.9,3,51,20,100.9,65,23,83,14,64,36,4
2017,4,11,41,43,26,31,57.5,113.5,50.5,149,0,16
2018,90,33,2,76,53,109,36,57,219,36,20,4
