Year,January,February,March,April,May,June,July,August,September,October,November,December
1982,,11.2,0,26.5,,,,,11.5,1,18.8,0
1983,28,36,,,,,14,0,71,12.3,1,
1984,8.9,0,0,0,27.8,0,68.5,14,30.9,5,2.4,11.6
1985,0,4.5,0,64,2,27.4,46.2,26.5,63.4,16.4,9.8,
1986,0.3,0,0,5.6,0,112.5,42.8,6.8,20.3,55.5,42.8,0
1987,134.5,46.3,0,0,3,11,,56.6,14,8,18,59
1988,18.5,2,17,26.5,20,115,121.5,152,125.8,20,0,0
1989,18,0,0,26,60,0,92,170,,99,,387
1990,7,48,39,109,207,56,328,583,372,450,0,0
1991,20,70,0,0,160,79.1,90,63,77.2,12,0,57
1992,89,18,8,6,67,25,81,19,33,7.1,31,22
1993,12,0,9,0,21,75,123,25,58,10,17,2
1994,1,0,20,10,15,69,3,91,14,14,0,29
1995,2,0,0,1,21,6,44,37,25,12,3,16
1996,7,3,0,2,18,49,9,46,16,12,6,0
1997,0,10,58,21,23,26,89,35,20,13,21,12
1998,0,9,1,0,0,27,34,26,31,13,13,0
1999,0,0,2,1,2,50,31,14,5,0,0,0
2000,0,0,4,0,28,95,21,53,6,19,19,7
2001,6,14,35,8,10,0,17,6.6,21,14,15,2
2002,2,7,3,7,25,1,86,27,40,41,13,0
2003,4,14,6,0,3,0,0,0,74,56,12,0
2004,5,21,16,9,3,80,57,78,24,24,17,0
2005,5,27,7,2,32,6,83,30,60,16,0,0
2006,35,0,0,1,5,24,11,40,24,8,0,13.2
2007,13,0,3,11,26,31,40,8,9,0,12,0
2008,0,0,0,15,27,20,95,114,10,0,0,0
2009,0,0,9,0,20,56,3,58,37,6,4,28
2010,27,29,5,20,25,10,127,34,59,0,0,2
2011,0,0,0,0,0,0,9,4,14,0,0,0
2012,4,,1,0,4,12,18,2,0,,,
2013,0,0,0,0,34,69,40,13,37,1,25,
2015,0,34,53,3,38,42,31,17,40,53,0,2
2016,0,0,64,35.4,69,21,61,87,2,0,42,11
2017,0,0,12,0,9,0,33.2,23,53,0,0,33
2018,0,0,0,10,9,68,32,40,112,50,0,
