Year,January,February,March,April,May,June,July,August,September,October,November,December
1947,,,,8,32,22.5,61.5,387,40.5,36,11,3.5
1948,8.5,8.5,19,11,52,87.5,69,165.5,197.5,74.5,4.5,0
1949,21.5,26,0,22,48.5,95.5,78.5,111.5,172.5,46,0,25.5
1950,0,8,53.5,16,53,41,61.5,66,58,,0,3
1951,0,0,49.5,24,66,135.5,20.5,143.5,201,107,3.5,0
1952,0,0,0,43,32.5,114,10,15.5,131.5,0,4.5,0
1953,0,12,43,30.5,14.5,48.5,47,190.5,49,145,0,21.5
1954,0,14,0,66,40,44.5,12,52,52.5,208.5,10.5,0
1955,2.5,9,0,0,73,13,136.5,55,185.2,31,27.5,0
1956,0,0,0,21,165,23,101,96.5,83,5,41.5,28
1957,0,22,10.5,14,41,103.5,15.5,80.5,28,25.5,0,4.5
1958,17,19,9.5,12.5,112.5,153.5,52.5,118,115,419.6,43,33
1959,12.5,50.5,4,32,45,83,90,65.5,80.5,71.5,0,12.5
1960,4.5,29.5,0,8,19,34,62.5,132,167,59,43.5,23
1961,8,15,6.5,48.5,4.5,87,76.5,153,127.5,22.5,8.5,0
1962,0,0,0,23.5,55,147.5,0,39,176.5,13,12,17.5
1963,0,0,26,43.5,43,52,49,59.5,170,62,26,21
1964,20,,5.5,19.5,63,40.5,77,58.5,145.5,37,34.5,25
1965,9.5,25.5,4.5,41,33.5,131,57,43.5,118,34.5,34,52.5
1966,81,61,2.5,28.5,108.5,108,49,118.5,168,129.5,0,7.5
1967,33,20.5,43,52.5,7.5,35.5,49.5,271.5,373.5,50,12,2
1968,15.5,19.5,23.5,44.5,29,38.5,71.5,46,119,48.5,9,7.5
1969,4,,2.5,24.5,,49.5,53.5,165.5,117,20.5,46.5,46
1970,19,26,1.5,33,38,107,77,67,154,0,0,0
1971,54.5,0,3,3.5,83.5,113.5,61.5,120.5,164,68.5,12.5,13
1972,4.5,14,31.5,32,67,90,104.5,17.5,63,54,23.5,0
1973,30,38,4,12.5,19,410,38.5,152.5,116,77.5,1,4
1974,31.5,1.5,6,16.5,42,52,7,106.5,301.5,21,7,9
1975,3.5,25,0,2,,73,116.5,155.5,146.5,32,,28
1976,2,0,20,59,55,72,191,123,161,46,110,39
1977,24,1.5,0,34,39,49.5,27,168,333,,17,0
1978,29,27.5,0,56.5,11,32,71.5,152,766.5,18,0,8
1979,15,10,0,21,,115.5,0,63,,,,
1980,1,32,0,7,4.5,67.5,78.5,129,169.5,91,36,0
1981,7,39,2,35,33,143.1,15.5,91.8,150.1,,,
1983,,,,,,,,110,135,21,10,0
1984,172,9,,,166.5,40.6,64,,,,,
1985,39,11,10,92,67,83,7,42,79,49,0,3
1986,0,0,0,0,23,119,12,61,122,82.5,55.5,21
1987,54,38,0,98,145,82,71,40,137,37,11,6
1988,53,0,19,53,46,17,132.5,180.7,452,10,2.5,0
1989,0,0,2,0,5,2,87.5,43,149,45,29,112
1990,0,53.1,,46,15,39,160.5,125,131,63,0,1
1991,0,0,5,15,47,82.5,58,36,123.5,24,71,22
1992,200.2,11,21,28,126,5,28,59,139.5,82,164.5,43.5
1993,5,0,13,14.5,36,167.5,22,62.5,125.5,41.5,30,8
1994,0,0,10,18,65.5,41,61,67.5,89.5,24.6,8,15
1995,0,4,0,0,25,71,23.5,107.5,33,0,0,4
1996,0,0,0,15.5,49,44,11,311.5,15,166,2.5,4
1997,20,8,37.5,63.5,50,,97,73,65,148.8,70.5,15.5
1998,0,0,0,0,15.5,0,,,226,149,0,0
1999,0,0,8.5,0,0,58,16.5,332.5,185,106,2,13.5
2000,35.5,0,14,,27,61,20,,83,83.5,,
2001,6,37.5,32,27,48,48,41.5,135.1,346.2,49,16.3,9.2
2002,0.3,15.1,2.2,20.1,102.9,42.5,96.5,60.3,483.8,159.7,9.5,2.5
2003,61.5,45.1,22.3,10.3,25.3,88.4,68.1,90.6,269,107.8,4.7,9.9
2004,29,28.8,107.3,29.7,50.8,136.1,88.6,172.2,146,40.2,,
2005,,,,,256.6,45.6,439.9,327.2,205.1,142.5,38.5,3.5
2006,7,0,65.6,24.9,22.3,32.6,86.1,79.9,197.5,40.8,1.6,38.2
2008,0.7,0,12,74.5,40.6,0.7,85.6,166.9,326.3,67.1,5,0
2009,0,0,20.6,66,112.7,90,18.6,129,184.3,52.8,100.5,18.7
2010,139,56.1,10,219.5,83.9,446.2,522.5,33.5,367.3,37.5,0,0
2011,0,0,0,0.7,14,115.5,104.9,109.5,38.5,31.5,1,0.8
2012,5,84.2,40.8,6.6,32.8,111.5,70.5,74.8,109.5,25.5,12.5,2
2013,27.5,0,0,2,141.5,97.5,72,157,916,65.5,49.9,96.5
2014,30,6.5,37,19,74,88.5,126.7,85,503.5,71.2,96,16.5
2015,36.5,61.2,109,46,81.5,31.7,15,160.5,71.5,87.5,7.5,0
2016,45,0,29.5,23.7,97.7,88.5,104,110,36.7,161.5,57,21.5
2017,4.5,5.5,52.8,15,39,23.5,49,83,130,113.5,0,66
2018,0,43.7,2,36.9,21,114.7,80.5,29.6,328.3,30.7,8.6,17.5
