Year,January,February,March,April,May,June,July,August,September,October,November,December
1982,0,41,29.3,,,,,,,,,2.5
1983,,,,,,,,,178,85,21,22
1984,188,,0,10,151,37,86,,,,,
1985,,20.5,12,171.5,77.5,134.5,16.5,80,0,120.6,0,0
1986,,19,,,,,,,,120.6,,
1987,134,201,27,29,13.4,29.3,,,,,,4
1988,49,27,51,53,56.5,184,85.6,131.2,174,17,0,0
1989,10,19.1,10,0,0.5,0.5,0,,56.3,14.9,0,7.5
1990,6,8,50,91,45,0,35,9.2,10.8,12.2,1,
1991,23,76,0,69,72,,21,,270,26,38,69
1992,146,25.4,38,57,74.6,14,0,160,85.4,171,35,31
1993,35,29,25.5,27,53.4,262,0,30,217,55,28,18
1994,65,18,52,12,10,118,75,59,188.7,107,35,
1995,18,14,54,0,69,50,,,,,,
1996,10,,0,0,0,67,0,504,80.7,124.5,12.5,0
1997,,34,268,198.5,60,47,0,0,189.3,78.5,28,18.5
1998,1,6,0,0,0,0,1,46,87,49,59,0
1999,0,0,18,0,2,37,24,13,34,15,0,5.5
2000,,41,16.2,14,72,40,20,60,80.5,83.4,19,24.5
2001,12,38,12.5,34,31,37,44.2,21.1,489.3,86.5,86.1,0
2002,0,4.2,10.4,43.7,16,55.9,107.1,62.4,378.4,35,34.3,0
2003,45,20,32,32.1,190.5,148,22,152,558,235,20,57
2004,8.5,5.3,146.2,113,48,32,76,101,280,136,11,2.3
2005,40,82,44,35,77,0,358,3,96,734,17,8
2006,0,15,19,46,86,8,136,106,,,,
2008,12,0,23,68.5,59,20,137,306.87,502.3,112,0,0
2009,28,12,11,3,64,33,2,112,373,189,26,0
2010,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,17,149,48,24,29,52,7,33
