Year,January,February,March,April,May,June,July,August,September,October,November,December
1972,4.5,14.5,,0,157,101,20.5,24.5,22,0,14,2
1973,19,58,0,0,0,104,39,10,57,37,0,1
1974,11,0,46.5,3,16,36,0,8,165,14,17,10
1975,5.5,4,,,,,116,57,116,84,0,0
1976,11,,0,,44,70,219,0,67,77,53,49
1977,18,13,0,0,0,0,8,30,13,104,0,1
1978,0,1,10,0,14,42,47,88,,46,0,4
1979,1,,,,,,,,,,,
1980,0,20,0,0,45,0,0,172,40,19,62,5
1981,60,4,16,158,,63.5,77,,36.8,91.2,0,4.3
1982,0,29,,0,31.2,9.5,4,2.1,21,31,52,
1983,26,22.5,2.5,0,44,68,0,73,29,47,0,4
1984,60,0,,,157,0,24,,,,,
1985,43,6,13,155,25,38,8,2,224,53,7,0
1986,10,2,11,28,50,116,0,0,173,36,41,18
1987,13,,,59,15,162,85,120,11,20,0,0
1988,0,24.6,0,,,,42.5,66.5,207,6,0,0
1989,16.5,13.5,0,22,3.5,13,30.1,153.5,127,12.5,6,44
1990,24,19,31,,18,0,55,32,66,46,5,0
1991,6,15,0,15,64,117.5,15,35,173,7,0,87
1992,72.5,35,8,32,23,35,32.5,49.5,98,36,94,30.5
1993,4.5,43,2,12,34.5,78,0,11.5,51.52,,,
1994,,0,24.5,3,13,13.5,29,14.5,52,28,10,7.5
1995,0,3,6,2,17.5,1,34,37.5,44,16.5,33.5,9
1996,1,3,0,14.5,53,12,31.5,158.5,,95.5,9.5,3.5
1997,3,7.5,147.5,29.5,103.5,30,42.5,0,63.5,27,20,3
1998,0.7,13.2,3,1,0,7,0,48,155.5,97,17.5,6
