Year,January,February,March,April,May,June,July,August,September,October,November,December
1942,4.1,22.5,2,18,36,1,34.8,78,46.5,27,6,0
1943,29,0,14,2.5,60.5,0,25.5,0,164,42,29.5,14.5
1944,13,0,23,1,57,104,12,292,234.5,12,29,19
1945,28.5,36,0,22,0,0,142,53,81.5,201,0,1
1946,30,2,0,8,47,86,68,53,83.5,2,3,8
1947,47,0,4,8,40,26,0,253,9,0,2.5,0
1948,1,7.5,33.5,0,5,8,8,27,105,32,2,0
1949,16.5,4.5,1,0,98.5,2,0,1,14.5,38,0,
1950,0,0,1,10,22,88,3,3.5,35,0,0,0
1951,0,0,27.5,4,38,15,0,13,76,37.5,7,2
1952,2,0,5.5,2.5,72.5,13.5,0,5,13.5,0,9.5,2.5
1953,0,1,4,0,3.5,0,7,157,22,95,0,3
1954,2,3.5,0,15.5,124,0,7,40.5,28,66,19,1
1955,46,17,3.5,0,36.5,21,70.5,372,86.5,22,56,0
1956,9.5,1.5,0,6.5,27,11,0,0,69,0,0,0
1957,3,23,8,21.5,23,47,0,2,137,24.5,40.5,10.5
1958,49.5,27.5,8.5,3,71.5,98.5,19.5,42.5,326,250.5,11.5,6
1959,7.5,38,0,21,31.5,35,82,56.5,5.5,52.5,7.5,2.5
1960,12,74.5,9,27,11,0,78.5,40.5,58,28,105.3,41.5
1961,48.5,11,0,63,24,134.5,21,25,98,60,33.5,7.5
1962,0,1,6,58,18,28,0,36,61,4.5,1.5,27
1963,1,8,0.5,61.5,4.5,135.5,54.5,0,132.5,43,29,16.5
1964,2,5,6,5,138.5,30,12,45,186.5,84,18,7
1965,6.5,13,13,19.5,69.5,10,11.5,29.5,143,11,23.5,42
1966,34,23.5,2,50.5,285.5,26.4,5,29.5,61,40,1.5,0
1967,5,11,109,74,20,10,33,191,249,32,19.5,1
1968,19.5,33,1,21.5,25,58,82.2,47,148.5,12.5,17.5,1
1969,3,5,,32,25,30,62,87,31,24.5,80,30
1970,27,26,10,6,55,28,95,14,151,10,0,6
1971,0,35,8,2,17,386,2,43,496,200,7,19
1972,14,26,29,4,158,109,25,29,15,1,27.5,6
1973,22,80.5,0,9,7.5,153,58,21,68,51,2,5
1974,16,0,41,5,72,91,0,14,210,24,20,20.5
1975,12.5,9,4,9,89,36,144,44.5,158,84,0,11
1976,0,1,4,76,54,84,245,0,72,79,73,71.5
1977,30,5,3.5,7,8,7,5,31,21.5,124,5,1
1978,13.5,7,1,1.5,19,38,69,99,366,50.5,6,9
1979,14,5,7,36,26,126,4,41,34.5,0,3.5,19.5
1980,7,22.5,0,0,51,0,1,169,47,25,70.5,6.5
1981,64,7,22,133,121,162,80,56,3,185,0,4
1982,0,26.5,16,42,37.5,76,6,1,26,31,48.5,63
1983,28,35.5,7,0,65.5,34,2,60,18,52,3,10.5
1984,100,0,4,2,129,1,18,2,100,49,16,9.5
1985,53,13.5,16.5,155,28,58.5,12.5,2.5,229,53,19,0
1986,10,3.5,9,40,47.5,107,0,0,183,62.1,34.1,37
1987,16.2,41.5,8,52.9,58.7,138.2,80.5,96.5,50.2,7.2,6,0
1988,0,21.4,2,12,100,43.5,107.5,211.2,52.5,0,0,0
1989,36,25,0,43.7,0,0,34,95,12.5,12.5,6,44
1990,24,19,31,17,18,0,55,32,66,32,5,0
1991,1,0,0,29,64,117.5,15,35,173,7,0,87
1992,72.5,35,8,32,23,35,65,49.5,98,28,22,20.5
1993,7.5,13,2,6,16.5,78,0,8.5,61.5,2,3.5,0
1994,21,0,24.5,2,13,15.5,19,14.5,49,28,10,7.5
1995,0,4,6,2,17.5,1,34,37.5,44,16.5,33.5,9
1996,1,3,0,14.5,53,12,31.5,158.5,19,95.5,9.5,3.5
1997,3,7.5,98,29.5,36.5,30,42.5,0,63.5,27,20,3
1998,0.7,13.2,3,1,0,7,0,49.5,155,97,17.5,6
1999,0,0,34.5,0,13,146.5,58.4,45,26.5,22,2,15.5
2000,1,18.5,10,40,44,8.3,0,0,71,98.3,45,5
2001,,,,,,,,,,,,22
2002,32.5,0,1,36,80.5,36,132.5,5,219.5,,11.5,2.5
2003,8,22.5,3,28.5,41,6.5,21,7,267.5,126.5,8.5,8
2004,22.5,22,61.2,21.5,15,65.3,0,30,,8.5,37.5,1
2005,30,25.5,6.5,0,41,0,277.5,4,0,95,2,0
2006,5.5,2,1.3,8,8.5,33.4,24.5,47.5,74.8,14.3,12.5,61
2008,11,0,1,12.5,4.5,0,0,13.4,45,34,0,
2009,,,,0,61.5,1,0,10,73.5,13.5,32,18
2010,78,21.05,0,184,9,88.5,410.5,30.5,48,2,0,0
2011,10,0,0,0,0,65,8,24,0,0,5.5,26.5
2012,0,5,6.5,55.5,38,9.5,52,7,16.5,0,0,0
2013,8.5,0,5,19,77.5,40.5,30.5,1.5,262,9.5,30.5,15
2014,5.5,7.5,13,0,52,10,37,17,153,24,69,23
2015,21,28,71,66.5,68.5,33,41,0,45,19.5,18.5,0
2016,42,0,70.5,5,56.5,9,22.5,119,63,33.5,119.5,36
2017,7,0,1,25,18,,,4,175,50,0,52
2018,0,0,0,58,10,35,45,0,199,74,10,27.5
