Year,January,February,March,April,May,June,July,August,September,October,November,December
1957,,,,,,164,9,102.2,49.2,120,4,24
1958,24,16,4,12,116,287,101,125,368,371,42,8
1959,8,47,10,57,46,160,98,104,58,203,4,3
1960,1,26.5,5,10,11.2,10.1,,21.5,,,,
1962,0,1,8,28,13,228.6,0,54,232.2,3.2,9,26.7
1963,0,0,60,33,58,51,16.8,273,280.4,141.3,23,25
1964,5,7,45,38,122,61.5,180.9,39,255,67.7,22,8.2
1965,16,45,,47,52,33.4,26,110.7,104,42,27,44
1966,72,9.5,14,23,191,374,90,229,158,90.9,,
1967,16.3,17.3,23,,24,44,87,489.7,521,9.6,20,
1968,,,,,62.3,,156,246.5,259.5,115,28.5,2
1969,8.4,1.7,19.5,28,10.3,107,2.2,293,,37,19.2,9.7
1970,16,73,3,52,37,140,172,60.6,,27,,
1971,,,0,19,38.3,162.1,149.1,164,611.8,129.9,33.2,6.2
1972,13.7,8.5,6.4,17.4,142,216.1,249,21,126.4,195.7,1.7,0
1973,13.7,30.3,6,21.2,24,842,164,80,112.5,93.6,0.7,0.8
1974,17,0,38.9,20.1,83,50.3,27.3,47.1,375.3,27.3,8.3,1
1975,4.5,6,6.5,0.7,110.1,91.1,141,208,393,51.5,5,12.7
1976,6,0,25.5,74.1,58.1,131,399,233.9,232,61.2,136.9,30.8
1977,11.5,19.5,6,35.9,120.1,121.2,48.5,334.3,133.5,32.5,1.5,0
1978,30,16.5,15,48.2,91.1,86.1,67.7,194.9,740.2,162.2,13.9,5.5
1979,7.1,6.8,5.7,57.1,70.5,164,130.6,119.4,262.9,,7.5,
1980,,,,29.9,44.6,83.5,,132.5,107.4,83.6,25.1,7.1
1981,78.9,17.4,12.3,46,88.4,180.2,45.6,256.4,143.3,64.9,0,0
1982,,20.1,2.3,135.7,108.8,,49.9,67,210.4,194.3,9.4,
1983,34.8,10.9,29.6,0,,,,137.4,,,,
1984,92.3,1,0,9.8,48.4,6.4,48.6,51.9,347.8,9,27,17
1985,,0,14.4,31.3,,,,,,,,
