Year,January,February,March,April,May,June,July,August,September,October,November,December
1997,4.1,17.5,101,69.8,50.4,23.4,35.8,0,64.7,70.4,15.2,3.5
1998,2.7,12.5,30.3,0,0,,48,121.6,170.2,88.9,60.4,
1999,0,0,10.8,5.1,77.7,66.4,115.6,10.8,86.3,14.3,0,27.3
2000,0.4,3.1,14.6,32,156.4,104,26.2,56.6,136.3,378.6,7.9,22.3
2001,9,26.4,43.2,43.2,185.8,75.4,8.4,80.1,257.9,15.3,54.1,4.3
2004,,,,,,42.4,118.8,38.2,399.5,4.5,4,7.2
2005,8.1,65.5,49.2,0.1,42,1.9,227.8,9.7,99.5,319.4,12.7,20.5
2006,0.7,8.5,13.1,56.3,50.8,23,20,47,,,,20.5
2008,33.7,8.1,14.1,44.2,17.5,13.2,143.1,332.9,444.2,31.6,10.9,3.9
2009,10.3,8.9,1.9,1.4,50.7,8.5,2.9,111.1,109.6,62.7,63.2,
2010,33.3,,21,212.6,42.4,206.3,313.3,80.8,286.5,0.2,0,0
2011,23.7,0,9.2,7.5,7.7,80.6,48.2,23.5,3.5,17.4,2.4,31.9
2012,1.5,74.3,27.7,143,38.6,81.2,34.4,62.5,40.5,11.6,38.4,1.9
2013,33.4,0,3.5,4.6,105.3,31,94.9,64.2,419.7,5.2,55.1,106.7
2014,10,15.2,21.1,2.6,30.3,14.6,17.6,51.9,288.5,11.2,64.9,55.2
2015,23.4,42.2,75.2,94.3,113.9,84.8,10.7,52.5,49.8,81.1,34.3,3.5
2016,26.6,0,35.4,24.5,176.2,40,12.1,99.5,97.6,38.7,70.1,9.1
2017,22.2,0,37.5,146.1,23.6,58.3,32.1,101.6,119.4,127.9,8.6,32.9
2018,23.4,23.6,0.3,54.5,159,91.6,61.2,0.1,359.4,43.6,9.7,19.6
