Year,January,February,March,April,May,June,July,August,September,October,November,December
1948,8.3,4,21,18,21,84.4,35.4,106,128.9,23.4,0.5,0.2
1949,9.5,19,0.7,50.4,3.7,66.3,29.2,11.2,115.2,24.1,0,11.2
1950,0,1.8,26,4.7,13.2,16.4,52,37.9,15,,0.3,0
1951,0,0,24.2,15.1,74.2,75.4,14.1,93.5,217.8,92.7,6,8.5
1952,0,0.6,2.2,24.5,7.2,45.3,11,6.9,56.4,0,0,0
1953,0,6.2,15.5,13.3,8.5,12.7,38.5,148.4,39.7,99.9,3.8,6.9
1954,2.2,6,0,30.7,9.7,3.6,30.3,75.5,43.7,156.3,13.1,0
1955,0,6.5,0,11.5,40.3,25.5,121.5,38.2,170.5,14.7,37.3,0
1956,0,0,0,14,119.5,24,44,59,53.5,2.5,30.5,12.5
1957,0,27.5,6.3,28,14.5,94.5,0.5,88.4,48.1,13,1.7,10.5
1958,12.4,5.7,4.6,14,37.3,115,49.7,85.9,154.2,142.2,27,10
1959,10.4,49,3,30.8,16.5,81.7,99.5,62.8,100.2,56.5,4.5,2
1960,4,28.5,0,18.5,3.3,12.5,37.2,90,174.5,38.2,20.7,19.5
1961,6.7,0,3,0,1.5,56,92.5,136,55,41.5,2,0
1962,0,2,0,25.5,6,143,0,77.5,128,28,2,5.5
1963,0,0,0,25.5,24,72.5,17,32,82,40,31,36.5
1964,1,5,4,10.8,42,18,111,35,171,32,32,20
1965,8,12,9,22,28,23,30,12,84,36,44,51
1966,62,10,0,13,83,38,18,54,38,45,2,2
1967,16,21,47,5,12,13,48,304,286.4,51,0,0
1968,13,8,3,4,14,26,43,54,83.5,55,0,0
1969,0,8,0,19,17,32,34,104,186,13,36,18
1970,0,33,0,27,22,46,62,50,81,0,0,0
1971,4.2,0,7,0,14,87,49,172,158,74,0,
1972,9,5,4,2,24,26,77,0,83,43,0,1
1973,6,28,0,3,8,364,17,41.4,61,15,0,0
1974,9,0,15,0,36,24,0,24,174,14,2,5
1975,5,9,0,0,15,41,119,47,202,14,0,24
1976,0,0,4,27,37,61,170,95,90,24,123,20
1977,10,7,0,12,11,4,50,,299,32,0,0
1978,15,3,0,31.5,16,40,12,111,148.9,78,7,5
1979,2,6,0,6,66,86,4,76,71,0,0,68
1980,0,5,0,11,13,7.5,,80.6,72.3,98.1,8.7,0
1981,41.6,31.7,2.4,38.5,74.5,73.6,42.4,59.5,148.7,9.8,7.5,0
1982,0,31.8,0,39.3,70.4,3.4,51,69.2,83,54.2,0,21.1
1983,24.2,28.3,15.6,0,,15.9,,88,112.4,34.2,4.5,0
1984,71,9.5,,,60.7,23.4,18.2,,,,,
1985,7.5,4.1,3.5,72.6,72.6,36.7,1.7,32,68.1,27.3,,0
1986,,6.6,3.6,49.7,36.1,80.5,1.5,23.9,99.5,47.3,34.9,
1987,16.7,18.3,0,35.1,68.3,39.2,30.6,3.1,144.5,0,6.8,7.1
1988,26,1.5,4.9,60,45.8,51.5,52.4,59,468.7,4.3,0,0
1989,0,,0,24.3,2.4,13.4,32.5,38.7,115,31.2,11.7,24
1990,6.5,20,10.6,14.2,27.6,10.5,37,107.9,107.2,,,
1991,,,,,,,,47.2,172.5,26.1,0,54.8
1992,63,21.5,5.5,18.5,95.9,13.5,11,73.5,49.7,16.6,20,15.5
1993,17.5,9.5,0,7.4,49.2,103.4,0,31.2,135.6,15.5,2,20
1994,56,0,20.7,9,105.4,13,46.3,68.5,51.3,20.6,0,6.5
1995,0,8.6,14.1,28.9,49.1,20.7,,,,,,
