Year,January,February,March,April,May,June,July,August,September,October,November,December
1946,0,29.1,0,111.5,167,2.7,0,36.5,71.5,90.5,0,0
1947,29,17,5,,77,159,17.5,120.2,,0,11.5,8
1948,0,6.5,17,4.5,155,39.5,64,36,321,,2,0
1949,16,45.5,8.5,179,31,21,12,15,84.5,65,5,14
1950,25,7,50,50,39,70,10,18,82.5,,0,0
1951,1.5,0,13,49,35.6,168,24.5,83,301.9,69,0,0
1952,0,18,52,35.5,25.5,151.5,27.5,0,91.1,0,36,1
1953,0,18.5,24,43,4.5,0,35,317.4,28,180,4.5,21.8
1954,1,6.3,2.5,22.5,38,35,42.5,162.5,32.3,92.8,18.5,0
1955,30.5,13.5,2.5,8.5,37,34.5,97.5,20,232,0,9.5,4.5
1956,1.5,9,0,33.5,17.5,137,16.5,45,63.5,2.5,27,2.5
1957,0,31,45.5,180.5,35,56.5,0,42.5,45.5,36.5,20,15
1958,73.5,29,16.5,18,34.5,112.5,28.5,55,243.6,264.2,23.7,26
1959,33.5,99,0,16.5,64.5,51,73,83.5,64,36.5,15.2,0
1960,12.5,12,11,17,54,18,17,161.5,116,200.5,,8.5
1961,10.5,0,43.5,95.5,20.5,34,2.5,101.5,221.5,70.5,45.5,8.5
1962,0,0,15.5,47.5,25.5,170.5,0,98.5,145,75.5,11.5,11
1963,0,5.5,12,50,181.5,56.5,39,0,231.5,94,35.5,80
1964,15,0,16,76,254,25,51.5,31,433,45,,21.5
1965,24,36,36,47.5,83,11.5,10,65.5,330,0,38,105.5
1966,29.5,50,55.5,73,267.5,174.5,80,83,120.5,97,5,0
1967,25,11,,75,0,75.5,,507,531,,59,10.5
1968,33,21.5,25.5,135.5,70.5,170.5,180.5,165.5,147.5,85.5,5,0
1969,5.5,15,30,73.5,47.5,61,15,180.5,239.5,126,70,10.5
1970,13.5,32,11.5,10.5,4,89.5,163.5,100,114.5,10.5,0,15
1971,17.5,10,0,5.5,39,131,75,140.5,264,105,,2
1972,5,6.5,,5,,343,,,,,,
1974,,,,,,,,,,,0,5
1975,21,20,,12,56,16,112,81,142,,22,36
1976,5.5,0,36,39,79,70,175.5,79,110,81,99,11
1977,17.4,24,0,61,78,9,0,,166,63,0,7
1978,19,10,0,22,31,25,61,87,540,148,7,8
1979,9,7,6,78,27,50,38,64,146,0,2,86
1980,5,8,0,0,164,0,23,142,33,58.5,45,3
1981,84,36,13,76,153,73,52.7,229.1,45.7,9.3,0,0
1982,0,17,0,57.9,45.3,9,0,8,144.5,28.5,11,65
1983,36.5,58.8,37,0,,0,95,115,254,41,0,6
1984,192,,,,26,19,109.1,,,,,
1985,25,4,12,83,51,60,0,51,11,149,,11
1986,,,0,,,,,6,116,,,
1997,,,,,,,,,,,9,7.4
1998,4.8,24.8,36,0,0,48,51,39.8,115,62.8,60.1,0
1999,0,0,0,0,0,0,68.8,22.6,67.8,12.4,6,31.3
2000,0,0,0,13,131.8,102,0,29.5,263.4,175.4,5.5,14.3
2001,3.8,26.5,44.9,17,71.8,79.5,4.8,105.8,200.6,13,17.5,3.5
2002,0,0,0,11.3,0,45.3,216.6,41,233.1,232.3,20.6,3
2003,17.6,15,4.8,2,82,179.8,40.1,41,333.9,274.6,0,3.5
2004,5,5.5,45,219,21,57,58.5,89.1,378.5,13,2,1.5
2005,5.5,46,45,0,33.5,0,354.5,1.5,76.5,262,19,16.5
2006,1.5,4.6,5.5,33,67.5,5.5,29.5,68,285.5,30,28.5,92
2008,26,6,20,37,26,0,76,196,483,14,10,3.6
2009,6,8.5,2,3,37.5,15,0,27.5,148,76.5,59,21
2010,37.5,43.5,17.5,126,51.5,204.5,350,26.5,360.3,5.5,0,0
2011,23,0,2,0,4.5,62,82,38,6,1,0,47.5
2012,0,86,38,68.5,60.5,48.5,9,64,33,28.5,33,1.5
2013,24.5,0,2.5,12.8,111.5,57.5,29,33,398.5,4,50,108
2014,9.6,10,16,0,63,26,33.5,72,257,29,71,46
2015,9,31,90,155.1,96,118,12,66,37,77,32,2
2016,23,0,8,80,101,74.5,4,68.5,121,46,90.5,16
2017,20,0,55,155,37,83,22,34,169,90,7,30
2018,15,18.5,0,30,162,181,69,14,304,31,6.5,17
