Year,January,February,March,April,May,June,July,August,September,October,November,December
1985,9.3,5.7,3.5,61.9,29,50,48,23.8,11,40,15,40
1986,0,6,0,36.5,,,,,13,58,69,24
1987,57.3,29,6.5,36.5,109,31,43,20,25,0,2,0
1988,13,0,50,46,28.6,84,55,93,14.5,0,8,5
1989,4,0,0,44,0,0,0,83,,0,,
1990,0,57,17,,176,18,10,27,81,4,10,0
1991,0,0,0,0,10,17.5,80,,,,0,65
1992,220,25,25,33,180,0,50,25,,,18,0
1993,39,25,6,0,45,58,0,45,0,0,0,20
1994,0,0,0,0,78,35,65,34,53,53,0,20
1995,5,0,0,0,15,0,58,16,60,8,,13
1996,0,2,0,0,20,15,5,42,10,0,0,0
1997,20,15,59,123,20,45,5,25,40,0,0,0
1998,0,0,0,5,0,13,0,20,27,0,0,0
1999,0,0,0,25,15,93,0,20,0,15,0,0
2000,0,0,0,0,45,128,20,0,0,0,0,0
2001,30,0,0,50,107,28,27,85,164,0,25,5
2002,35,35,0,0,45,0,45,10,74,115,0,0
2003,10,38,20,0,51,38,80,94,0,75,0,0
2004,18,15,15,45,31,45,55,65,190,30,25,0
2005,0,65,50,20,35,0,,90,55,35,18,10
2006,20,0,0,40,110,15,225,120,170,20,30,10
2007,30,0,10,0,110,96,52,25,120,15,5,0
2008,0,0,,60,0,0,90,250,117,0,0,0
2009,0,0,0,0,0,0,0,20,,,,0
2010,,,0,49,0,85,100,20,27,0,0,0
2011,20,0,0,0,20,10,20,35,65,0,10,0
2012,8,120,20,15,21,23,17,24,7,15,5,0
2013,81,0,0,10,45,25,20,10,71,20,30,152
2014,25,5.01,20.01,8,100,104,70.35,10,71.5,0.1,34,10
2015,24,28,106,10,98.6,56,,45,19,181,0,8
2016,19,0,60,6,88,10,8,14,12,11,38,0
2017,3,0,16,10,20,64,46,6,12,3,0,10
2018,10,20,0,20,10,12,20,25,60,8,12,12
