Year,January,February,March,April,May,June,July,August,September,October,November,December
2008,1.5,8,1,3.4,39.5,2.2,0,535.9,230.4,4.4,4.7,5
2009,46.7,12.2,2.5,32.5,83.9,13.6,57.2,80,149.5,64.5,39,23.8
2010,54.7,43.5,18,465.5,79.5,240.5,385,4,271.2,1,0,0
2011,19,0,0,0,21,61.5,75,0,31,16,0,25.5
2012,0,40,13,57,39.9,62.8,44,60,60.2,11,10.5,10
2013,23.5,0,6,23,125,11,139,14,352.5,13.5,103.5,89.5
2014,11.5,16.5,44,23.5,62,36,38,42.5,268,405,44,61
2015,56.3,30.3,111,83,126.5,81.5,21,19,89,40,22,2
2016,29.4,0,34.5,23,142.5,53,9,190,85.5,19,115,13.5
2017,30,2,79.2,90,135.9,135,50.5,65,174,48,21.5,28
2018,12,18,2,147.8,36.5,229,95,6,261.5,81.5,19.9,30.5
