Year,January,February,March,April,May,June,July,August,September,October,November,December
1999,0,0,0,0,0,0,0,0,0,0,0,0
2000,3.5,0,0,25.5,34,61.5,0,38.3,29.1,128,12,11.5
2001,27,60,30,38.1,47,91.6,27.3,130.3,75.5,3,2.8,1
2002,15,55,3,48.7,68,30.4,72.3,56.3,67.5,123.6,10.5,0
2003,0,33.8,20,0,66.3,29.5,69,116.4,33.6,27.8,0,0
2004,7,3.9,41.9,9.3,7.6,62.4,99.2,56.3,58.5,27.6,5,2
2005,0,41.4,20.5,30,68.6,0,89,34.4,45.8,43.5,8.5,11
2006,11.5,0,23.4,62.5,106.2,24.3,36.8,33,38.3,21.4,0,
2008,0,9.2,4.3,0,56.5,1.2,23.4,81.9,41.1,0,0,
2009,0,0,1,0,5.6,1.2,,1.3,1.2,1.2,6.2,
2010,3.4,80.5,0,74.6,61.4,0,219.2,,0,0,0,0
2011,0,0,0,0,0,18,68,3,4,16,9,0
2012,22,147,22,4,47.7,21.3,53.9,58.7,25,28.7,13.4,35.5
2013,73.5,0,0,18.1,44.7,71,105.8,51.5,99.3,35.5,25.7,139.7
2014,44.7,7.5,55.2,15.5,78.1,112.5,28.5,48,58.5,10,66.9,12.5
2015,60,15.8,133.4,131.5,123.3,75.2,53,45.7,26.5,116.6,3.5,15.5
2016,46.3,5.5,66.5,17.5,90.5,74,43.5,35.5,12.3,16,44.5,0
2017,8.5,12,45.5,49.5,43,32,69.5,39.5,73.5,12.5,0,18.5
2018,26.5,38,4.5,115,34.5,111,25.5,0,65,27.5,51.8,8.5
