Year,January,February,March,April,May,June,July,August,September,October,November,December
1948,0,18,26,5,42.5,48,31.5,68,220,102,1.5,0
1949,7.5,51,0,204.2,27.5,45.3,35,46.5,60,36,1,2.5
1950,8.5,9,30,7,55.5,90.5,151,0.5,80,,0,0
1951,0.5,0,14,2,56.5,61.2,24,45,234.5,110.5,2.5,0
1952,0,8.5,49,16,49,150,1,0,51.5,0,35.5,0
1953,0,20,36,10,2,18,6.5,413.5,35,105,3,6.5
1954,2,4,0,28,38.8,26,60,21,95,113,12,0
1955,28,14,0,0,37.5,11.5,55.5,46,270.5,0,25,5
1956,0,8,0,28,33.5,157,10,3,72,17,21,0
1957,0,31,38,92.5,28,27,0,12,36,81,21,13
1958,46.5,30,7,5,60,99,29,77,214,270,40.5,12
1959,19,77,0,8,26,88,29,60,21,46,2,0
1960,15,43,8,60,16,32,44,160,94,186,15,22
1961,19,1,16,37,0,12,6,79,119,95,33,3
1962,6.5,0,8.5,58,34,55,1,73,60,78,13,24
1963,4.5,13,1,4,49.5,44,57,5,177,175,17,45
1964,17,0,13,93,199,30,0,6,203,83,30,12
1965,8,34,22,50,196,5,4,38,427,78,31,94
1966,41,42,19,106,159,265,14,148,48,97,0,0
1967,20,13,40,26,0,125,30,447,333,44,69,11
1968,6,13,18,68,80,89,234,102,97,6,20,0
1969,0,4,32,25,15,67,27,89,119,95,77,
1970,21,39,5,18,65,49,111,120,273,23,0,0
1971,32,0,4,0,23,145,61,98,157,119,10,10
1972,11,6,34,15,113,224,122,0,180,65,33,12
1973,43,55,0,0,75,340,54,129,254,117,0,24
1974,20,14,34,3,76,25,27,4,66,16,0,7
1975,23,15,6,30,216,3,113.5,95.3,171.9,21,35.5,46.5
1976,9.5,0,23,48.5,86,89.5,209.3,93.3,178.8,44.9,110,17.4
1977,17.3,30.1,6.1,5.9,114.9,41.6,27.1,34.9,117.8,87.5,0.2,10.3
1978,16.3,17.7,0.8,4.3,29.9,21.9,16.4,84.3,507.5,90.4,16.9,15.6
1979,5.7,6.2,3.3,29.7,24.1,165,8.8,63,83.6,0,3.2,57.3
1980,4.3,9,0,0,96.9,5.3,46.1,96.7,68.5,71.7,35.8,11.6
1981,84.1,28.6,25.3,128.2,138.4,61.3,23.5,120.7,129.9,12.4,1,0.5
1982,0,11.1,6,72.7,26,8.4,17.3,8.7,149.1,28.4,11.9,62.4
1983,29.3,45.8,23.5,0,,14.3,56.4,127.5,324.2,79.6,0.4,9.4
1984,179.9,3.1,,,66.1,39,48.4,,,,,
1985,30.5,11.7,87.1,16.3,106.2,90.4,33,143.6,14.6,249.4,,11.2
1986,4.8,23,0,79.7,243.6,194.8,8.1,4.6,134.8,86.1,30.2,86.7
1987,30.3,24.3,24.8,12.8,93.4,204.8,78.6,108.2,51.1,3.8,6.8,15.7
1988,47.2,,15.5,34.5,67.4,101.5,70.8,138.8,201.7,36.2,0,0
1989,18.3,14.5,0,49.5,18.5,20,98.8,57.9,116.5,20.6,15.4,50.8
1990,0.6,42.4,22.3,21.8,9.7,3.5,43.5,68.9,180.4,17,14,0
1991,25.7,32,2.1,11.5,83.7,193.1,19.6,6.3,120.9,6,7.6,55.1
1992,103.3,16.8,4.2,66.5,94.4,42,18.5,26,10.5,81,54.4,7.2
1993,5.5,24.2,46.8,13.5,82,241.9,4.5,8,313.2,26.7,14.1,6.9
1994,139.8,6.8,22.8,27.7,13,49,53.1,32.3,83.5,21.3,9.2,25.4
1995,13.7,9.5,7.8,14.6,77.3,65,41.9,224.9,125.3,25.7,5.5,20.3
1996,12,1,10.5,9.3,39.7,51,1.5,119,249.2,90,8,4
1997,19.9,11.2,137.9,174.3,86,10.5,59,0,76.8,100.2,28.5,9
1998,0,5.4,42.2,1.5,0,58.2,51.5,54.2,83.2,24.5,57.4,3.5
1999,0,0,67.5,5,23.5,65.5,83.5,14,85.5,41.5,4,19.7
2000,1,6.5,0,,,,,,,,,
2001,11,2,38,,,16.5,,9,,9,57,7
2002,0,4.5,0,13,6,35,138,115,140,117,25,0
2003,13,15,1.5,17,46,93,69,111,242.5,102.2,7,0
2004,4,3,47,114,66.5,21.5,16,35,301,12,5,4
2005,0,64,30,7,89,0,262,6,54.5,171,10.5,12.5
2006,0,4,5,17,128,40,23.5,39,284.5,19.5,61,12.5
2008,29,5,4,28,4.5,3.5,108.5,198.16,398.2,10.5,0,0
2009,13.4,4.5,0.1,0,51.7,26.2,0,1,91.1,74.3,37.03,1.3
2010,30.9,35.2,0.6,100,12.5,186.2,242.6,20,200.2,0,0,0
2011,16.2,0,6,0,7.5,62,46,6.5,12,0,0,36.6
2012,0,44,20.5,37.5,56,82,24.5,41,61.5,20,55.5,5
2013,19,0,2,32.5,74,21,94.5,44,366,10,68,100
2014,7,7,9.5,5,57.5,15.5,30.5,9,277,91,61,31.5
2015,15,,,,93,240.5,6,18,42,92,28.5,12
2016,4,0,9.5,22,122,55,13,94.5,118.5,48.1,120,21
2017,3.5,0,61.5,121,80,57,54,2,195.5,92.5,8.5,21
2018,7,43.5,0,30,110.5,196.5,0,0,198.2,21,8.5,14.7
