Year,January,February,March,April,May,June,July,August,September,October,November,December
1970,,,,,9.5,15,21.5,20,11.5,6.5,0,10
1971,0,-0.5,3,6.5,16,21.5,21,21.5,15,14,8.5,6
1972,0.5,1,8,9,18,19,9.5,21,20.5,11.5,3.5,0.5
1973,-3,0,7,5,12,18,21.5,21,20,20,3,0.4
1974,5,2,8,8,20,16,16,16,12,10,0,2
1975,-3,4,8,10,17,16,19,19,12,10,2,3
1976,-1,1,6,10,9,19,20,18,18,8,2,2
1977,0,2,5,8,19,21,22,23,20,7,6,-1
1978,-2,2,4,10,14,20,20,20,19,10,8,-5
1979,-4,2,5,10,16,18,21,20,15,9,5,0
1980,2,0,1,6,14,23,22,20,21,5,1,2
1981,2,1,6,12,14,17,13,20,,9,4,
1982,0,1,2,,11,,22,21,,9,2,5
1983,1,4,6,6.5,,20,,,12,10,,
1984,,2,,,11,16,19,,,,,
1985,-1,-4,6,8,,18,20,22,14,,,
1986,,2,,6,12,20,22,20,,,,
1998,3,5,4,10.5,14.5,23,23.5,22,22,10.5,11,
1999,2,2,4.5,11.5,18,22,20,22,15.5,7.5,3.5,
2000,2,7.5,12,9.5,18,20.5,23,21.5,13.5,6,5.5,5.5
2001,-1,6,5.5,13,18,20,22,22,16,7.5,2.5,
2002,-3,3,2.5,14,16.5,20,21.5,22,16,12,6,
2003,0.5,2,5,7.5,20,21,23,22,20,9,1,
2004,3.5,3,11.5,9,11,21,21.5,20,17.5,13,6,
2005,3,7,7.5,7,13,21.5,21.5,,21.5,9.5,4,
2006,2,0.5,6.5,13,15,20.5,22,22.5,18.5,7.5,5,
2008,-1,3,2.5,10,16,23.5,22,22,13,8,4.5,
2009,1.5,1.5,2,7,15,18.5,24.5,23,15.5,6,6,
2010,-4.5,2,3,12,15.5,21,23,22.5,15.5,9,2.5,
2011,1.5,-3,7,11.5,14,20.5,23,24,18.5,9,1.5,
2012,0.5,7,6.5,13,18,21,21.5,22,19,10,10,
2013,1.5,6,6,9.5,10.5,22,23,23,19,12.5,1,
2014,1,1.5,4,7.5,12.5,23,23,24,19,11,3,
2015,2,3.5,4,12.5,13,20,22.5,19,19,9.5,4.5,
2016,1.5,0,6,12,16.5,20,23,24,19,14,6,
2017,0,7.5,10,11,15,22.5,22,23.5,18.5,5,6,
2018,-1,7,9,10,18,23,23,22,21,9,-1,
