Year,January,February,March,April,May,June,July,August,September,October,November,December
1974,4,0,20.5,3,3,121,2,44.7,183.5,20,0,7
1975,,,,5,16,58.5,114.5,57.3,160,12,16,35
1976,22,0,8.5,78,48.5,20,364,29.3,102.2,70,191.9,22.5
1977,23.3,22.3,5,9,2,73.6,31,98,89.2,22,0,11
1978,5.5,0,0,12,35.5,64,66.2,112,328.2,56,14.5,8
1979,3,1,8,1,0,155.5,91.6,71,91.5,0,19,73
1980,10,12,0,0,25.8,4,20,156,37,22.5,34,47
1981,67,23.3,26,119,64,69.3,40.3,49.8,60,26.8,0,0
1982,0,7.5,0.3,26.8,109.5,36.5,30.5,74.5,84,46,,45
1983,51,35.5,19.5,0,61.5,30,107.5,170,50,63.5,0,3
1984,109,7,53.5,,53.5,88,21,,,,,
1985,17,12,11.5,148,31.5,51,110.5,30.5,115.3,78.5,,
1986,0,3,0,,,,,,,,22.5,
1987,11,10.5,6.5,205.6,80,135,73.5,98,49,22,41,13
1988,23,8.5,15,29,26,121.5,36,,,,,
1989,,,,,,238,35,88.6,52.9,20,0,0
1990,0,0,0,70,25,78,60,,50,27,9,1
1991,18.4,,,3,21.1,21.3,55.1,,151.7,10,21.3,
1992,91.7,,3.7,0,68.4,0,0,61.7,,,,
1993,5.3,9.9,25.9,5.3,81.4,54.1,0,3.5,64.8,5.1,19.5,4.1
1996,5,10.7,10.6,0,23.5,38.2,38.4,138.2,3.2,90,21.9,5.6
1997,11.1,25.6,53.9,93.4,110.3,82.7,96.5,16.6,152,100.4,90.3,25.9
1998,0,31.4,58.8,3.4,0,12.4,46.5,150.8,173.1,67.1,47,0
1999,0,0,51.6,0,7.5,62.6,57.3,54.7,74.8,15.2,2.3,22
2000,5.5,12,0,88.3,78.2,98.3,24,54.4,124.2,,,
2001,,,,,,,11.7,29.6,61.4,4,35,9.3
2002,0,1,0,6.4,56.2,52,198.7,38.5,188.3,82.4,11.8,1.8
2003,14.3,46.7,8.9,25,55,95.4,91.5,60.5,233.3,103.1,8.5,2.1
2004,13.6,5.6,41.9,112.6,30.6,64.5,54.7,167.4,97.2,11.4,,16
2005,26.6,56.3,7,1.6,71.4,0,109.6,25.6,28.1,110.8,6.3,
2006,0,7.8,3.1,20.1,4.5,9.2,44.6,58.2,188.3,30.2,11.1,72
2008,14.9,7.2,2.5,14.6,27.8,1.7,170.2,136,116.1,4.7,2.1,6
2009,35,8.7,12.3,4.9,114,17,49,42.6,70.7,66.1,6.5,18.8
2010,34.7,28,0,63.4,36.8,163.5,238.4,12.2,258.7,35.2,0,0
2011,18,0,0,0,9.5,84,48.4,4.2,24.7,9.2,0,28.8
2012,4.4,27.1,31.1,6.6,53.6,66.8,28.8,64.8,58.1,3.1,37.2,5.8
2013,33.2,2.3,6.1,16.4,101.2,44.3,88.8,87,324.2,7.4,69.4,84.8
2014,6.9,8.4,19.4,0,35.4,39.1,56.1,27.4,161,53.9,77,45.7
2015,3.8,18.2,64,85.7,55.3,63.2,3.8,85.2,23.4,38.8,2,0
2016,16.7,0,13,20.5,50.1,11,32.5,268.5,107.5,4,27.2,13.9
2017,3.7,3.7,52.8,64.2,237.9,,38.6,22.8,182.1,47,1.3,50
2018,1.3,2.6,3.8,33,47.5,242,9.5,72,223.1,21,7.5,22.6
