Year,January,February,March,April,May,June,July,August,September,October,November,December
1972,108.2,108,108,76.1,67,146,94,177,183,97,179,19
1973,107,63,0,31,24,210,50,139,268,95,0,0
1974,30,7,49,42,107,46,69,94,97,45,11,11
1975,25,55,0,7,45,144,115,124,106,28,0,63
1976,5,0,39,66,83,67,255,81,148,52,147,74
1977,46,29,0,114,100,38,67,67,39,33,13,0
1978,13,14,6,46,77,67,77.5,110,274,60,14,9
1979,25,35.5,15,46,88,96.5,45,72,15,0,30,64.5
1980,27,22,0,34,56.5,10,61,87,59,151.5,44.5,22
1981,64,19.5,47,79.5,172,178,85,96.3,72,54.5,11,0
1982,0,30,0,101,89.5,0,23,89,74,101.5,48,18
1983,72,32,24,0,143,85,117,112,162,19,17,0
1984,240.5,23.5,4,0,53,136,44,77,136.5,32,4,44
1985,62,31,10,82,133,90,5,54,57,52.5,17,
1986,0,22,2,81,42,276.5,28,60,91,120,68,66
1987,,,5,51,,,106.5,85,72,6,22,43
1988,32,0,34.5,84,66.5,17,109.1,128,135,25,0,0
1989,12,0,6,16,24,60,44.5,48,25,11,61.5,104
1990,18,62,22,26,103.5,0,129,101,133,80,5,6
1991,4,25,0,31,92,104,112,99,105.5,29,9,60.9
1992,219,47.5,46,62,126,60,78.5,91.2,47,,61,76
1993,16,2,7,23.5,73,204,29,23,161.5,63,39,19
1994,8,0,24,18,151,185,75,60,107,88,0,43
1995,13,8,11,3,93,55,106,172,21,13,12,24
1996,0,11.5,12,4,23,93,17,273,126.5,49,5,2
1997,15,15,65,90,46.5,112,23,83,34,82,19,0
1998,0,0,0,15,46,53,10,136,47,74,7,0
1999,0,5.1,34,0,12,69,92,0,51,47,0,5
2000,0,0,4,0,70,132,0,58,40,82,27,25
2001,10,27,71,48,43,76,77,99,176,36,13,32.5
2002,10,24,0,68,50,77,63.5,56.5,144,132,54,3
2003,43,32,21,5,36,41.5,105,112,173,113,0,0
2004,17,24,71,19,73,94,59,90,98,35,20,0
2005,20,55,76,12,38,0,62.5,30,14,72,4,7
2006,5,0,23,0,34,65,92,96,127,49,2,66
2007,50,7,4,26,32,115,221,36,70,29,11,0
2008,0,0,0,32,39,46,90.5,261,131,12,0,0
2009,0,0,0,0,0,0,,,,,,26.2
2010,,,0,0,120,65,179,438,244.1,0,0,0
2011,3,0,9,11,0,74,84,11,28,16,13,2
2012,1.5,131.5,28.5,33.5,74.2,67.7,81.6,167.3,42,61,17.5,8
2013,68,0,0,4,120.7,72.9,50,77,305.4,84,48.4,122
2014,33.5,2.3,37.7,20,86.4,184.6,63.5,111,187,61,105,40
2015,18.4,50.8,159.6,81.1,113.6,72.5,19.8,55,45.5,189.9,8.8,29.8
2016,47.2,16.5,42,32,80.4,66.9,78.7,36,42.8,90.8,70.1,10
2017,28,7.5,77.6,36.8,12,67,72,103.4,121.2,40.9,0,107.5
2018,8.5,52,0,52.7,68.5,69.6,47.5,30.8,272.5,38,19.1,24
