Year,January,February,March,April,May,June,July,August,September,October,November,December
1956,0,3,0,9,16.5,3.5,5.5,4,29.5,0,10.5,1
1957,2,19.5,4.5,1.7,3.6,7.7,0,2.1,20.3,7.4,1.1,7.5
1958,16,7,0,3,1,59.5,27,53,271,165,9.5,8
1959,5,48,2,11.5,24.5,75,32,0,34.3,51,65,0
1960,0,22.5,0,8,1.5,17.5,8.5,70.5,64,43,11.5,22.5
1961,9.5,2.5,2,26.5,7,57,66,29,15.5,23,5,0
1962,0,3.5,4.5,12,9,0,0,0,18,0,16,5
1963,0,1,0,0,20,7,0,2.5,118.5,24,10.5,22
1964,9,8.5,8.5,10,16,3,1.5,38.5,40,17.5,32.5,5.5
1965,5.5,3.5,3.5,0,21.5,13,4.5,2,80,20.5,19,62
1966,68,12.5,9.5,40.5,44.5,33.5,10.5,0,3,0,0,5.5
1967,10,14,0,,5,2.5,11.5,171,220.5,3.5,13.8,6
1968,14.5,12.5,19,31,24,5.5,47.5,58,33.5,30.5,12,1
1969,0,12.5,0,17,0,42,1,71,34.5,0,25,34
1970,22,23,0,0,11.5,27.5,42,0,94,5,0,0
1971,1,0,0,0,24.5,147.5,38.5,51,183,44.5,0,0
1972,11,4,0.5,5.5,37,39.5,37.5,12,70,8,33.5,1
1973,24.5,19.5,0,8,15.5,144.5,27.5,74.5,127,27,0,4
1974,1.5,0,0,3,5,17,3,0,68,14,6,4
1975,6,10.5,1,,0,0,83,110,131,14.5,0,35.5
1976,5,1,3,65,38,16.5,217,1,30.5,26.5,145,21.5
1977,12,6.5,0,11,3,10,0,19,41,27,0,2.5
1978,5.5,2,0,8.5,3,12,1,73,99,21.5,13.5,1
1979,5.5,1.5,21,9.5,6.5,35,0,5.5,48,0,10.5,42.5
1980,0,16,0,0,24,0,0,113.5,46.5,33,17.5,6
1981,42.5,13,17.5,77.5,36.8,79.5,25.5,78,45.5,28,0,1
1982,0,4,4.5,22,53.3,12,37.5,26.5,39.5,8.5,14.5,14
1983,36,22.5,12,0,100,8,62,52,75.5,30.5,0,0
1984,125.5,2.5,,,55.5,18.1,76.5,,,,,
1985,46.5,8.5,6,13,28.5,22,32.5,5,,13,,5
1986,0,1,0,17.5,5.5,25.5,7.5,8,73,305,10,53.5
1987,13,27,7,42,15.5,13,56.5,19,72,14,3,7.5
1988,3,8,3,16,26.5,16.5,5,120,233.5,,,
1989,5.5,11,0,15,3.5,16.5,0,56,84.5,0,5,52.5
1990,7,14,5.3,45,7.5,0,18,,83,98.5,2.5,1
1991,4,2.5,0,2.5,2,137.5,19.5,,,,29,21.7
1992,,16.4,,33.5,55.5,13.7,11.2,12.1,96.6,30.7,13,22.8
1993,9.1,3,6.3,17.5,43.9,44.9,0,11.8,90.8,9.4,11,0
1994,7.1,1.5,19.5,4,8.5,7.5,3.8,13.4,32.9,28.3,7,17.2
1995,2,8,3.2,1.7,25,6,24.2,90.2,43,16,12.9,12.8
1996,18.5,0,0,1.5,15,11.5,0.6,104.3,10.2,49.5,11.8,1.3
1997,3.9,14.4,64,79.4,55,2.5,18.5,0,65.7,46.3,22.5,9.4
1998,0,23.2,6.1,0,2.3,3.2,0,81.3,136.3,25.8,9.3,0.6
1999,0,7.2,3.2,3.4,7.4,43.2,36.2,4.7,59.1,5.4,3.3,9
2000,1.3,6.4,4.9,0,7.8,27.2,0,22,82.7,57.2,17.7,1.6
2001,11.4,25.3,21.2,2.8,0,3.6,20.7,30,59.8,14.4,25,7
2002,0,0,0,0,25.6,31.4,92.3,22.6,114.2,56.9,11.3,0
2003,14,25.5,23.4,1.2,26.2,8.3,15.3,46.4,74.8,82.6,31.5,6
2004,15.9,11.7,14.8,11.8,2.5,7.1,45.8,12.3,81.5,2.5,19.7,0
2005,15.9,40,3.2,2.8,52.6,0,173.4,0,57.7,100,1.2,0
2006,5,1.3,13.9,12.2,25.3,2,34.3,7.1,94.7,7.9,3.5,
2008,11.8,2,0,0,29,0,91.9,23.8,212.6,23.3,0,0
2009,6.5,2,6.2,1.5,14.5,11,30,23,,39.2,33,10
2010,25,5.5,7,36,8,182.5,,5.5,273.2,0,0,0
2011,1.5,0,0,0,0,87,55,11,10.5,3.5,0,9
2012,1,15.5,14,3.5,13,3,17,10,52.5,10,,
2013,22.5,0,0,2.5,53,2.5,11,51.5,205.3,2.5,27.5,64.5
2014,7.5,0,12.5,6,7.5,9.2,0,16.8,109,0,76.5,31.5
2015,5,32,74.5,48,58.5,46.5,0,34,46,19,4,1
2016,27,2,32,3.5,51.5,11,1.5,88.7,33,14.5,38,17.5
2017,6,0,43,22,13,0,5,10,180,43.5,3,35.5
2018,0,1.5,0,27.5,5.5,110,2,2,98.5,38.5,6,25
