Year,January,February,March,April,May,June,July,August,September,October,November,December
1942,,15,13.5,23.5,70.5,96,21.8,110,35,205,0,2
1943,17.5,14,0,30,37.5,10.5,20,10.5,96.5,36,33,14.5
1944,7.6,3,9,26.4,16.7,70,16.3,80,81,14.5,12.2,5.7
1945,21,17.5,1,35,11,35,28,19,40,105,6.5,4
1946,11,30.9,0,74,36.4,43,42,36.8,40,33.3,8.2,11.2
1947,13.8,5.5,0,47,27.5,10.4,27,81.2,13.6,34.5,6,8
1948,2,5,27,10.8,60,75,36.2,48.3,74.7,75.8,1.3,1
1949,5,19.4,6.5,52.2,17,29.5,45,22.6,55.4,23,1.5,42.7
1950,0,9.2,24,32.4,9.7,28,9.8,9.5,52.4,,5.2,0
1951,3,2,13.7,20,62,43.5,12.7,80,129,69.2,2.3,10
1952,2,3.2,19.3,30.5,67,20,17,0,44,14,16,1
1953,0,11.7,25,11.3,2,4.7,21.3,76,81,97,6,7
1954,38,12.8,0,36.5,21.5,1,3,20,76.5,42,70,0
1955,13,22,11.5,14.3,24,18,49,20,110,30,6.5,5
1956,0,5,2,2,109,5,12,16,50,12,74,8
1957,4.5,66,5.5,124,60,15.5,0,12.5,11.5,51,5.5,17.5
1958,8,20,6,7.5,36.5,25,11.5,85,60,96,21.5,18
1959,13,9.5,2,21,30,71,40,44,56,24.5,16,0
1960,2,34.5,5,25,36,24,114,34.5,42,38,52,6
1961,4.5,2,73.5,70,35.5,36,5.5,17,52,82.5,25.5,4
1962,4.5,1.5,12,9.5,16,45,0,30,34,55,89,5.5
1963,2.5,3.5,5,47,74,13.5,8.5,5.5,108,46,23,13.5
1964,2,5,22.5,22.5,80,24,6,6.5,54,55,10,9
1965,14,8,6.5,14,43.5,21,8.5,105,53.5,40,21.5,18
1966,11,66,18.5,44.5,37,48,11.5,63,20,55,23,0
1967,11,18,100,35.5,4,38.5,28,130,175,15,30,3
1968,8,8,30,33.5,54,65,24,97,30,31,8,0
1969,7,10,40,42,11.5,102,18,32,47,100,27,15
1970,3.5,3,3,43,22,17,60,21,21,32,0,0
1971,15,0,0,10,56,42,29,88,57.5,67,9,5
1972,6.5,6,37,18,66,62,44,4.5,97,38,5,2
1973,17,9,1.5,8.5,57.5,122,68,54,46,83,21.5,13
1974,6,0,15,6.5,5,42,18,1.5,126,,1,2
1975,2.5,15,5,13,67,74,59,94.5,40.5,35.5,1.5,32
1976,8,3,16,17,30,22,77,56,88,47,42,9.5
1977,7.5,21,4.5,13.5,46,28,97,65,146,41,3,1.5
1978,5,9,45,8,45,103,13,47,153,68,2,5
1979,4,5,36.5,48,8.5,58,24.5,52,67,0,16,44
1980,6,3.5,0.5,5,54,32,9,21,34,36,20,3
1981,27,6,7,72,44,62.8,44.4,42,10,10,49,7
1982,0,10.5,15,19,19.5,2,6,6.5,22,19,27,54
1983,13,18.5,45,0,65,12,132,61,74,27,105,7
1984,54,2.5,0,0,57,23,57,35,100,3,0,8.5
1985,10.5,5,10,73,24,81,20,60,16.5,28,7.5,9.5
1986,10.5,3.5,6,57,43,51,,,,,,
1987,,,,,,,36,73,70,0,5,1
1988,15,,,,,,,,,,0.5,2
1989,30.5,5,10,6.5,16,22,59,46,108,36,6,
1990,3.5,6,23.5,36,52,0,10,39.5,37,30.5,5,2.8
1991,1.5,35,,26,7.1,13,16,1,28,25,9.5,19
1992,26,8.5,21,11,48.5,4.5,2.5,63.5,35,40,18,6
1993,11.5,11,16.5,8,27.5,73.5,18,12,70,28.5,,8
1994,68,8,9.5,6.5,10,16.5,36.5,36,34,17.5,9.5,7
1995,10,12,16.5,6.5,58,36,36,113,75,16,11,
1996,0,11,1,7,4,17,10,89,44.5,79,2.5,1
1997,7.3,6.5,26,41,65,41,7,4,23.4,100,6.5,1
1998,1,2.5,8.5,4,2.8,35,40,38,87.1,26.5,,3
1999,0,0,,8,23,121.5,61,3,85,46,0,14.9
2000,1.8,12.5,8,5.5,6.9,8.5,3,26,68,120,7,
2001,,21.3,8.2,29.6,11.1,40.1,58,42.5,105,67.3,14.2,5
2002,2,5.9,60.2,12.5,0,48.5,41.2,18.8,200.7,40,14,4.7
2003,33.5,11.9,17,37,94,46,3.4,40.5,80.7,60,7,79
2004,3.6,6.3,58,87.3,28.4,12.5,11.3,35.7,65.5,28,5.8,1.7
2005,16.5,39.5,60.2,33,20,0,221,10,20,100,5.5,7
2006,0,3.5,12,20,30.2,8,,,,,,15.5
2008,9.6,2.5,18,43,26.7,1.2,50.4,,190,29,0,2
2009,17,6,3,3.8,46,20,11.3,67,54.5,140.5,71,15.2
2010,14.6,22,9.5,113.5,64.5,280,89,19,173,6.5,0,0
2011,5.6,0,13.8,1,26,84.5,35.5,16.3,37.1,31.5,7.5,17.5
2012,3.5,25,5.3,16.3,31.4,21,17.7,,49,35.6,40.5,1
2013,10.5,0.5,19.7,18.5,40.8,79,45.5,19.1,101.3,33.8,54.1,54.8
2014,20.1,4.2,6.2,5.7,12.1,42,6.2,24.8,91.7,63.1,27.3,13.1
2015,19.7,27.1,37.8,121.2,42.5,111.2,0,68.6,52,58.9,8.5,4.2
2016,23.9,0,9.4,10.8,72.4,23.9,36.1,59.3,35.4,84.6,60.7,10.6
2017,23.1,48.7,27.1,31.7,46.5,24.5,11.1,24.8,68.8,92.6,3.4,21.3
2018,8.5,18.8,0.4,31.6,41,47.2,36.2,3.7,77,14.8,17.4,9.2
