Year,January,February,March,April,May,June,July,August,September,October,November,December
1951,1.4,0,48.8,2.5,0,95.9,0,0,0,66,8.2,3.3
1952,1,1.8,8.6,20.8,12.2,47.2,7.9,3.8,100,1.4,22.6,0.3
1953,0,8.1,45.9,5.5,5.6,9,11.5,84,30.9,114.4,0.7,19.2
1954,17.1,18.9,0,17.1,19.9,12,14.9,55.6,11.9,191.6,33.3,0.2
1955,12.1,20.8,0.7,1.1,31.1,0.4,177.1,108.5,184.2,36.3,12.3,10
1956,0.6,13.3,3.1,34.3,33.7,35.5,28.3,73.6,69.5,0,37.9,6.9
1957,3.2,29.1,1.5,36.9,16.7,61.2,14.2,113.5,60.7,80.6,14.6,5.5
1958,20.1,14.4,4.3,10.4,48.8,113.9,61.2,93.4,360.6,372.5,26.9,13
1959,19.6,59,1.7,34.4,13,61,0,10.4,70.2,67.7,16,3.1
1960,6,33.6,17.1,13,7.4,3.1,27.8,106.1,120.8,31.3,65.7,23.5
1961,10.7,3.3,46.3,20.3,1.9,64.9,28.8,26.4,123.9,57,17.4,2.3
1962,3.6,5.7,2,3.9,10.1,84.7,0,32.4,108.3,68.8,16.8,12
1963,5.3,4.6,47.7,61.8,62.5,43,35.3,29.2,242.7,21.5,7.2,25.4
1964,6.9,3.8,11.7,26.2,29.7,10,15.2,20.4,75.6,40,38.9,10.3
1965,9,14.2,11.3,21.3,52.9,35.6,0.4,50.4,143.5,39.5,24.5,26.8
1966,42.4,41.1,25.9,45.8,146.3,77.1,0.2,84.5,155.7,67.7,46.9,1.9
1967,13.4,7.8,42,32.5,41.5,19.5,61.6,359.7,284.2,70.3,40.7,1.1
1968,25.26,18.3,0,41.4,47.4,31,114.8,84.2,175.3,109.5,10.1,0.5
1969,0.7,3.6,4.1,5.7,38.9,83.4,36.4,121.6,138.8,122.1,58,10.4
1970,0,105.4,0.8,25.1,20.4,30.6,84.7,19.2,184.8,33.6,0,3.8
1971,0,1.8,0.5,1,19.8,104,52.3,142.6,262.2,80.5,23.9,9.8
1972,0,0,4.6,6.9,92.8,121.5,0,36.4,207,76.9,16.1,0.8
1973,17,31.4,0,13.8,12.3,243,36.2,117.7,44,94.9,17.3,14
1974,0,,14.5,0.7,,,,,,,,
1981,82.1,25.9,35.6,166.5,111.2,54.8,51.1,39.9,122.8,21.9,2.1,0.1
1982,0,5.3,14.3,73.7,62.3,3,12.4,13.5,58.1,145.1,18.2,55.8
1983,41.3,45.2,18.5,0,123.6,54,137.1,48,221.4,97.3,0,6
1984,131.6,0.7,1.7,0,82.4,24.7,57.6,2.6,94.5,49.3,18.8,
1985,35.1,0,,10.9,0,105.2,19.1,75.9,18.5,71.9,,3.4
1986,0.3,0.8,0,2.7,,,,0.6,301.8,91.8,38.7,85.2
1987,19.6,26.4,24.2,47.2,37.5,58.4,39.7,50.5,116.5,46.1,6.6,1.1
1988,14.1,21.1,7.1,32.9,59.7,0,0,140.8,233.9,62.5,0,0
1989,21.1,0,0,22.1,0,0,0,0,6.1,0,0,0
