Year,January,February,March,April,May,June,July,August,September,October,November,December
1948,1.5,9.3,20.2,17.7,91,51.6,79.2,70.5,179.4,149.5,3.7,0
1949,23.2,42.3,8.7,55.6,9.9,64.7,33.5,8.6,152.4,33.2,2.1,75.2
1950,4.8,9.9,46.1,10.3,6.9,18.9,36.6,14.4,60.4,,0.2,0
1951,3,0.2,44.7,3.3,43.7,104.8,5.4,63.4,259.1,64.8,11.7,5.8
1952,4,1,74.9,24.1,8.3,57.5,1,2.5,75.7,0,41.8,1.5
1953,0,,,5.7,0.7,0.5,0,83.2,27,96.5,0.6,19.1
1954,41.5,18.5,0,19.5,21.1,22.3,7.5,36.3,15.3,95,35,0
1955,13,21,0,1.5,20.9,1,204.7,91.2,190,35,11.6,8.5
1956,0,26.1,1,35.7,26.5,26.4,22.5,62.7,61.4,0,34.5,12.9
1957,4.8,25.1,0.9,37,18.1,59.1,5.5,96.8,51.5,69.2,11.2,7.8
1958,14.1,13.2,3.5,8.2,35,113.7,53.5,74,373.9,384.6,15.8,9.8
1959,8.4,50.9,1,27.8,14.6,46.8,43.9,15.6,98.2,54.8,9.8,1.3
1960,5.6,38.2,13,15.1,3.7,2.3,21.9,74.8,113.4,28.6,70.2,20.3
1961,10.3,2.4,42,20.5,7.5,72.5,29,62,145.5,74,16.5,3
1962,5,0,4.5,3,11,130.5,0,31.5,215,64,19,14.5
1963,4,4.5,42.5,122,33,36.6,26.4,24.5,200.8,23.3,8.6,11.7
1964,13.1,,13.5,38.9,47.7,27,26.5,27.5,214.6,55.1,30.7,10.8
1965,6.9,15,10.5,21.8,104.8,26.2,1.1,60.5,157.6,41.3,20.2,12.8
1966,28.1,41.9,23.6,59.5,154.4,97,1,83.2,144.8,72.5,77.2,0
1967,,,78.3,27.5,48.7,8.3,54.4,488.5,347,77.2,39.5,1
1968,24,19,16.5,31.5,37,35.5,148.5,104.5,174.9,160.7,11,0
1969,0,7.3,9.3,8.4,37,104.5,39.5,133.5,149.4,97.2,58,11.2
1970,13.6,119.5,2.6,28,25,39.9,90.3,19,188,35.5,0,5
1971,5.5,2.5,0,0,19.8,75.6,28.3,157,241.5,84.7,20,8
1972,8.5,11.5,3.5,7.5,97.6,201.5,69.6,32.6,169.2,77.7,11,3.5
1973,20.5,34.2,0,16.3,15,390.8,22.7,172.5,60.3,118.9,16,19.6
1974,7,0,27,5.2,28.1,55.6,4.5,18.7,330.3,60.1,3.6,4.8
1975,13.1,15.5,2.5,16,43,4.6,102.8,75.1,138.8,14.5,1.4,24.5
1976,2.7,2.3,15.4,50,27.7,72.4,365.8,31.4,142.1,46.8,105.9,14.8
1977,24.8,12.7,6.1,19.1,27.9,7.7,7.4,63,138.6,131.3,0,7
1978,10.4,11.7,0,19.2,43.8,44.5,19.3,237.1,332.8,148.5,15,4.7
1979,3,3.3,20.2,22.2,32.1,146.8,63,40.4,131.6,0,18,59.7
1980,6,7.9,0,14,78.5,16.8,34,213.4,117,105,25.5,7.6
1981,44.1,24.5,46.5,83.2,97.3,98.7,73.3,89.3,118.3,10.5,3,0
1982,0,11.3,14.5,72.9,53.4,11,3.5,52,45,144.3,14,50
1983,13.5,0,,,246.8,4.7,,36.5,150.3,98.7,2.7,7
1984,115.8,0,0,,249.1,36.6,74.8,,,,,
1985,29.8,16.5,62.9,79,88.5,98.5,15.5,127,30.5,107.5,33.5,3.1
1986,2,0.8,3.7,,72.8,104.7,0.8,29.6,146.7,120.1,63,78.4
1987,16.3,27,28,42.8,81.3,78.8,60.8,0,157.4,27.8,3.9,1
1988,28.1,14.7,4.8,19.4,52.2,152.2,26.4,157.2,265.6,30.5,0,0
1989,32,16.9,2.1,28.8,23.6,1,74.4,62.3,176.6,16.6,7.1,31.9
1990,3.7,8.6,37.4,39.2,24.4,19,33.3,56.8,178,135.1,7.2,0
1991,12.4,14.3,4.6,55.2,43.4,106.3,23.9,106,143.7,9.7,22.4,82.2
1992,66.5,13.4,6.8,70.3,88.2,12.7,0.8,26.3,76.4,41.6,24.3,11.8
1993,39.5,19.3,13.4,14.1,86.4,256.7,3.2,43.1,175.1,14.4,15,4.2
1994,75.5,10.5,54.8,14.2,77.2,13.8,1.8,10.25,104.5,30,43.5,27.5
1995,8.5,16,16.3,4.4,65,21.13,0,44.1,20.9,14.8,33.4,25.8
1996,12.6,3.3,7.5,8.6,5.4,48.3,21.5,275.9,3.3,112.1,5.6,0
1997,6.5,20.2,120.2,105.3,31.4,104.9,6.9,5.8,47.5,155.6,44.6,
1998,0,14,26.4,2.5,0,21.8,6.6,91.3,114.5,120.4,43,3
1999,0,0.5,22.9,31.9,36.2,148.5,119.4,30.5,78,16.1,0,27.7
2000,6,38.5,26.6,11.8,81,87.3,23.5,64.9,180.3,142.1,,
2001,,,,32.5,,30.8,81.5,93.9,311,92.3,,
