Year,January,February,March,April,May,June,July,August,September,October,November,December
1980,,,,20,13,40,,65,52,47,39,28.8
1981,58.8,25.2,12.1,47.8,,62,50.2,,58,0,7.3,2.4
1982,0,28.6,1.1,69.8,,10.7,5.2,25.7,40.9,73.3,7.5,5.2
1983,40,0,23.6,,200.8,25.5,94.8,,38.6,15.2,5.6,0
1984,31,,13.7,0,28.4,9.3,33.5,115.2,64.5,1.5,2.6,21.5
1985,17.6,12.2,4,83.7,12.9,91.4,29.7,87.6,51.6,4.2,9,
1986,0,0,0.6,146.7,44.5,60.6,24.7,32.5,13.7,31.2,30.1,25.9
1987,55.2,17.2,91.5,87.2,112.6,135.3,60.4,32.9,87.5,,,
1988,0,2.1,1.5,56.6,40.3,107.3,49.2,123.9,41.4,1.8,,3.9
1989,0,0,3.6,23.6,31.2,37.1,10.9,130.2,44.7,19.1,53.5,60.8
1990,12.9,47.5,6.5,5.6,64.4,37.9,63.5,12.2,137.2,69.1,,0
1991,9.5,21.6,0,4.1,60.7,0,49.4,95.4,152.4,34.4,7.2,50.1
1992,141.4,20.1,37.1,39.2,141,59.8,88.1,108.2,37.8,39,96.4,
1993,9.9,0,16.7,2.5,36.8,164.4,51.9,30.7,103.2,29.2,15.6,0
1994,14,0,7.3,22.4,85.6,64,63.6,79.6,138.7,72.5,0,0
1995,0,0,7.3,2.3,23.5,107.7,73.2,140.4,47,0,,58
1996,0,0,1.6,18.7,50.7,19,50.1,101.5,185.7,17.1,0,1
1997,17.8,15.2,55.6,120.2,153.4,20.8,6.1,0,49,52.6,,
1998,,0,0,0,0,138.9,15.8,140,102.5,38.8,0,0
1999,0,0,0,0,49.5,,,,,,,
2000,0,0,10.6,33.3,47,85.6,25.5,64.5,13.3,27.5,6.5,0
2001,0,0,20.4,66.3,30.4,65.5,27.5,0,62.2,0,0,0
2002,0,0,15.5,0,111,89.6,,,,,,
2004,,,,,,,,,,,,0
2005,0,79,5,5,13,43,24,27,17,15,0,0
2006,0,0,0,5,29,92,136,,,,,7
2007,2,6,0,7,50,130,100,,,,0,0
2008,0,0,0,30,80,10,0,0,,0,0,0
2009,0,0,20,,,,,,0,60,0,
2010,,,0,40,20,30,250,50,80,0,0,0
2011,2.4,0,6.4,0,9.5,8.1,41.7,36.5,40.5,41,10.5,0.5
2012,2,82.5,16,12.5,23,55.5,7,99.8,26,8,14.5,1
2013,91,0,0,1,32,53.1,25,97.5,148,22.5,34.5,
2014,17.5,0,31.5,19.5,118.5,33,143.5,79.5,114,62,45,4.5
2015,35.5,25.5,68,53.5,107,49,21.5,119,33.5,122,7,13.5
2016,38.5,2,28.5,14.5,79.5,28,18,50.5,53.5,51.5,74,0.5
2017,2.5,1,63.5,41,103.5,123.6,48,71,77,17,1,11.5
2018,25.5,37,0,123.5,27.5,55,28,58,101.3,65.5,24.5,0
