Year,January,February,March,April,May,June,July,August,September,October,November,December
1975,31,42.5,39,28.8,40.5,138,119,77,165.5,55,2,34
1976,8,2,,29,83,24,248,126.5,133,49,51.5,26.5
1977,14,14,3,89.5,,61,22.5,100,206.5,27,6,0
1978,20.5,28.5,33.5,,69,74.5,62,63,330.5,78,10,15.5
1979,12.5,19,7,43,54.5,55.5,41,161,46.5,10,5,155.5
1980,25,18,3.5,23,76.5,13,52,101,102,103.5,29,29.5
1981,44.5,34,43,66,142,243,110,112.1,132.5,42,2,3
1982,0,13,9.5,,,22.5,25,76,135,65.5,,36.5
1983,50,13.5,50.5,0,143.5,,104.5,188,112,35.5,8,0
1984,196.5,0,0,6,59,65.5,140.5,32.5,209.5,,15,56.5
1985,69.5,22,16.5,127,98.5,89,24.5,132,36.5,86.5,14.5,70.5
1986,1.5,20,5,91.5,41,152,33,22,160.5,141.5,86,92.5
1987,90.5,43.5,14,65,99.5,76.5,103,83,95,9.5,27,26
1988,35.5,13.5,0,68.5,56,46.5,122,249.5,281.5,31.5,9,11.5
1989,18,1.5,2,46.5,29.5,49.5,45.8,39,91,16.3,31.2,73
1990,0.8,119.9,21.5,19.2,105.8,48.7,201.1,179.8,204.7,114.4,4.3,0
1991,9.5,46.5,0.2,12.1,50.1,64.3,134,55.3,106.5,33.1,7.5,50.3
1992,157.7,44.2,36.3,33.5,107.9,55.6,155.6,55.5,83.3,75.4,33.8,32.3
1993,6.3,4.7,21.8,35.8,,153.9,35.5,79.5,271.6,56.1,36.2,30.4
1994,9.1,1,21,11.1,108.2,147.3,115.7,143.1,107.3,59.9,20.8,23.5
1995,12.1,13.1,26,1.6,82.9,57.1,112.1,249.6,22.5,12.2,12.8,38.4
1996,2.5,12,9.4,12.6,35.3,46.8,58.1,250.3,159.6,43.9,1.8,2.4
1997,17.7,22,68.5,61.5,77.5,113,50,60.6,103.5,137,2.6,4.6
1998,0,2.9,2.6,14.3,15.9,33.3,50.3,119.1,159.7,56.2,2.2,0
1999,0,2.7,17.9,14.2,21.2,50.7,212.7,52.9,55.6,45.3,1.5,0.1
2000,13.7,0,4.5,13.7,72.3,183.8,47.8,145,63.5,139,11,3.8
2001,13.6,4.4,33.8,42.4,37.2,36.3,24.6,41.3,178.5,33.1,13.5,2.8
2002,12.4,31.9,0,41.8,97.1,79.7,170.8,67.7,158.6,107.1,14.6,3.6
2003,35.3,28.4,41,10.9,32.1,40.6,122.4,102.2,110.6,138.2,0,2
2004,15,19,84.8,31.6,23.2,74.6,139,98.1,68.7,24.1,3,1.1
2005,4.2,57.8,45.1,17.5,66,18.3,203.5,142.6,87.7,88.8,0,16
2006,7.5,0,10.5,33.5,50,34.3,45.7,87.3,154.3,52,17.5,62.5
2007,36.8,17.4,7.5,31.8,90.6,137.8,138,187.5,140.5,20.5,21,1
2008,5.7,5,27,59,71.5,35.5,139,232.6,220.5,37,6,1
2009,1.5,3.5,,,,,,,,,99.5,48
2010,36.8,17.4,7.5,32,97.5,128.5,446.5,40.5,172,16,0,0
2011,18.5,1,9.5,0,6,221,109.4,16.5,3.2,21.6,18.9,1
2012,12,100.3,50.5,24.5,29,52.3,101.6,81,44.8,1.5,14.1,0
2013,90,0.5,0,20.5,70,49.5,124.3,79.8,418.2,48.5,49.5,190.8
2014,40.5,3,37.7,23.5,100,111,81,103.8,383,54,2,0
2015,35.1,44,156.5,62,125.5,87.5,49.5,73,46,139.2,6.5,
2016,39.5,0,49.5,39,73,68,84.3,82,58.5,74,61.3,8
2017,9.5,13.5,41.2,22,19.2,61,96.3,120,108.5,147.5,3,10.5
2018,36.5,16.5,2.5,123.3,50,100,30,26,243.5,73.5,18,9.5
