Year,January,February,March,April,May,June,July,August,September,October,November,December
1985,8.3,1.7,47,13,30,30,12,0.3,15,28,3.1,2
1986,,,,102.3,222.3,226.1,0,0,165.9,70.3,,146.2
1987,60.7,20,60.4,51.8,102.6,106.5,46.3,59.6,74,54.4,0,0
1988,56.3,24,0,67.7,119.9,140.1,25,130.3,112,80.9,12.3,0
1989,54.3,43.9,3.4,50.2,3.2,29.1,38.1,69.1,200.4,,,
1990,,19.8,10.1,118.6,85.2,77,6.4,108.9,181.3,59.9,24.1,7.6
1991,29.9,31.7,15.5,50.1,62.3,,,,130.6,34.6,47.2,62.7
1992,164.7,,22.7,67.5,179.4,7.8,3,54.5,123,73,32.2,38.3
1993,24.9,40.7,71.1,63.4,88.1,192.4,0,52,250.7,77.2,31.7,16.5
1994,91.1,35,54.2,22,95.3,29.9,90.5,67.2,83.7,23.4,31,14.3
1995,12,36.9,32.2,5.2,130.3,65.7,72.5,317.8,25.2,10,39.3,32
1996,11.6,0,4.1,13.7,2,38,17.4,327.7,27.5,109.1,8.3,0
1997,9,35.8,95.3,179.4,57.5,10.3,9.4,0,124.6,139.9,33.9,4.2
1998,0,15.8,36.6,2.5,0,40.6,48,112.2,102.6,44.3,79,
1999,0,0,46.3,13.7,92.6,191.1,0,200.2,96.3,63.6,0,22.4
2000,2,37.1,24.4,14.5,137.7,94,11.5,82.4,96.6,,21.5,20.2
2001,11,34.9,30.2,47.4,20.5,80,20.8,114.8,443,76.4,96.9,3.5
2002,2.5,4.5,30.2,17.5,0,103.9,138,60.5,298.4,299.6,26.1,2.9
2003,74.8,20.9,28,37.8,99.9,130.8,25.3,125.5,603.9,205.5,8.9,37.1
2004,12.7,17.2,182.8,248.1,25.9,71.5,14.2,97.7,414.4,23.5,12,3
2005,34.5,100.5,58.6,20,109.5,3.6,297.7,9.3,68.9,448,7.6,8.8
2006,0,16.4,11,30.9,58.6,3,3,84.7,254.4,97,68.8,91.7
2008,23.2,7.8,19.5,26.3,70.2,0,185.2,236.1,406.2,74.2,1.1,7
2009,42,14.1,16.8,20,22.6,15.4,33.8,89.22,189.9,91.7,55.5,33.6
2010,38.5,32.62,24.3,182.2,31.5,287,308.7,34.1,603.4,1.3,0,0.3
2011,34.6,5,1,0,19.5,84.1,69,26,13.5,99.6,1.8,31.4
2012,4.1,43.9,6.4,30.4,119.3,80.5,28.2,30.8,133.4,22.8,96.7,1.5
2013,20.4,0,40,59.9,105.4,25.8,83.1,47.9,321.2,40,82.2,103.6
2014,10.6,32.2,17.7,31.6,26.4,14.7,19.5,44.5,320.1,262.8,51.1,79.3
2015,41.4,98.1,112.9,56.4,189.9,97.9,26.8,38.1,83.2,70.2,27,3.4
2016,32.5,0,18.6,64.9,177.5,18.7,62.4,137.3,163.5,104.3,194.3,20.5
2017,36.5,10,93.7,26.2,181.5,40.3,12.2,61.8,242,125.9,6,49.2
2018,18.9,67.4,5.1,122,97.3,66.4,12.7,22.5,324.9,45,26.7,40.4
