Year,January,February,March,April,May,June,July,August,September,October,November,December
1973,26,81.5,21,15,,344.5,7,83.5,,75,10,13
1974,12,8,107,12.6,55,118,20,48,89,37,3,3
1975,15,6,6.5,30.5,103,53,168,86.5,110.5,49.5,0,9
1976,12,0,36,38.5,49,55,192.5,42,80,94,122,44
1977,32,14,10,7,61,3,9,17,63.3,21,0,12
1978,11,1,0,12,96,63,25,59,204,125,9,10
1979,8,10,9,45,27,,12,163,18,0,1,60
1980,31,17,0,0,50.1,9,0,129,86,16,50,20.8
1981,84,31,27,88,184,253,27.2,79,51.7,50.4,0,4
1982,0,17.6,,55.3,149.2,8.1,0,34.5,12.5,37.5,57.3,45.9
1983,,114,7.5,0,,65.8,17.6,59.7,26.8,41.7,59,7.3
1984,110.5,14.5,,,58.6,23,91.7,,,,,
1985,44.5,15.6,6.4,106,112.7,117.9,35.5,32,52,96.3,18.3,7
1986,9.2,12,11,17.9,105.1,67.5,0,22.2,54.5,48.8,14.8,44.9
1987,59.8,58.1,19.9,23.2,74,80.8,50.7,160.2,10.4,6.8,7,
1988,,16.8,10.5,11,,0,195.6,83.2,,58.3,0,
1989,12.1,16.9,0,58.2,6,,11.3,24.7,57.7,0,8.5,
1990,0,37.5,9.9,11.1,0,,,,,,,
1992,,,,,,,,,75.6,36.9,51.4,9.5
1993,4,29.5,13.5,,,,,,37,,,
1994,,,,,,,,,,0,0.5,19.5
1995,4,0.5,5.5,6.5,,,64.4,78.8,78.5,29.7,115.5,21
1996,0.7,1.1,1,3.5,20.5,8,9.5,69.7,36.5,41.7,13.2,5.2
1997,9.3,27.3,67.3,72.8,105,45.3,67.5,0,156.1,72.4,36.6,10.9
1998,0,34.7,47.3,0.5,0,10.3,10.5,193.8,233.6,,,
1999,0,1.9,41.4,0,16.2,72.4,85.8,6.3,113.2,20,0,11.9
2000,42.9,48.5,2.3,15.3,56.3,44,10.3,13,54.7,102.8,38.3,14.2
2001,19.1,31.3,32.4,11.2,49.3,81.1,9.2,12.7,178.4,1.3,28.2,24.6
2002,6,4.1,0,9.3,8.7,4.5,194.6,55.8,171.9,118.6,29.4,1.2
2003,21.2,66.8,13.5,43.1,,17.2,31.3,84.5,302.1,198.6,106.9,2.3
2004,,5.9,54.2,109.2,37.7,40.4,,48.2,248.6,25,,4
2005,28.8,59.4,4.2,0,63.3,16.4,164.2,0.6,0,71.8,10.2,8.3
2006,0,8.6,6.7,,40,11.9,19.5,,156.3,73,0,124.9
2008,20.6,5.5,0.8,11,33.7,16.2,318.1,223.3,66.1,0,50.4,2.9
2009,2.3,18.7,5.3,1.5,77.2,0,12.5,6.3,96.4,38.9,42.5,70.9
2010,44.7,45.3,16.8,121.1,52.7,120.4,135,18.5,326,1.9,0,0
2011,18.6,0,5.1,0,1,106,20,4.2,45.9,12.5,0,83.6
2012,7.1,50.3,0,13.9,54.3,112.8,22.5,0,7.8,9.5,46.6,11.3
2013,22,1.3,0,31.5,139,52.9,16,11,254.1,1.8,40.2,85
2014,0,9.8,22.1,2.8,57.1,7.5,60,32.1,153.7,23.1,61.3,
2015,22.3,24.6,97.8,106,97.5,60,2,28,72,55,8.7,0.6
2016,30.6,0,34.9,29,97.8,29.1,8.6,115.3,105.4,0,28.8,36.7
2017,10.6,2.3,63.3,18,70,18,2.5,4.6,92,80,15.5,32.1
2018,11.2,10.2,24,,,12.7,9,0,272.8,32.6,33,12.7
