Year,January,February,March,April,May,June,July,August,September,October,November,December
1980,,,,37.4,17.3,16.2,,51.6,46.3,74.8,28.8,9.5
1981,92.7,,17.2,36,161.4,87,0,16.7,85.2,24,0,0
1982,,0,4,15,57,,,32,,31.5,0,
1983,26.4,2,21.7,0,33,71,0,3,81.5,5.5,0,4.5
1984,150.4,34.5,1.7,0,45.7,88.7,12.1,30.6,143.6,0,0,9.4
1985,67.4,12.4,19.6,79.8,24.1,52.1,0,33.9,62,17.1,0,0
1986,0,0,1,18.2,46.6,17.3,6.7,5.7,54.4,55.7,61.1,48.1
1987,43,64.1,3.2,82.2,82.5,,19.6,64.8,88.2,6.4,4.3,27.7
1988,40.2,0,8.7,13.5,37.7,13.1,31.1,130.6,146.3,6,0,0
1989,,0,0,0,0,2.3,,,18.6,27.5,107.9,159.3
1990,,54.9,106.6,55.1,96.3,32.1,85.4,77.2,66.7,52.2,0,0
1991,0,3.3,2.1,3.5,18.6,72.2,87.6,,130.6,43.7,0,109.6
1992,,,,,,57.6,25.1,25.4,78.8,56,53,
1993,,,,,,,25.2,0,75.9,0,86,
1994,0,0,58.3,52.1,0,98.4,0,46.2,29.3,42,3.6,
1995,,,,,,7.6,29.4,76.1,24,5.2,5.3,12.1
1996,23,1.3,2.3,0,28.4,15.5,5.7,163.9,43.4,13.9,1,1.2
1997,42.2,7.3,75,92.9,45.6,128.4,,37.9,66.4,38.3,58.6,0
1998,0,0,0,9,15,87.6,50.4,,136.4,39.7,0,0
1999,0,0,0,0,17.1,193,21.2,0,41.1,79.6,1.3,0
2000,0,9,6.4,6.5,37.7,73.7,67.6,38.6,23.5,49.3,15.2,0
2001,0,70.5,42.5,8.6,12.2,13.7,34.2,41.9,136.1,34.7,13,30.9
2002,2.4,0,0,19.8,,24.8,,30.4,,132.6,,45.7
2003,82.4,70,37.4,0,26.3,,,92.6,185.6,81,22.8,65.7
2004,57.1,41.3,29.9,8.8,37.1,73.7,139,127.3,,,27.2,0
2005,8.9,87.4,34,0,8.5,3.2,165.1,59.6,0,0,0,9.8
2006,0,0,0,1.3,0,16.7,15.8,43.3,95.6,11.4,0,35.1
2007,68,0,6.3,3.5,83.3,79,92.6,65.8,14.4,12.1,17.5,0
2008,3.4,0,0,7.3,25.9,0,,77.4,107,0,0,0
2009,0,0,67,0,2.3,51.4,26.8,15.5,106.6,86.5,25.4,0
2010,83.7,15.6,0,0,60.1,,26.8,15.5,106.6,,25.4,0
2011,0,0,0,0,0,0,66,45.8,0,29.6,0,0
2012,6,51.7,38.4,7.5,5.2,69.3,58.4,,,6.4,4.6,
2013,80.8,0,0,0,157.1,91,57.2,112.3,327.6,88.1,70.7,
2015,60,75.3,280.6,126.7,110.3,120.8,31.1,84,42.6,77.3,11.5,25
2016,52.7,0,8.8,15.3,90.7,46.2,33.6,76.2,27.33,55.7,70.7,26.4
2017,45.7,16.2,65.3,9.7,47.5,24.8,41.9,43.6,92.8,62.5,0,42.9
2018,0,31.9,1.1,31.1,18.9,7.3,47,72,222.3,63.8,12.9,11
