Year,January,February,March,April,May,June,July,August,September,October,November,December
1982,0,12.5,54.5,68.3,231,6.5,11.5,4.5,69.5,26.5,16,62
1983,47.5,44,,,,,91,,103.5,93.5,0,15.5
1984,140,0,,,75.5,49.5,20.5,,,,,
1985,48,22,10,103.8,112.2,33,23.6,6,38,50,4.5,6.5
1986,7.5,,8.5,49.5,76.5,289.5,0,0,221,83.5,16,63.5
1987,19.5,30.5,17.5,36.5,66.5,109.5,119,179,73.1,25.5,46.5,5
1988,24,34,0,22.5,51,69.5,88,333,320.7,15.5,0,0
1989,17,21,1.5,41.5,2,15.5,195,80.5,50.5,31.5,18,47.5
1990,10.5,31,17,4.5,37.5,0,25.5,121,126,64,6,0
1991,18,0,9,4.5,9,121,22.5,24.5,212,17.5,8,59.5
1992,86.5,31.5,1.1,67,78.5,24,52,155,88.5,40,22.5,29.5
1993,16.5,4.5,5.5,35.5,100,146,0,45.5,240,4,14,6.5
1994,54,0,27,10.5,33,43,47,15,97.5,9,12,41.5
1995,11,1.5,22.5,0,60.5,7,15,121.5,58.5,14.5,74,30.5
1996,4,0,3,33,20,26,27,204,17.1,136,13,3
1997,14.5,19,75,85.5,77,33,9,9,172,82.5,25.5,6
1998,0,33.5,19.5,0,0,24,0,57.5,150,56.5,57,4
1999,0,0,46,0,44,0,43,101.5,80,22,0,16.5
2000,3,24,7.5,24,114.5,93,2.7,29.5,99,260.5,25.5,10.5
2001,20,28,28.5,35.5,76,96.5,3.5,19,181.7,34,20.5,15.5
2002,0,0,0,6,73,43.5,221.5,2.5,152,159.5,24.5,0
2003,13.7,36.3,13.5,12,90.5,12,109.5,49.5,216.9,77.3,21.5,36.5
2004,15,21.5,100,50,39,30,12.3,54.5,257.5,29,,0
2005,31.5,,15.5,10.9,154.5,0,240.5,3,19.5,62.8,30,5
2008,39,0,4,23,35,6,117.5,250,283,25,0,0
2009,12,6,8.5,32,12,19,128.9,7,106,47,6,62
2010,28,18,5,66,28,150,263.6,0,,4,0,
2011,10.5,0,12,0,0,70,7,0,0,0.3,0,34
2012,0,2.1,6,0.9,4.2,24,,,,,,
2013,32.5,0,15,33,40,16,0,0,266,8,49,87
2014,13,19,31,3,74,49,,,,,,
