Year,January,February,March,April,May,June,July,August,September,October,November,December
1980,,,,,,,,14,0,28,,3
1981,24,20,19.7,44,32,0,0,56.1,17.5,30.1,,
1982,0,10.3,0,38.3,38,0,,18.2,,,,
1983,,10,0,0,60.4,6.3,7.7,23.1,31.1,19,0,42.5
1984,11.3,0,0,0,10.3,38.1,66.3,0,62.8,7.9,0,0
1985,6,0,0,46,55,18,54.7,3.2,0,7.9,,
1986,,0,0,45.5,14,66.5,35,0,61,61,0,0
1987,28.5,38.7,0.5,27,46.2,6,52.4,40,70.5,100,6.7,21.5
1988,17.5,0,2,31,29,43,130,58,195,13.5,5,0
1989,11,3.5,0,16,0,5,34.5,34.2,157.6,8.5,22,52
1990,8.5,16.5,17,16,48,18.7,142.5,38.7,2,,2,0
1991,5.2,22.7,0,25,41,28.5,33.5,34,101.5,19,6.5,36
1992,111.5,18,6.3,9.2,77.7,24.4,59,9,29,13,25.5,19.3
1993,10,2.5,35.5,0.5,45.8,91.7,19.4,46.7,60.5,22.6,12.7,4
1994,4.5,1.5,5.8,28,29.7,29,20.5,17.5,36,39.5,5,32.5
1995,7,42.5,0,22.5,256.5,6,61.2,64.3,69.5,12.5,33.3,103
1996,11,2,0,5.6,25.3,15.7,42.5,27.9,102.7,12.1,2,0
1997,8,14,18,41.6,36,31,66.7,1,21,43.5,38.6,22.4
1998,2,14.5,0,0,0,58,5.6,61,45.1,24.3,5,3
1999,0,0,0,10,,,,6,,0,0,0
2000,,,,0,0,0,0,0,0,11,4,0
2002,0,8.7,1.5,5,42.5,30,109,31,64.6,56.5,19,1.5
2003,6.3,25.3,15,,,,,,,0,,
2004,36.4,12.7,8.5,3.5,14.2,80.1,112.8,33.4,112,9.5,26.1,0
2005,12.3,42,7,,,,,,,,,
2006,,,,,,,,,,,,18.6
2007,13.5,1,8.7,7,16.1,54.2,213.5,9.7,29.3,5,3.5,0
2008,3.5,0,0,4.3,23.3,25,69,114.7,36,5.4,4,3
2009,1.5,0,2.9,0,24.6,35.8,9.7,2,48.3,17.6,3.5,
2010,17,,0,17,58.9,41.7,179.5,27.5,47.1,1,3.5,0
2011,0,0,0,0,3,1.6,34,1.5,14,0,2,9
2013,35.7,0,0,2.7,24.1,41.8,73.9,14.9,91.5,9.3,36.5,
2015,8.8,0,205.7,68.1,70.1,51.5,42,20.1,29.7,55.6,36.5,0
2016,3,,39.5,26.8,80.9,41.2,12.6,86.8,27.5,12.5,43.4,7.4
2017,4,0,17.5,26,6,5,33,14.5,78.5,3,0,43
2018,0,12,0,6,9,33,23,11,109,31.5,3,21
