Year,January,February,March,April,May,June,July,August,September,October,November,December
1927,0,7.5,,,,,31,24,7,0,0,6
1928,47,25,23,1.5,4,8.5,23,8,80,0,10,15
1929,2,0,2,1,11,0,19.4,3,29,10,48,4
1930,9,9,5,19.2,22,29,14,4.1,5,91,59,27
1931,52,27.5,11,10.5,37.5,9.5,69.5,8,5,8,0,39
1932,2.3,6.3,3,7,5,25,45,21,61,5.3,3.5,0
1933,0.5,37.9,13.8,1.5,4.2,7.2,53.7,71,127.5,36,5.5,0
1934,20,3.5,0,36,78.8,33.5,38.7,11,14.2,9,0,3
1935,12.5,23.7,16.2,1.9,10.2,80.4,67.8,3.5,80.2,0,1.2,14.2
1936,1,0,5.5,3,41.5,14.7,48,13.5,66.3,1.2,16.2,25.5
1937,26.7,17,0,0.1,48,35.1,27.6,43.5,62.8,5,0,53.5
1938,0.5,2,15.5,5,3,59,85.2,71.5,5.5,0.1,15,45
1939,34,0,4,14,8.5,80.5,51,88.5,40.5,59.1,4.2,0
1940,12.5,3,0.2,0.2,9,57.5,2.8,83,88,9.5,18.2,48.2
1941,24.5,15.5,9.8,22.5,12.5,48,38.5,35,35.2,14.5,9.5,24.7
1942,6.5,7.5,4.5,0,13,30.5,41.2,13.5,53.5,45.5,0,0
1943,44.5,0,0,9,6.5,21.5,37.5,6,41,6,38,21
1944,0,7,17,0,12,28,10,48.2,17,0,14,0
1945,18,25,0,4,25,27,28,15,30.5,18.5,0,6
1946,9,9,2,58.1,13,12.5,37,50,69,0,26,35
1947,3,0,1,12,20,14,6.5,87,30,10,17.5,0
1948,8,5.5,0,3,10.5,52.5,49.5,32.5,129,36,6.5,0
1949,0,6.5,1,22.5,6,29.5,14,15,42.5,14,0,16.5
1950,0,0,30.7,12.5,33.3,6.5,49.5,31.5,24,23.5,2,0
1951,0,0,29,5,8,16.5,20.5,8,116.5,40,5.8,0
1952,0,0,0,26,0,72.7,17,5.5,7,0,2,0
1953,0,15.5,9.5,5,6,0,14,71,9,20,6,30.5
1954,0,8,0,3.5,50,7.2,33.7,10.3,6,37.1,1.5,3
1955,5,3,0,7,27.8,8,38.8,9.2,38.2,18,16.5,0
1956,0,0,0.5,23.3,3.3,4.8,31,29.1,14.5,2,17.5,10.5
1957,0.8,18,8.6,14.8,26.3,5,6.5,4.5,24.1,12.5,10.5,2
1958,6,5,6,14.5,24.5,70.5,7,58.6,100.4,82.2,23,17.5
1959,8.5,58,0,28,69,38.5,50.5,75.5,35.5,68.5,16.2,0
1960,14.5,4,0,6,5,5,27.5,79.4,36,34,2.5,35
1961,20.5,0,4.5,6,19,34.5,35.6,18,89,6,9,0
1962,0,3.5,1,7.5,6,26.5,12.5,25.3,28.3,11.8,10.5,22
1963,0,4,0,4.5,44,17,15.5,4.5,72,23,13.2,19.5
1964,27,9,8,6,45.5,10,15,28,68.5,8,28,12
1965,5,19.5,0,2,9.5,21.5,56.5,24.5,22,20,27,27.5
1966,54.5,7,2,25.5,58,22,54.5,54,17.2,24,0,4
1967,22,24,39.5,12,11,0,28.5,24,126,40.5,1,2
1968,21.5,19,18,24.5,23,33,73.5,34,35.5,0,12,4
1969,4,3,0,8,6,16,28.5,7,3,2.5,35.5,31
1970,16,36,0,2,26.5,31.5,61,30.5,28,0,0,0
1971,0,0,2,0,33.5,124.5,58,52.5,50,51,0,6
1972,4,4,11,12,42.5,50,63.5,55,37,10,24,1
1973,17,25,0,4,26.5,45,19,59,85.5,53,0,0
1974,1,0,56,2,1,0,8,35,22,5,5,9
1975,2.5,20,0,0,20,47,47,82,20,8,0,25
1976,2,0,0,33,36,25,81,14,74,7,86,26
1977,12,0,0,23,14,22,5,8,49,2,0,0
1978,7,5,0,9,24,50,20,24,86,17,3,3
1979,5,2,2,13,12,45,2,31,7,0,3,41
1980,2,17,0,9,12,1,16,20,15,43,17,0
1981,40,15,13,25,83,21,20,33,20,45,0,0
1982,0,8,0,34,38,0,12,38,25,18,35,7
1983,20,7,13,0,49,9,8,66,25,20,0,0
1984,57,0,0,0,8,11,37,17,34,12,0,14
1985,21,9,6,38,55.5,29,63,0,0,32,2,1
1986,0,2,0,41,13,64,33,15,45,58,12,44
1987,27,29,0,31,35,24,34,46,57,0,6,19
1988,15,2,3,27,26,39,106,32,160,8,0,0
1989,4,1,0,20,,,26,22,,5,21,50
1990,5,16,11,0,38,0,94,21,70,13,1,0
1991,3,16,0,25,34,31,32,17,75,12,0,24
1992,96,13,4,6,72,16,40,0,6,9,21,14
1993,4,1,9,0,39,53,2,26,31,19,13,0
1994,0,0,3,0,15,20,20,12,17,21,0,23
1995,5,0,0,0,10,6,7,,,,,
