Year,January,February,March,April,May,June,July,August,September,October,November,December
1981,,,,,,,,,35,2.5,0,0
1982,0,0,107.8,14.6,,6,0,5,42,7.5,,5
1983,31,22.3,9,5,55,,39,,86,26,3,0
1984,41,,,,27,12,89,,,,,
1985,40,4,6,49,19,23,44,42,20,19,,0
1986,0,0,0,20,66,104,17,11,94,65,4,80
1987,6,37,0,,16,54,,152,39,10,10,6
1988,4,11,11,17,0,0,233,161,245,0,0,0
1989,0,6,0,0,4,4,15,14,24,0,9,50
1990,25,14,,,,7,25,46,101,13,4,0
1991,8,2,0,,5,86,40,0,125,4,32,46
1992,69,16,0,35,51,0,0,41,29,52,32,12
1993,4,13,10,10,45,117,0,,156,24,8,3
1994,58,8,32,30,2,21,18,66,20,44,18,25
1995,0,2,1,9,35,19,50,113,61,11,22,12
1996,19,1,6,4,20,19,13,117,28,37,10,0
1997,2,12,55,73,63,5,74,28,87,42,19,14
1998,0,24,19,0,0,0,3,123,117,19,14,0
1999,0,0,7,6,10,0,0,13,86,26,,
2000,3,6,0,6,49,60,16,57,127,74,29,1
2001,15,51,17,5,14,25,43,20,116,12,28,4
2002,0,0,0,2,24,17,265,35,161,47,19,0
2003,8,20,16,16,38,27,44,89,81,61,26,5
2004,15,16,68,38,6,86,47,77,132,21,,0
2005,17,33,4,0,66,0,167,0,76,63,5,0
2006,6,3,5,22,9,11,59,60,132,21,8,61
2008,28,9,0,15,28,0,157,89,192,22,1,0
2009,22,5,7,0,94,16,30,13,32,35,5,60
2010,22,25,5,78,71,208,341,4,276,18,0,0
2011,5,0,0,0,2,45,59,40,0,0,0,16
2012,2,17,8,2,34,5,20,37,62,4,8,0
2013,24,0,4,4,87.1,12,52,56,367,35,62,67
2014,23,12,31,39,3,25,34,5,176,19,,
