Year,January,February,March,April,May,June,July,August,September,October,November,December
1948,0,0,19.7,16.6,54.9,13.4,15.8,153.7,75.1,35.3,0,0
1949,4.9,11.6,0,40.5,9.7,65,15.4,37.5,71.3,22.5,0,
1950,0,0,27.3,6.7,33.3,19.2,14.3,21.7,15.5,,0.8,0
1951,0,0,10.2,24.2,41,127.3,0,85.7,71.5,30.5,0,0
1952,0,0,0,43.5,0,61.1,0,0,91.7,0,0,0
1953,0,13.3,53.3,9.4,0,0,9.5,148.4,0,7.3,11,13.7
1954,0,19.3,0,43.5,62,18.6,30.5,19.1,71.8,113.9,0,0
1955,0,0,0,0,65.6,2,7.8,98,151.6,0,32.4,0
1956,0,0,0,48.4,96.4,33.3,42.2,43,38,0,30,0
1957,0,0,0,159,59.2,36,0,36,24.8,42.7,0,0
1958,9.2,2,0,0,3.5,52.4,15,73,99,184,51,38
1959,38,1.5,12,90.4,33.3,68,36,15,55,45.2,0,0
1960,0,0,0,0,11,40,37,,223,35,3,7.5
1961,0,0,,,0.7,0,0,28,121.7,0,1.2,0
1962,0,0,0,9,,151,0,32.2,160,,0,0
1963,3,0,0,0,42,0,7,0,7.8,0,,15
1964,0,0,0,30.5,0,0,0,6,24.5,3,1.8,0
1965,0,18,0,44,29,0,29,45.6,114,22,0,18
1966,21.4,0,0,78,52.3,74,0,51,20,22,0,0
1967,0,4,6.7,2,0,0,0,243,158.5,0,0,0
1968,0,40,36,80,28,46,0,71,54,6,16,39
1969,0,0,13,32,10,35,29,119,75,0,52,14
1970,0,8,0,0,71.6,0,0,0,171,0,0,0
1971,14,,0,0,78,85,8,4,26,18,0,0
1972,0,6,0,0,0,14.3,40,0,14,,,
1973,,75,0,35.5,145.4,266.6,165,170,115.2,105,0,0
1974,50,0,185,16,9,30,7,60,,,,0
1975,20,50,0,0,470,114,80,29.7,145.2,49.1,0,39
1976,7.5,0,29.5,60.5,51.5,49,103,45,62,40.5,95.5,22
1977,19,3.5,0,57,35.5,24,13.5,113,241.5,66,0,0
1978,21,6.5,16.5,25.5,19,31,68.5,121.5,295.5,57,2,4.5
1979,1.5,8.5,18.5,47,30,44,10.5,60.5,56,2,41,89.5
1980,13,6.5,0,15,45,26,70.5,72.3,102.1,88,21.3,6
1981,74.8,10,20.4,61,137.8,112.5,27,109.6,95,15.3,7,3
1982,0,19.2,2.5,54,46,0,5.5,43,45.5,141.5,4,34
1983,37,5,30,60.1,,36,114,89,91,8,11.5,0
1984,125.5,0,0,0,74,51.5,21,,,,,
1985,24.5,11,10,63,29,113,10,54.5,68,20,6,14
1986,0,0,,55,20,78,10.5,38.5,70.5,64,45,37.5
1987,35.5,24,2,23.51,97.5,46,59,41,63,0,8.5,9
1988,20.5,1,5,44,32,32.5,40.5,197,74.37,10,0,0
1989,5,0,9.5,3,7.5,34,20,41,56.5,29,29,73
1990,7.5,27.5,7,9,79.5,0,40,63,142,108.5,0,8
1991,0,17.5,1,12,41,96,52.5,31,48.5,12.5,1,25
1992,120,22,10,18.5,104.5,11.5,3,58,78,49.5,35.5,9
1993,0,0,0,9.5,21.5,67,38,12,120.5,5.5,15,13.5
1994,2,0,9,13,82,27,63,85.5,42,40,5,21.5
1995,0,0,5,0,9.5,36.5,0,,,,,
1996,5,1,2.5,0,39,41,0,205,6,68.5,1,0
1997,10,7,52,54.5,31,40,1,24.5,66.5,92,1,3
1998,0,0,0,4,2,52,52,86.5,200,34.5,0,0
1999,0,0,39.5,,,,,,,,,
2001,,,0,28,46,23,9,65,260,38,5,4
2002,5,10,1,60,9,27,43.5,43,215,78,21,2
2003,18,4,36,5,11,35,12,227,113.5,56.5,0,7.5
2004,1,12,91,23,19,34.5,26.5,66,115,27.5,5,0
2005,1,33,41,0,17,26,358,13,54.5,117,21,5
2006,,0,12,32,19,8,72,26,103,33,0,
2008,0,0,0,19,24,18,42,64,302.4,61,5,0
2009,0,0,0,14,4,28,2,0,62,50,74,10
2010,22,27,0,48,55,121.4,219,14,215,10,0,0
2011,0,0,0,0,0,110,88,111,23,0,18,0
2012,0,136,52,9,95,75,54,92,35,15,20,0
2013,72,0,0,48,113,53,35,120,495,78,10,128
2014,25,0,50,20,112,85,61,76,353,60,74.5,23
2015,8,52,130.5,46,113,121,0,45,64,153,0,10
2016,47,0,22,47,138,42,85,68,30,206,85,35
2017,0,0,51,0,10,43,28,75,157,108,0,35
2018,12,52,0,62,0,84,23,90,145,13,18,0
