Year,January,February,March,April,May,June,July,August,September,October,November,December
1947,,,,6.3,8.2,16.4,1.5,82.2,18.4,1,0.9,11.2
1948,1.7,23.1,7.3,8,7.5,53.2,40.2,65.5,120.2,20.1,5.6,0
1949,10.6,14.3,5.5,32.9,14.8,31.3,10.5,8.9,12.4,6.9,0,23.3
1950,2.3,0,8.9,0,5.3,40.3,11,2,12,,3,0
1951,2,0,27,13.5,28.5,6,2,8,139.5,41,8,1.5
1952,0,0,6,14,21.3,66.5,0,0,3,0,4,3.5
1953,0,12,8.5,5,0,0,2.5,20.7,1,14,0,22.5
1954,0,4,0,7,2,2.5,12,12,2,33.2,3,0
1955,0.2,6,0,0,16,0,15,16,52,30,0,0
1956,0,0,2,6,12,0,0,0.7,10,0,13,15
1957,0,7,3,20,8,42,0,0,25,12,12,19
1958,5,18,0,18,1,66,0,42,65,71,3,10
1959,13,33,12,29,0.6,42,2,12,22,23,16,0
1960,0,5,0,11,7,0,0,20,38,35,31,10
1961,6,0,0,0,10.5,13.5,15,30,0,0,0,0
1962,0,0,,0,3,3,0,6,30,,5,25
1963,0,0,0,28,46,11,0,0,62,20,3,14
1964,33,0,0,0,5,0,15,10,7,12,23,17
1965,0,12,0.1,22,0,5,5.5,0,17,11,6,22
1966,23,0,0,0,76,21,0,23,3,31,0,13
1967,19,14,23,0,0,0,0,152,231,67,2,0
1968,,3,29,8,24,0,43,34,37,20,13,0
1969,3,0,0,0,16,13,20,21,0,0,16,20
1970,0,0,0,0,16,33,18,0,76,0,0,0
1971,15,0,10,0,0,178,0,101,66,68,0,0
1972,0,0,15,0,26,76,0,19,23,13.5,15,0
1973,20,24,0,0,10,109,0,32,85,56,0,0
1974,0,0,0,0,0,0,0,6,76,0,,4
1975,0,18,0,0,20,0,82,54,7,12,0,32
1976,0,0,2,32,20,20,139,0,30,1.5,105,23
1977,5,2,0,2,28,27,8,32,93,0,0,0
1978,24,0,0,0,0,60,20,22,196,28,0,0
1979,0,3,8,3,8,40,13,10,14,0,3,36
1980,5,20,0,1,3,4,8,51,7,34,29,5
1981,53,10,21,74,85,43,4.5,41,46.5,27,0,1.5
1982,0,9,4,42,5,2,31,2,0,44,22,15
1983,32,7,10,0,,7,,95,,,0,0
1984,77,0,0,,,,36,,,,,
1985,26,8,0,61,80,44,25,13,15,25,0,2
1986,0,0,0,,15,,,,35,66,14,67
1987,21,45,0,36,30,3,12,28,118,7,5,10
1988,18,12.1,0,55,16,25,20,31,318,0,0,0
1989,11,4,0,10,0,0,0,17,23,7,20,41
1990,5,17,18,0,48,7,12,15,35,20,0,0
1991,8,6,1,0,7,53,20,3,78,7,0,20
1992,76,9,22,10,51,0,9,13,21,8,24,13
1993,66,4,15,0,10,86,0,13,100,27,10,2
1994,3,0,4,20,41,0,0,5,0,24,2,30
1995,4,0,4,0,0,0,16,0,,,0,12.5
1996,22,0,0,0,9,0,4,23.5,16,41,5,0.1
1997,11,14,77,59,14,8,0,0,23,5,24,8
1998,0,18,0,0,11,22,4,16,135,31,11,0
1999,0,0,0,0,0,7,3,9,76,6,0,0
2000,2,4,6,0,6,48,0,36,7,63,50,8
2001,9,19,28,3,6,,0,42,51,10,14,5
2002,0,0,0,0,2,0,96,0,193,47,9,0
2003,5,20,0,0,2.5,13,9,105,81,74,3,1
2004,19.5,15.5,0,0,0,56,59,7,66,7,,
2005,11.5,21,4,2,50,0,189,11,7,29,34,0
2006,9,0,4,0,0,24,55,7,71,7,2,33
2008,5,0,0,10,29,1,14,49,53,9,0,2
2009,3,0,3,0,16,0,20,12,57,15,25,14
2010,19,0,0,16,16,248,152,16,98,0,0,0
2011,2,0,0,0,0,43,1,0,0,3,0,5
2012,0,20,0,2,5,20,35,0,17,,0,0
2013,0,0,0,14,40,0,3,3,129,5,23,
