Year,January,February,March,April,May,June,July,August,September,October,November,December
1979,,,,53,4,68,22,12.5,48,0,8,48
1980,9,18,0,0,41,3,40,129,104,28,0.3,5
1981,71.6,22,34,159,84,88,29.7,124.5,41,36.7,0,0
1982,0,,1.4,,122,20,20.3,0,95,26,18,66.5
1983,51.4,71,25,0,67,47,116,77.5,42,46,7,5
1984,186,0,,,92,30,2.4,,,,,
1985,46.9,10.5,0.9,96,72,4.9,20,1.2,36.6,43,0.5,0.2
1986,0,0.5,,,,167.6,0.5,0.6,53,66.1,0.4,26.2
1987,1.3,78.9,25.5,45.8,22.5,85.9,59.9,102,22.5,12.8,1.1,4
1988,2.3,2.3,0,2.7,2.6,24,101,381.2,189,0,0,3
1989,18,15,25,53,3,31,65,82,58,4,16,46
1990,30.5,38.5,18.2,26.7,7,0,60.2,84.9,162,16,6.6,0
1991,17.9,9.9,3.3,16.3,38.9,116.9,14.9,10.3,103.4,2,10.5,52.6
1992,44.5,16.8,9.4,56.6,148.4,14.7,25.8,65,152.6,30.6,28.8,9.1
1993,16,17.1,14,29,66.9,126.9,0,16.9,122.2,7.5,12.2,31.7
1994,78.2,3.1,58.8,29.5,41.9,57.8,96.8,37.7,43.7,43.3,17.7,40.3
1995,11.3,18.19,38.8,,106.9,23.3,54.3,108.7,40,18.7,47.7,29.1
1996,4.5,4.6,0,,32.6,26.2,13.5,172.5,10.4,108,14.6,
1997,11.3,23.7,120.9,110.5,68.5,49.4,43.8,4.2,87.1,76.4,19.3,
1998,0.8,25.7,33.4,0.9,0,26.8,59,153.3,203.9,39.3,47,
1999,0,1,3.8,,25,125.4,70.7,56.1,91.4,57.3,4.7,
2000,6.2,29.5,7.4,,100.6,26,0,20.1,228.8,269.4,20.9,
2001,12.3,47.9,31.2,,16.9,35.8,5.9,44.4,267.9,17.2,59.8,8.9
2002,0,2.3,0,13.2,74.5,61.5,174.6,28.6,208.1,107,20.1,0
2003,8,34,9.6,,81.4,59.5,86.8,42.6,383.5,156.2,22.7,34.4
2004,17.3,12.8,49,,51.4,44.3,42.7,168.6,235.3,59,12.7,5
2005,29.8,54.2,,15.4,92.1,1.1,301.6,29.1,24.8,,,
2006,,,,,,,,41,93.1,,,
2008,32,0,0,21,32,0,103.5,199.4,277.1,31.5,0,0
2009,35,2,1,0,75,47,90,0,58,65,0,10
2010,,,1,144,35,261,354.1,54,383,2,0,0
2011,11,0,4,0,2.5,51,61,6,1,3,,7
2012,3.5,28.5,12.5,1,24.5,120.5,33,17,32.5,3,6.5,0
2013,18.5,1,20.5,15,96.5,4.5,,41.5,361.7,19,68.2,63.5
2014,2,,31.3,10.5,80.5,45.6,54,67.5,157.5,61,59,40.5
2015,31,23.5,71,110.5,124,51.5,6,21,23,54,15,2
2016,31,1,54,32,83,73.5,35,189.2,36.3,31,76,50.5
2017,2.5,9,64,10.8,72,96.2,21.5,20,240.7,30,12,72
2018,13,4,10,49.5,39,48,40.5,50.5,336.7,77.4,12,37.5
