Year,January,February,March,April,May,June,July,August,September,October,November,December
1981,81,13,42,139.5,60,164.7,45,,85.5,16.2,0,1.5
1982,0,8,5.7,37.6,116,16.5,6.5,52,58,41.2,4.9,8.5
1983,37,3,16,0,100.5,27,61.5,116.5,115,7.4,0,
1984,133.5,6,,,59,47,20.2,,,,,
1985,23.5,0.7,21,46.5,12,82.5,64,60,53.5,38.5,3.8,5.5
1986,0,5,0,17.5,125.5,177,4.2,2.6,16.9,84.8,12.5,63.5
1987,15.5,29.3,13.5,32.8,73.5,57,50.5,70.7,97,12.5,3.2,9
1988,27,13.4,9,18,14.3,15,137,63.3,204.5,0,0,3.5
1989,9,14.5,0,13,27.5,5,72.5,92.5,34,37,14,35
1990,1,13,12.5,18,26.5,0,59,72,53.5,32,4,0
1991,14.6,7,0,4,27.5,166.5,15,1.5,155.5,5,23.5,34
1992,52.5,8.5,8,17.5,97,9.5,7.7,20.3,28,33.7,33,13
1993,21,16,17,88.5,88,141.6,12.5,55,177,5.5,3.5,5.5
1994,21,11.8,35.1,14.2,13.6,15.2,7.2,16.4,85,25,11,24.9
1995,9,2.5,,13.5,22.5,26.5,7.5,114.2,34,7.3,45.5,15
1996,14,1,6,2.5,8.3,23.5,1,128.5,52.7,58,9.7,3
1997,10.5,24,84.7,106.6,78.6,31.2,12.5,6,105.8,62.3,28.5,6.5
1998,0,40,79,1,0,22,4.3,93.5,121.3,31.9,28.5,1.1
1999,0,1.5,8.7,10.5,38.3,103,64.2,135,87.5,27.5,4.5,17.1
2000,6,15,3,17,32.5,123.5,2,37.5,142.5,75.2,17.8,12.9
2001,20.1,16,24.6,8.9,2,17.5,12.5,30.5,121,20.5,31,2.8
2002,0.5,1.5,1.7,8,20.5,50,102,98.5,199,71,10.3,1
2003,19.5,19,24,5.5,31.5,57.7,46.1,70.3,137.4,83.5,21.8,5
2004,13.7,12,71,58.6,24.2,61.8,28,133.2,153.5,33,27,3
2005,25.5,71.8,24,3.5,97.5,1,208.2,10.5,38,,,3
2008,35.5,0,8,3.8,24.4,17.2,179.5,129.4,154.5,4.5,5.2,4
2009,30,14.3,5,0,64.1,13.9,27,28.5,74.6,88.4,28,19.8
2010,26.8,17.4,13.6,120.7,35.1,196.1,262.1,14.2,239.6,0,0,0
2011,13.7,0,0,0,8.7,70.5,117,8.7,25.2,20.8,0,28
2012,4.6,31.3,24.5,4.3,19.8,49.5,38,108.5,76.3,10,28.8,4
2013,36.8,0,10.9,5.8,66.8,75.8,58.3,62.7,286.1,15.2,80.2,80.7
2014,7.7,13,37,23.2,11,30.8,5.5,43.2,170.5,31.8,68,60.3
2015,10.5,41.1,76.3,107,108.5,48.5,0,32,57.5,40,25.5,0
2016,24.5,0,38,42.5,55.5,53.5,29.5,224,105.5,13,49.5,20.5
2017,18,6.5,56,60,35.5,4,9.5,20.5,274.5,50,8,35.5
2018,0,22.5,4,55.5,18,111,16.5,11,223,67,11.5,22
