Year,January,February,March,April,May,June,July,August,September,October,November,December
1941,61.7,25.2,24,53.2,126.3,146,1.2,24.6,101.5,16,4.5,17.8
1942,19.5,,6,20.1,68,10.1,21,162,27.5,7,6,0.5
1943,43,4,7,2,83,2.5,35,0,108,36.5,41,29
1944,10,2.5,12,9,21,21,2.5,310,86.2,3,23.9,27.3
1945,,,,,3,0,49,34,125,59.5,0,4
1946,27,1,2.5,29.5,121.5,72,37.5,41.5,42.1,14.6,10,16.1
1947,47.5,0,1.6,41.1,21.3,33.5,14.2,185.8,5,5.5,16,14.5
1948,0.4,19.7,29,20,20,27,9,1,91,98.9,27.5,0.7
1949,10,89.8,3.2,38.4,71.5,48.7,21,66,30.5,155.8,0,30.4
1950,0,11.6,12,32.2,145.5,36,0,62.5,51.7,,0.7,0
1951,0,8,32.4,3,14.5,10,2.5,22.7,76.5,24,3,0
1952,0,4.5,21,6.1,28,5,6,49,0,0,8.5,19
1953,0,16,21,0.2,44,0,0,146,17.5,66.4,0,13.7
1954,13.5,2.5,0,83,63,7,2,4.5,18.5,13,8.5,2.5
1955,30.5,17.5,1,0,105,15,29.5,142,54,5,33,15.5
1956,4.5,3,0,7.7,12.5,0,2.5,6,,0,1.5,1
1957,3,36,6,77.5,58,81,0,2,63,32.5,44.5,31.5
1958,80.5,35.5,14,5.5,89,47,15.5,61,344,321.5,10.2,22.7
1959,7.9,16,0,18,28,20,111.5,52.5,1,37,13.7,5.5
1960,15.6,31,2.6,12.5,2.5,63,55.5,53,28.5,30.5,59,35.7
1961,34.3,2,0.5,41,47.5,90,1.5,6.5,21.5,20,18.5,6
1962,3.7,2,9.5,28,4.5,50,0,29,219,27.5,11.5,18.5
1963,1,16.5,0,23,22.5,35,38,0,73,61.5,14,22.5
1964,1,8.5,23,2.5,58.5,6.5,2.5,60.5,107.5,30,2,5
1965,10,19.5,7.5,14,177.5,20,10,27.5,109,0,27,54.5
1966,22.5,19,8.5,79,192,61.5,0,34.5,85.5,30.5,0,0
1967,2,15,19.5,56,5,30.5,6.5,67.5,187.5,36.5,31.5,10.1
1968,5,40.5,31,58,7,29.5,37,6.5,154.5,36.5,15,20.5
1969,5,6.8,46,31,4.5,17.5,36,22.5,15.5,80,98.5,16
1970,35.5,19.5,3.5,2.5,65,18.5,30.5,3,125,1,0,3.5
1971,0,4.5,0,7,32,303,0,60.5,227,167.5,41,10
1972,25.5,3.5,73.5,22.5,194.5,97,37,22.5,80,1,29,3.5
1973,19,81,0,9,6,149,11.5,38.5,141.5,75.5,0,2
1974,14,0,77.5,3,22,34,0,178,93,34,15,
1975,9.5,2,1,8,14.5,16,103,29.5,146,78.5,0,4
1976,0,0,2,101.5,56,12.5,190,11,9,82,88.5,68
1977,16.5,9,0,24,31.5,15,0,30,12,108,0.5,4
1978,6.5,5,0,2,,135,103.5,53.5,248,87.5,7,9.5
1979,10.5,9,24,73,21,198.5,38,27,13,0,5,6
1980,5.5,21.5,0,11,91,0,,,36.5,12,53.5,8
1981,54.5,12.5,37.5,257,108.5,112.5,8,31.5,20,177,0,4
1982,1.5,27,12,83,79.5,31,6,2.5,11,63.5,30.5,54
1983,27.5,103,5,0,51.5,77.5,16,11,4.5,24.5,0,6.5
1984,55,0,,,169.5,15.5,7,,,,,
1985,46.5,39.5,13.5,35.5,120,29.5,12.5,,,89,7.5,0
1986,2.5,0,2,93.5,24,84.5,0,0,31.1,90,28.5,84
1987,20.5,88.5,11,61,110,35,57.5,139,38.5,21.5,6.5,2
1988,3,24.5,2.5,0.5,91,10.5,35,119.5,228.5,20,0,2
1989,26,11.5,1,13,9.5,66,1,18,14.5,54,10.5,40
1990,42,55.5,17,10.5,4.5,0,77.5,29,107.5,21,14.5,0
1991,,,5,21.5,76,70.5,2,13,53,3,0,64.5
1992,67.5,18,2.5,73.5,47,41.5,15.5,118.5,62.5,6,26,47
1993,17.5,16,41,51,50.5,86.5,5,13,46,1.5,7,3
1994,39.5,2,23,14.5,74.5,35,20,8.5,50,53,21,18
1995,1.5,8,3,1.5,15,20,16,75.5,48.5,7,41,3.5
1996,0,0,9.5,24,27.5,8.5,42,126.5,31,108.5,23.5,13
1997,1.5,13.5,171.5,59.5,121.9,81,10,14,,19,33.5,9
1998,25.5,21.5,28.5,0,0,7,7.5,89.5,,148,31.5,0
1999,0,0,39.5,0,65,57.5,19,130,21.5,29,0,5.5
2000,2,29.5,46.5,14,23.5,54.3,6.7,1.5,97,91,70,
2001,13.5,6.5,33,5,0,69,27,5,174.5,0,3,35
2002,0,0,0,34.5,73.5,10,83,52,143.5,69,22.5,0
2003,13,18.5,5.5,8.5,90,12.5,33,54,276.5,80,4,1
2004,10,8.5,132.5,63.5,,129.5,19,,,,,
2005,0,68,11,0,68,8,62.5,12,10,115.5,0,
2006,0,0,53,0,20,26,,,,,,
2008,0,0,26,9.3,43,0,323.5,116.7,,0.2,0,0.5
2009,0,0.5,0.5,0,97.6,0,0,0.4,26.41,0.3,26.55,40.8
2010,47.7,35,7,121,0.84,75.8,183,26.8,132,0,0,0
2011,48.5,0,0,0,8,110,12,17,0,0,4,39
2012,0,49,3,25,65,55,4,5,32,4,0,2
2013,9,13,0,113,11,60,35,0,98.3,28,25,12
2014,0,0,14,0,162.5,31,41,38,152,52,73,18
2015,24,18.5,44,121.5,38,26,0,61,48,60,12,8
2016,38,0,139,40.8,74.3,1.2,43,111,,,,
