Year,January,February,March,April,May,June,July,August,September,October,November,December
1948,5,13.2,7,23.3,38.9,60,71.4,31.4,99.9,47.5,7.6,1.5
1949,1.5,7.6,0,13.6,10.1,24.9,76.6,17.4,20.7,27,0,22.9
1950,5.5,0.3,29.7,12.4,64.2,13.7,58.3,7.1,19.5,,1.5,0.8
1951,0,0,30.7,7.4,19.6,41.4,28.1,27.5,179.4,38.5,6.2,4.1
1952,0,0,1.5,16.1,2.5,189.7,41.8,19.5,0.6,0,1.5,0.7
1953,0,14.1,12.7,3.2,5.5,10.8,54.2,62.8,18,37.3,1.5,47.2
1954,8,7,0.5,38.6,22.8,12.9,45.2,14,18.1,21.5,0,3
1955,6.7,8.3,1.7,20.5,30.1,3.4,87.4,35.7,34.8,10.5,19.1,0
1956,0,0,0,28.8,14.7,62.4,25.7,40.4,14.3,5,16.3,12.2
1957,1.5,33.9,16.2,14.1,28.3,8,22.5,23.2,30,14.3,13,4
1958,15,14.2,9.5,24,19.5,86.3,43.5,47,165.8,115,28.5,12
1959,12.5,66.9,4,37,119.5,49.5,95.5,57,58,61,14.6,0.5
1960,67.5,15.5,1,17.7,7.5,12.4,52.5,126.2,31.3,46.8,17.5,34
1961,24.2,0,9.8,2.2,17.5,103,126.5,45.5,19.5,8.5,12.5,0
1962,10.5,3.5,1,7.5,21.5,54,35,29,33.5,23.5,3.5,27
1963,0,0,0,3,76.5,70,13,36,81,32.5,12,32
1964,19,3.5,0,3,40,84,37,32,70,15.5,30.5,15
1965,8.8,16,2,13.5,25,85,64.5,32.5,57,24.5,16.5,38.5
1966,49,13,3.5,29,55.5,25.5,86.5,124.5,80.5,38.5,0,19.5
1967,41.5,32.5,42,16,10.5,45.5,58.5,62.5,220,57.5,4,3
1968,23,21.5,22,22.5,24.5,37,74.5,70,64.5,1,13.5,5
1969,6,3,0,3,4.5,87,58,43.5,34,12,44,28.5
1970,22.5,31.5,1,0.5,16,47.5,55.5,36.5,62.5,3,0,0
1971,0,0,0,0,28,111.5,98,153,50.5,55,1,7.5
1972,1.5,4,25,18.5,49,46,86.5,87,33,11.5,18.5,10.5
1973,17.5,33,0,7,48,69,53,130.3,103.8,58,7.5,6.5
1974,2.5,0,24,1.5,6.5,0,29.5,106.5,64,11,11,9.4
1975,3.5,20.5,0,0,31.5,47.7,104,144.5,59.5,10,0.5,35.5
1976,6.5,0.5,2,33.5,47,49,128,33,63.5,31.5,89,32.5
1977,20.5,1.5,2,50.5,27.5,48.5,43.5,32.5,45,4,0,0.5
1978,12.5,6,0.5,4.5,39.5,62,71,89.5,84,62.5,2.5,6.4
1979,8.5,0,8.5,11,22,35.5,6,19,24,0,4.5,48.5
1980,5,18,0,8.5,19,1.5,25,44,33.5,53,18.5,4
1981,75.4,16,12,63,78,63,9.5,9.5,19,53.1,0,1.5
1982,0,8,0,39,34,6,49.5,68,23,70.5,33,11.5
1983,19,13.5,16,0,90.5,11.5,35,101,95.5,17,0,1
1984,65.5,2,0,0,21,11.5,52.5,24,29,12,2,19.5
1985,19,16.5,4,47.5,55.5,29,28.5,30.5,15.5,39,6,0
1986,1,1.5,0,52,26,90,59.5,7.5,169.5,96,16,57.5
1987,37.4,40,0.6,30,73,21.5,85,84,97,2.9,8,11
1988,32,4.5,3,26.5,18,31,146.3,100.5,185.5,5.5,1,0.5
1989,5.5,1,0,3.5,0,4,20,39,48,8,22.8,60.5
1990,8.5,33.5,3,11,51.5,27.5,96.1,27.7,68.3,31.6,4,0
1991,4.9,16.8,0,1,41.5,41.3,138.7,30.8,74.5,10,1.5,39.3
1992,110.2,8,5.1,9.5,43.8,3.6,43.2,57,25.9,5,27.6,22.5
1993,2.9,2.8,15,0,18,106.1,45.4,77.9,40.1,21.9,8.5,
1994,0,,7.5,,44.5,28.6,42,24.7,14.1,39.4,2.5,16.3
1995,3.5,2.6,0.5,1.4,5.5,16.7,50.6,58.8,54.2,9.1,3.3,17.8
1996,11.5,0.5,0,3.9,13.7,63.9,21,41.6,29.2,9.6,2.6,0.3
1997,10.8,23.6,68.5,45.3,37.6,42.7,51.6,14.5,43.8,49.6,34.4,17.3
1998,0,10.5,,0,0,24,45.3,57,93,35.8,5,2
1999,0,0,1.8,6,2,95.8,61.8,18.3,28.9,11.4,0,3.7
2000,0,4.3,8,0.6,41.8,49,26.7,45.4,16.5,49.5,39.8,4.5
2001,5.2,21.5,40.5,22,9,18.8,14.5,73.8,17.5,26.5,9,10.3
2002,0.4,10.3,0.6,10.3,15.5,19.3,95.6,32.6,105.2,62.4,14,3.9
2003,9.3,39.4,20,0.6,5.5,29.4,91.4,95.2,122.8,102.3,7.3,5.1
2004,30.5,12.2,15.3,10.6,13,103.4,58.1,41.8,94.5,48.1,23,0
2005,14.7,42.3,6.3,2,28.2,1.5,185.4,42.2,47.6,63.3,2.1,0
2006,19.5,0,11.1,11.4,28.3,45.9,,,,,,
2007,9.1,0.6,6.3,9.5,50.8,90.1,84.7,28.9,82.1,0.2,4.8,0
2008,0.7,0,1.2,18.2,44.6,63.6,113,149.6,86,3.9,0,1.7
2009,0.4,0,11.8,0,25,38.2,21.9,32,78.2,28.4,6.9,7.2
2010,15.6,17.4,11.6,132.6,39.3,18.8,101.4,0,146.8,0,0,0
2011,0,0,0,0,0,0,82.4,17.9,1.6,9.5,0,1.1
2012,5.2,20.9,7.6,2,4.3,45,67.8,23,0,0,0,0
2013,39.6,0,0,0,66.5,22.4,70.9,0,85.8,14.1,0,0
2015,8.56,32.2,38.8,43.5,113.6,51.5,11,14.2,33.5,68.7,6.2,0
2016,25,0,0,12.4,73.5,27.6,17.8,70.5,15.4,32.2,0,0
2017,2,0.2,26.6,3.9,20,0,,34.4,116.6,7.3,0.5,36.9
2018,0,13.8,0,17,11.5,58.5,26.6,25.1,134.3,43.4,6.7,28.8
