Year,January,February,March,April,May,June,July,August,September,October,November,December
1990,0,47.5,0,0,84,10,76,60,61,112,,0
1991,0,48,0,0,80,55,61,95,36,0,0,52
1992,196,12,7,11,130,98,107,70,36.1,0,36.8,8
1993,0,0,1.8,0,17,60,18,31,0,8,15,25
1994,0,0,0,0,30,29,0,172,330,51,30,50
1995,15,2.6,0,0,85,89,32,87,22,5,42,49.8
1996,0,0,5.6,0,32.6,0,0,48,126,0,0,0
1997,11,15,93,194,27.5,20,0,0,61,58,0,0
1998,0,0,0,0,15,60,45,15,30,0,0,0
1999,0,0,0,0,0,63,20,28,63,10,0,0
2000,0,0,0,0,0,24,5.5,9,0,2,0,0
2001,15,0,15,28,58,10,184,90,100,0,0,0
2002,18,22,0,58,40,50,0,0,147,158,30,0
2003,40,25,20,0,7,60,131,185,100,152,0,0
2004,0,10,40,10.4,43,20,65,50,110,0,0,0
2005,0,40,18,18,72,0,100,,0,0,0,0
2006,0,0,0,82,170,0,98.6,85,178.8,35,21,2
2007,50,0,0,3,25,0,0,0,0,0,0,0
2008,0,0,0,70,100,0,39.2,37,0,0,0,0
2009,0,0,0,0,,24,6,4,,,,
2010,,,0,250,110,240,370,0,70,0,0,0
2011,20,0,10,0,10,10,55,15,60,20,15,0
2012,14,130,14,60,47,31,84,99,67.5,24,2,5
2013,114,0,0,17,77,101,90,62,86,50,119,157
2014,6.2,5,3,2,18.8,16.5,93,145,123,13,82,5
2015,0,,,124,152,157,30,32,27.7,177,0,10
2016,50,0,65,,,,,,,,,
2017,,,,10,104,44,63,78,55,12,0,21
2018,33,50,0,89,51,11,34,53,146,16,20,0
