Year,January,February,March,April,May,June,July,August,September,October,November,December
2008,31,0.7,34.1,21.7,34.1,14,160,220,336,90,0,3
2009,29,1.1,11.5,0.8,97.2,12.2,18.7,64,214.4,,,
2010,37.4,32,28.3,323,16.5,318,289.1,2.5,597,0,0,0
2011,26,0.5,0.5,0.5,16,84.7,116,48.5,30.3,70,3.9,34
2012,10,43.3,6.4,47.9,64.9,44.5,64.9,49.9,106.6,20.5,73.7,3
2013,21.1,0,22.3,51.3,109.9,32.4,80.5,31.3,427.2,37.2,69.4,106.8
2014,8.1,18.2,18.3,20.2,31.4,64.8,17.2,57.4,389.9,150.3,46.1,71.5
2015,35.6,88.1,100.4,104.4,243.4,91.1,0,36.8,51.2,68.1,29.1,5.3
2016,26.2,0,23.8,22.1,153.3,80.3,11.6,156.6,90.1,121.5,194.5,37.4
2017,29.9,7.8,68,42.7,,41,29,38.5,368.7,80.4,4.4,44.3
2018,32.2,43.4,1.2,79.5,125,108.2,25.7,19.3,357.5,45.2,22.4,35.4
