Year,January,February,March,April,May,June,July,August,September,October,November,December
1997,3.5,30.5,112,77.5,123,91,23.2,2,51,74.9,21,8
1998,,,,,,,,,,,,1.5
1999,0,0,40.5,0,14.2,161.5,58.8,43,77.5,22.5,2,13.7
2000,15.7,20,2.5,69,145.5,21.6,6.5,31.5,57.5,112.2,19.9,8.1
2002,0,1,0,13,10,16,225.4,0,106,66.5,19.5,0
2003,13,22,11.2,6,92,19.5,41,38.5,196.7,318,74.8,3.5
2004,21.2,4.5,35.3,79.5,16,26,14.5,10,100.5,22,29.5,2
2005,39.6,47,7,5,26.6,0,153.5,0,8,99.5,17,4.5
2006,,10.5,24,,56.6,12.2,,112,308.5,45.5,2,
2008,33.5,5,0,7.5,33.5,0,200.5,193.5,119,14,1,14
2009,3,,3,25,107.5,0,1,6,28.5,89,57,42.5
2010,43,33,13,161,27.5,144.5,362.5,45.5,195.5,0,0,0
2011,20,0,0,0,14,48,54,2.5,39,3,0,57.5
