Year,January,February,March,April,May,June,July,August,September,October,November,December
1978,9.4,9,8.8,7.7,80.5,41.3,28.6,72.3,287.4,156.8,5,23
1979,6.5,10.5,6.5,22.8,16.3,130.5,90.7,141,115.6,1,2.2,107.5
1980,3.8,7,3,44.3,115.1,3,42.5,84.5,69.1,52.5,49.3,14.2
1981,95.7,7.5,24.5,77.9,193,255.6,31.2,117.3,87.9,16.9,0,8
1982,0,25.5,91.1,82,67.3,35.2,20,0,109.4,46.6,17,49.4
1983,27,37.9,55,7,143,42,107.4,160.7,94.5,26,96.5,6
1984,150.1,3.5,,,89.8,83,41,,,,,
1985,36.8,33,12,147,146,116.5,16,27,31.5,68.5,3,40.5
1986,3,13.5,20,70.5,78.8,,,,,,,
1997,,,,,,,28,33,52,55,0,
1998,0,0,11,0,0,28,,,179,117,67,
1999,0,0,77,0,43,86,63,24.5,78,76.5,1,14
2000,3,2,0,0,97,34,3.5,71,98,86,1,20
2001,12,8,11,36,22,41,50,28,256,20,55,0
2002,0,9,0,3,25,77,95,47,234,214,11,1
2003,21,3,42,16,22,198,26,139,146,177,0,24
2004,6,10,32,122,40,130,48,94,199,39,0,7
2005,10,114,61,3,89,0,275,32,42.5,247.1,41.2,18.7
2006,0,2,25.5,35.2,66.5,4,97.7,44.5,236.2,,,
2008,21.7,1.5,13.5,12,123,24.5,143.1,163.6,339.3,32.1,13.3,9.7
2009,9.9,0,8.5,30,90.7,14,20.7,20.1,142.5,30,3.6,86.3
2010,13.6,36.9,10.1,131.4,42,156.9,189.9,50.7,262.3,0,0,0
2011,28.2,0,17.3,0,4.1,70.1,26.4,59.8,6.4,19.2,25.7,31.1
2012,2.9,,20.1,75.5,17.9,140,27.6,45,34.4,39.4,57.7,0
2013,37.6,0,2.1,7.9,84.8,110.7,67.6,61,360.5,9.2,34.2,56.6
2014,15.8,7.3,19.3,0,54.7,58.2,33.7,27.9,174.7,93.5,71.9,38.6
2015,35.5,33,95.8,39.3,230.51,80.7,2.7,96,14.6,38,36.4,7.2
2016,58.8,0,53.2,96.8,105.4,68.7,35,70.7,94.2,199.9,45,12.3
2017,16.8,0,73.2,100.7,106.9,81,38.8,17.9,169.2,103.4,6.5,18.1
2018,50.1,10.7,2.9,94.2,196.4,47.3,47.81,31.8,85.9,52.3,10.5,1.3
