Year,January,February,March,April,May,June,July,August,September,October,November,December
1997,,,,,,,0,11.5,19.5,1.5,6.8,0
1998,0,5.6,18,,,,20.4,,69.5,29.6,23.2,0
1999,0,0,7.1,0,81.4,32.8,0,0,20.5,0,0,20.3
2000,0,0,0,0,0,20,0,35.7,34.2,0,0,16.5
2001,3,17,41.1,39,78.3,126.2,31.2,89,328,0,28.4,0
2002,2.3,10.1,0,16.9,15.2,60.2,217.6,50.7,345.9,170.9,7.3,0
2003,12.7,9.5,16.8,15.1,54,251,,,,,0,16
2004,30.6,12.7,44,41,24.6,19.5,34.8,44,108.8,0,0,2.3
2005,11.3,71.6,61.1,18,142.4,6.9,311.2,0,53,268.5,36,15
2006,0,3,9,9.7,36,2.6,116,1,,,,
2008,10.8,8,11,109,37,1,100,211,455,36,59,14.5
2009,5,7,6,13,54,67,0,15,186,37,13,
2010,16,42,9,134,98.4,10,452.6,16,334,3,0,0
2011,32,0,9,2,4,25,18,27,9,38,14,32
2012,3,133,17,178,31.6,66,25,42,30.4,73.6,88,0
2013,52.2,0,10,18.4,,,69,119.6,335,7.4,34,124
2014,6,9,31,0,88,0,25.8,78,218.3,38.3,77.8,93
2015,46.5,46.6,84.4,63.4,149.3,8.5,2,25.5,32.5,82,35,1
2016,36,0,91,67.5,137.2,68.1,8,86.8,71.9,202.8,43.2,12
2017,22.5,0,65.5,67.7,64.2,20.8,18,42,83.8,125.7,6.1,31.1
2018,56.6,17.7,2,92.6,86.7,129.7,9.4,0,215.4,41.5,0,11.7
