Year,January,February,March,April,May,June,July,August,September,October,November,December
1980,,,0,,53.5,8.8,106.5,46,2.7,95,47,24.5
1981,33,22.5,28.3,30.9,119.9,31.2,78,111,10.6,35.5,,8
1982,,,,90.6,,,30.7,54,,87,9,
1983,37,16,27,0,117,29,96,22,46,28.5,6,2
1984,,0,,0,35.5,63,41,67,25,3.5,2,36.5
1985,35,17,7,73.5,78,58,8,32,42,52,37,69
1986,0,11,0,70,23.5,44,38,16,54.5,105,5.2,51
1987,66,24.5,2,42,93,63,48,25,51,1,11,13
1988,15,0,12,13,80,50,57,89,131,21,3,3
1989,6,9,4,26,4,15,67,0,45,19,34,50
1990,6,48,10,5,187,15,64,27,66,70,3,0
1991,10,31,0,12,56,75,72,39,58,11,5,62
1992,152,30,13,55,149,37,36,53,17,18,55.5,21
1993,,6,0,2,61.8,87.5,23,28,43,27,56,24
1994,9,0,12,25,81,91,54,17,28,0,11,0
1995,13,3,2,2,64,18,51,69,15,3,6,33
1996,2,8,5,5,49,3,13,47,42,7,0,0
1997,18,9,54,108,51,41,38,8,31,41,13,5
1998,0,3,2,8,14,12,12,33,71,5,2,
1999,0,0,0,15,9,14,13,0,6,6,0,0
2000,0,0,3,0,3,54,10,20,0,19,10,0
2001,0,0,0,0,26,27,4,40.1,29,5,0,0
2002,12,26,0,21,10,34,0,0,10,0,0,0
2003,10,10,0,10,0,21.6,30,359.5,33,36,0,0
2004,10,10,46,20,38,15,15,40,35,7,0,0
2005,0,37,3,10,13,0,25,0,10,5,0,0
2006,0,0,0,30,54,30.5,,,,,0,7
2007,8,0,3,11,40,30,33,18,43,,0,0
2008,0,0,0,10,57,15,0,110,40,,,
2009,0,0,0,10,20,20,0,0,,,,0
2010,,0,0,8,21,,,16,45,0,0,0
2011,19,0,3.5,4,23,5,14,1,4,12,4,0
2012,1,93,18,26,34,24.5,16,41,108,31.5,4.5,3
2013,65,0,0,14,49,68,78,38.5,,33,33,157
2014,25,20,32,29,109,26,70,69,52.6,,72,14
2015,25,,139.5,48,118,123,44,35,14,126,15,9
2016,24,6,61,37,68,24,36,35,0,11,47,0
2017,4,7,53,13,129,26,66,67,65,11,0,16
2018,37,22,0,78,38,66,20,98,134,26,16,5
