Year,January,February,March,April,May,June,July,August,September,October,November,December
1981,15.5,16.5,17,20.5,112.9,,19,13,10.2,116,0,5
1982,0,15,2,89,52.1,0,,15,31,,,
1984,,0,,0,,15,46.5,68.7,6.8,1.7,0,18
1985,13,,,41,84.3,43,48,,25.3,31.3,5,63
1986,20,,,,,,,,,,,
1987,63.7,24.6,0,48.5,180.1,37.7,55.2,63.9,53.9,0,0,16.4
1988,16,12,3,35.5,38.5,6.3,23,56,60,26.4,0,
1989,10,0,0,46,5,52,82,37,13,0,0,22
1990,0,0,63,,122,0,65,0,88,80,0,0
1991,0,21,0,0,38,12,57,35,22,11,0,27
1992,161,23,0,12,186,41,29,70,0,0,52,14
1993,17,7,16,0,76,18.7,7.2,18.5,20,39.5,20,19.4
1994,3,0,4,50.3,71.1,55.4,42.2,9.3,7.3,38,0,0.1
1995,20.2,0,0,0,61,100.8,77.7,76.2,20.3,0,0,10
1996,0,8,6,0,34.5,17,0,60.7,26.6,0,0,0
1997,18,9,88,135.5,23.6,29,17.3,24.4,49,39.6,8.2,0
1998,0,0,0,61.2,15.8,20.2,12.2,3,37.8,26.4,0,0
1999,0,0,0,0,0,15.3,60,0,45,0,0,0
2000,0,0,14.2,0,24.5,123.4,0,24.3,0,30.8,12.3,8.2
2001,20.3,4,18.5,40.7,48,54,19.4,50.9,99.4,9.3,0,0
2002,17.3,35,0,43.2,48.9,62,23.9,33.5,41.4,89.8,26.4,0
2003,18.3,20.3,21.3,30.3,18.3,34,0,65.5,60.2,47.6,0,0
2004,13.4,12.3,31.5,25.3,48.7,13.2,0,34.6,34.7,35.7,0,0
2005,0,40.3,35.8,30.4,35.6,0,48.9,30.8,0,0,0,0
2006,0,0,0,16,99.7,0,41.4,0,89.4,0,1,23.4
2007,18.3,0,0,6,63.7,10.4,60.8,37.4,0,0,0,0
2008,0,0,10.3,58.9,123.5,0,40.7,115.2,50.6,0,0,0
2009,0,0,0,0,64.3,45.9,0,0,,,,
2010,,,0,15,44,49.6,114.9,0,7.2,0,0,0
2011,20.3,0,0,0,0,0,38.2,24.9,17.3,18.3,0,0
2012,8.3,95.2,23,32.6,42.3,17.4,31.8,17.1,50.5,16.6,7.2,0
2013,61.3,0,0,19.4,76.1,38.7,38.5,19.6,79.9,38.7,39,166.5
2014,25.8,17.2,28.5,13.2,147.5,75.7,56.4,86.1,55.8,25.6,68,8.4
2015,22.3,26.5,134.2,48.23,127.6,103.1,2,74.1,26.7,128.3,0,11.2
2016,54.4,0,61.8,41.2,63.6,82.2,19.2,18.3,6,21.5,43.4,0
2017,5,3,29.8,33,46.8,45.9,72.5,60.6,30.8,13.4,0,13.5
2018,45.5,81.4,11.4,77.9,47.6,34.5,20.4,19.5,167.7,13.4,13.3,6.2
