Year,January,February,March,April,May,June,July,August,September,October,November,December
1988,44,0,10,30,46,80,118.5,60,175,21,8,0
1989,28,0,9,,37,75,85,148,27,49,20,33
1990,24,12,6,0,32,0,34,73,6,11,0,0
1991,4,4,0,0,26,28,62,0,44,0,0,20
1992,88,0,0,0,91,44,0,36,0,0,0,0
1993,0,0,0,0,0,49,44,40,0,0,20,0
1994,0,0,0,0,0,52,44,0,0,44,0,0
1995,0,0,0,0,29,24,16,162,64,0,0,36
1996,0,0,0,0,16,60,68,55,39,0,1,0
1997,21,19,57,48,104,50,43,0,28,73,61,0
1998,0,24,34,9,0,5.5,13.5,67,106.3,32.2,48,0.8
1999,0,0,9,0,0,67,16,0,0,0,0,0
2000,0,0,0,0,23,151,15,17,9,12,8,10
2001,0,25,23,24,27,70,20,99,46,8,10,15
2002,7,0,0,31,23,35,129,15,50,45,13,4
2003,0,5,10,0,58,94,0,0,17,17,0,0
2004,5,0,0,0,0,0,0,0,77,0,8,0
2005,0,24,20,5,17,0,35,45,0,0,0,0
2006,0,0,0,0,15,0,0,0,0,0,0,0
2007,0,0,0,0,13,15,65,0,0,0,0,0
2008,0,0,0,0,15,42,25,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0
