Year,January,February,March,April,May,June,July,August,September,October,November,December
1980,,,,,,,15,,90,59.5,34,22
1981,85.9,15.3,,168.5,207.3,,,,,15.5,0,15.2
1982,0,20,76,,97.5,15.5,,42,127,70.5,22.5,44
1983,28,46,58,13.5,,20.8,64.5,201.8,101.3,41.8,10.7,
1984,119.7,5.7,,,79.8,95.5,75.8,,,,,
1985,18.5,36.1,8.8,249.9,71.8,188.9,7.5,33.4,27,25.6,2.5,44.5
1986,,22.3,10.8,89.9,96.8,,,,,,,
1997,,,,,,,25.9,8.3,13,43.2,11.9,
1998,2.8,7,15.8,2.2,0,16.3,62.9,38.1,154.4,134.1,83.6,
1999,0,0,8.7,39,59.5,109.4,76.4,,,,,
2001,,,,,,,24.6,119,286.5,25,38,4.2
2002,1,11.8,0,10.5,17.3,25.6,95.7,29.2,88.3,191,61.6,10.4
2003,69.1,10,36.6,5.4,69.1,310.8,16.7,135.4,236.1,195.7,19.8,10.8
2004,32.5,101.2,266.2,117.3,29.3,142.4,69.1,95.4,249,15.3,30.8,6
2005,11.4,80.4,46.7,9.8,55.5,0,393.5,11.3,42.1,152.8,17.8,24.6
2006,0,1.9,9.2,25.8,66.5,45.6,,,,,,
2008,37.1,4,7.5,70.2,76.4,45.6,135.1,227.7,477.5,147.2,7.1,4.5
2009,10.5,4,10.1,71.5,91.3,37.1,8.5,20.6,166.1,62.3,64.5,36.4
2010,14.6,43,1,202.8,45.3,285.5,189.4,39.5,273.8,1,0,0
2011,30.9,0,20,5.5,15.8,90.3,36.9,107.3,32.4,28,12.2,31.8
2012,6,79.87,30.2,121.5,22.3,136.4,11.5,99.7,56.1,10.6,63.6,0
2013,38.3,0,6.2,14.1,123.6,67.8,122.1,103.8,527.3,12.1,39.1,152
2014,1,12,27.3,0,24.5,58.4,77.1,58.3,260.5,114.5,75.7,82.7
2015,99.6,44,86.2,50.1,251.5,91.9,21,120.5,35.5,52,72.5,5
2016,63.5,0,37.3,90,109.2,120.4,52,97,41.2,162.8,44.6,11.8
2017,19,0,117.3,86,94.5,58.4,28.5,45.1,174,146.7,8.1,26.1
2018,57.7,40.7,4.7,89.8,185.5,65.6,51.7,36.5,99.3,55.4,16.5,9.8
