Year,January,February,March,April,May,June,July,August,September,October,November,December
1981,35.7,2,13,14,30,,19.5,2.5,9.3,28.4,2.3,0
1982,0,0,0,,29.1,7,14.6,,42.3,21.9,8.4,0
1983,11.5,0,0,0,47,19.9,26.3,10.5,26.5,0,6.3,
1984,110.2,10.5,0,0,15.8,10.5,42,21,0,0,0,0
1985,20,0,0,34.6,37.8,33.6,37.8,13.1,18.9,21,18.9,29.2
1986,,,,25.2,29.4,26.4,41.5,,,,,
1987,14.7,16.8,0,23.1,23.1,25.6,35.7,27.3,25.2,0,10,12.6
1988,10.5,0,2.1,12.6,,,39.9,40.6,10.4,2,0,0
1989,1,0,0,6,0,19.7,0,14.4,0,0,16.8,33.6
1990,4.2,27,8.5,2.1,23.1,4.2,35.7,4.2,,21,0,0
1991,2,10.3,0,0,0,0,54.5,,46.8,11.5,0,
1992,4.2,11.5,2,14.6,90.2,16.8,81.9,39.7,10.5,16.8,31.3,6.3
1993,11.5,0,0,0,16.8,75.6,4.2,14.7,31.5,18.9,12.6,16.8
1994,10.5,0,0,0,32.7,35.5,33.4,38.6,65.1,48.4,0,53.4
1995,18.3,0,6.3,0,31.5,0,44.1,58.8,16.8,4.2,4.2,46.3
1996,0,9.3,6.3,0,4,0,6.3,28.3,61.6,0,0,0
1997,14.7,20.1,73.2,76.1,76.6,51.4,0,0,28.8,21.2,13.6,18.2
1998,4,2,3,6,6.3,16.7,11.7,9.4,8.4,27.6,2.1,
1999,,,,,,,,,,22.5,0,0
2000,0,0,1,0,9.3,10.3,0,26.1,6.3,18.7,4.2,0.1
2001,0,33.7,14.7,16.4,60.1,10.5,2.1,73.9,38.8,15.6,19.4,5.1
2002,8.4,35.1,0,58.5,12.5,56.7,93.1,24.8,38,115.8,16.5,0
2003,20,20,28.3,3,39.1,67.6,147.4,71,106.9,95.4,0,0
2004,24.4,24.6,37.6,12.4,29.7,52.1,90.3,78,63.2,44,8.2,0
2005,28.1,62.4,28.8,0,33.6,0,137,83.1,40.3,53.2,0,16.5
2006,11.4,0,10,49.4,42.4,27.1,90.2,24.2,102.2,71.6,18.2,20.2
2007,26.5,16.2,10,32.5,53.7,76,75.1,14.2,72.1,0,19.7,23.5
2008,0,14.1,1.4,55,49.7,6.2,23,80.4,166.5,0,0,4
2009,0,0,0,0,0,0,0,0,62.5,50.5,20,24
2010,32,54,1,66,65,71,252,4,40,0,0,0
2011,10,0,0,2,2,0.2,38,0,47,0.9,15,0
2012,0,96,29.5,12,44,26.5,27,22,24.5,0,0,4.5
2013,63.7,0,0,12,26.5,40.2,54.5,14.7,36.6,34.5,21.1,61.5
2014,19.5,0,18.6,12.5,56.8,74.2,58.5,64.4,56.1,24.5,56.2,20
2015,14.1,33,132,75,122.5,199.7,38.8,42.5,16.5,157,0,11
2016,30.5,5.7,36.3,0.3,47.8,33.7,1.8,82.5,14.2,20.6,39.6,0
2017,3,3,46,37,19,61,44,43,24,0,0,26
2018,20,30,0,77.4,0.2,21,0.3,24,107,34.5,2.5,5.5
