Year,January,February,March,April,May,June,July,August,September,October,November,December
1942,0,22.5,27.9,27.5,44,51,43.5,72.5,33,38.8,0.5,0
1943,46,0,1.5,21.3,23,52,101,22,60.5,21.5,,25
1944,6,6.5,45,2,36.5,77,26,71.5,70.5,0,74.5,0
1945,31.5,20.5,9,17,27.6,31.5,51.5,50.5,11,28,0,13
1946,12,18.8,16.5,27.5,85.5,7,56.5,44.5,20.5,32.5,21.5,6
1947,24,12.5,3.5,47,15.5,45,32.5,66.5,32,45,9.5,14.9
1948,11.5,7,23,18,51,57,25,33,64,67,2.5,4
1949,7,17,1,23.5,26.5,99.5,73.5,33,7,48,0,0.1
1950,0,3,26,33.1,76,19,58,30,39,10,6,1.5
1951,0,0,40,36.5,42,27,45,55,77,38,1,
1952,0,1,0,53.6,25,23,40,27,14,5,5,3
1953,0,21,1,3,10,20,3,91,9,66,3,51
1954,0,7,0,46,61,23,26,12,12,14,4,1
1955,0,,0,29,53,32,104,29,81,0,19,0
1956,,4,3,55,26,25,19,46,0,7,17,17
1957,4,31,5.2,5,65,12,0,5,72,33,0,0
1958,29,29,12,25,112,50,9,49,55,136,46,39
1959,35,62,9,37,64,32,57,37.1,67,51,5,23
1960,,3,,4,1,34,29,133,19,60,10,66
1961,15,8,4,13,12,85,44,20,10,7,7,0
1962,2,4,0,41,34,26,30,29,66,15,11,19
1963,0,10,4,21,41,36,22,25,25,37,40,74
1964,34,8,6,3.1,71,19,28,9,68,12,15,34
1965,14,20,0,7.8,23,60,50,29,34,39,51,71
1966,80,16,16,30,58,23,102,90.6,20,33,0,1
1967,64,25,55,41,15,16,55,69,77.1,23,22,49
1968,1.2,36,36.8,73,75,30,56.1,76.4,18,11,10,20
1969,4.5,,,8,,,16,3,30,9,,9
1970,7,11.3,0,0.4,31,39,21,5.2,41,0,0,0
1971,3,0,9,2,129,96,20.6,19.4,14,13,1,12
1972,8,16,20.2,1.4,31,42,32,61,25,1.5,23,3
1973,9.8,13,0,9.2,56.5,102.9,16,71.1,128,22,0,1
1974,2,0,19.8,4.8,40,0.2,13.2,70,24,12,8,2
1975,0,11,0,0,70,81,122,90,34,30,0,14
1976,0,0,3.3,3.1,34.2,8,90,19,37,15,54.2,
1977,12,0,0,19.2,55,37,0,8,47,23,0,1
1978,7,24,25,37,42,12,33,30,87,6,5,4
1979,6,8,11,29,44,72,10,46,0,1,0,27.3
1980,21,11.2,0.1,15,26,5.6,18,45,21,83,15,12
1981,63,12,25,48,23.2,58,78.3,34,15,47,2,2
1982,0,15,0,96,80,0,1.9,20,30,60,4,3
1983,11.8,1,24,0,125,9.2,27,82,14.4,12,8,0
1984,86,0,3,13,9.4,38.4,4.1,27.8,0.9,6,0,18
1985,28,21,10.1,10.4,58,38,62.5,25,24,31.2,8,
1986,0,7,0,58.5,13,137,24,11,87,0,77,34
1987,74,39,3,46,61,74,73,17,62,91,3.5,21
1988,18.2,9,41,60,44,45,80,88,79,21,9,0
1989,1,0,0,13.1,1,2.2,14,65,19,1,48,51
1990,8,55,4,5,131.2,24,50,50,131,19.8,3,0
1991,17,40,0,8,29,60,65,86,53,18,0,36
1992,180,42,26,37,117,66,80,26.8,25,25,42,17
1993,17,1,13,5,22,120,37,131,50,33,24,
1994,,,0,23,65,91.5,31.5,43,17,45.5,13,32
1995,15,3,18.5,0,30,43,21,106,6,7,11,0
1996,0,11,2,0,,5,25,97,31,3,2.5,4
1997,25,18,62,124,75,21,5,9,47,19,4,0
1998,0,0,3,9,5.5,75,,12,38,11,0,0
1999,0,0,0,8,0,48,77,21,5,14,0,7
2000,0,0,0,15,28.5,29,31,26,46,48,10,2
2001,20,27,23,38,73,15,61,24,40,17,16,2
2002,15,31,0,43,72,55,110,61,56,89,0,0
2003,5.5,4.5,0,0,17.5,75.5,74.7,26,36,29,0,0
2004,11,47,119,25,54,29,80,36,0,24,4,0
2005,5,0,0,19,90,40,147,51,26,33,0,24
2006,0,0,0,38,79,33,120,96,115,34,,40
2007,14,0,0,14,109,179,124,62,75,42,0,0
2008,0,0,0,34,91,59,76,119,209,0,0,0
2009,0,0,0,0,287,150,,,,,,
2010,0,0,36,84,304,334,130,0,11.5,0,,0
2011,13,0,0,0,4,11.5,65.1,0,23.8,10.3,9.5,0
2012,4.5,109,54,14,37.5,31,57.5,18,27.5,21,3.5,0
2013,101,0,0,15,29,25,20.5,27.5,92,11,40,117
2014,5,0,27.5,6,58,33.6,54.7,19.6,50.4,10.1,60.4,20.5
2015,25.5,15.7,128.6,67.6,183.2,114,18.8,36.1,8.4,187.1,0.8,5.5
2016,40.4,0,58.6,34.6,107.1,31.3,41,99.1,13.6,11.1,37.7,0
2017,3.2,0.3,32,39.3,12.4,18.8,91.9,18.8,25.6,14.5,0,23
2018,26.9,38.8,0,106.2,43.7,32.8,13.4,52.4,138.6,36.5,13.5,6.8
