Year,January,February,March,April,May,June,July,August,September,October,November,December
1980,0,32,0,5.5,4.5,13,70,41,56,111,9,0
1981,78,17,5,58,71,67,79,123,25,54.1,0,2
1982,0,8.3,0,41,35.5,22,94,84.5,46,25,47.5,7
1983,10,14,28,0,118,29,92,134,119,25,2,0
1984,78,1,0,0,33,29,118.5,126.4,58,28,1,30
1985,28.7,10,7,105,58,60,53,27,49.5,,4,5
1986,0,9,0,1,33,156,26,32,100,46,22,49
1987,41,36,0,28,26,88,131,87,71,0,5,10
1988,13,4,5,30,9,90,95,133,100.5,13,1,0
1989,0,0,0,0,12,22,89,66.6,38.3,40.4,34.2,43.7
1990,2.5,15.5,21,28.5,63,95,134.5,50.5,108,22,5,0
1991,13,12,,,,,,,90,15,0,35
1992,116.5,17,6,10,83.5,16,37,82,56,11,23,3
1993,2,1,8,4,22,134.1,103.5,137,99,9.5,,1.5
1994,1.5,0,16.5,9.5,30,94.5,28.5,105.5,50,26,0,23
1995,4,7.5,0,0,19.5,48.5,63.5,155.5,53.5,20,6,9.5
1996,5,0.5,0,0,12,55.5,32,79,53.5,3.5,5.5,0
1997,4,22.5,49,18,66.5,77,94,30.5,124,45.5,28.5,63
1998,0,10.5,0,0,1,56.4,55.1,81.3,75.6,43.4,0.5,0.5
1999,0,0,6.5,0,20,115.9,75.5,78,52.5,21,0,0
2000,0,0,3.5,0,48,63.5,105.5,47.5,17,29.5,14.5,6
2001,0,18,26.5,39,23,58,74,86,,12,5,9
2002,2,12,0,33,23,45,44,61,61.2,62.5,5,0
2003,0,22,0,0,17,,78,51.7,26.5,97.5,2,0
2004,28,14,25,30,25.5,151,151,160,82,27,33,0
2005,11,36,3,1,27,31,90,80,,,,0
2006,30,1,0,0,6,17,117,74,92,22,0,
2007,21,0,4,23,46,32,54,31.6,49,21,7,0
2008,0,0,0,23,33,17,134.5,242,85,16,0,0
2009,0,0,6,0,66,57,8.3,72.1,69.6,6.5,6,10
2010,11,33,7,29,37.2,50,0,26.5,137,0,0,0
2011,0,0,0,0,0,0,34,29,33.8,2,0,0
2013,28,0,0,2,32,105.5,75,32,81,8,39,
2015,6,57,134,50,98,71,,134,60,58.5,0,0
2016,41,1,31,2,72.7,56,39,128,35,6,36,31
2017,0,20,75,15.2,18,56,39,76,207,6,44,66
2018,0,18,0,39,7,109,,,,,,5.8
