Year,January,February,March,April,May,June,July,August,September,October,November,December
1947,,21.9,,59.3,46,43.6,45.8,161.4,19.8,24.9,12.6,14.9
1948,4.1,21.9,76.3,5.6,85.8,49,49.5,99.7,257,108.6,4.7,0
1949,26.8,66.4,9.2,127.4,2.2,53,48.1,29.2,55.4,21.5,0.3,37.8
1950,1.1,8.9,38,25.4,3.3,132.5,60.8,15.6,65.5,,0.2,0
1951,13.5,1.1,17.9,29.9,133.1,114.4,21.4,140,195,93.7,8,2
1952,2,1,86.5,34.3,22.5,83,4.5,0,141,2,40,6
1953,0,50,31,5.5,3,42.5,5,264.6,58,40.5,2,16
1954,24,16.5,0,144,6,10,7,33,51,111.5,13,0
1955,25,31,6,3,66,8,44,109,204,48,32,2
1956,2,26,3,70,35,25,3,36,49,5,17,24
1957,8,34,52,222,34,9,0,22,20,73.2,13.5,2.8
1958,261,23,41,2,59,38.2,82,39,259.7,249.6,26.5,16.2
1959,11.5,57.7,0,19.8,18.8,77.5,60.4,91.7,19.5,28,0,0
1960,0,0,4,,,,,,,,,
1961,,2,10.5,21,,0,4,13,,85.5,186,7
1962,0,0,0,4,0,67,0,14,44,40.5,69.5,41.5
1963,4,5,0,75,124,43,0,2,178,94,8.5,19.5
1964,3,,20,0,133,0,10.5,5,273.5,63.5,7.5,2
1965,2,23,24.5,16,47.5,113.5,0,3.5,23,94.3,35,0
1966,2.5,3.5,11.5,74.5,122.5,140.5,3.5,16,0,2.5,0,5.5
1967,0,0,12.5,51,0,0,21,446.5,381.5,77.5,7.5,0
1968,8,10.5,0,182.5,94.5,152.5,460.3,53.1,80.7,114.5,36,0
1969,4,12,0,0,40,160,0,287,268.5,107,38,6
1970,10,164,3,18.5,66,22,186,35.5,303,27,0,0
1971,0,0,7,3,36,86.5,67,132,153,112,1,22
1972,12.5,13,43,13,140.5,228.5,96.1,7,99.2,118.2,26.5,8.5
1973,57.5,79.5,0,10,104,551,63,175,199.5,148,21.5,32.5
1974,18.5,0,23.5,2,97.5,46,,30,220,37,2.5,6
1975,31.5,22,19.8,36.5,103,24,172,86,195.5,18,0,52
1976,6,3.3,30.5,153,153,18,250.3,48,85,89,144.5,30.8
1977,17.5,32,16,55,31.5,73.5,2.5,58,103.5,121,14,8.5
1978,26.3,,0,75.5,74,66.7,76.7,66.8,337,158.4,27.8,21.3
1979,18.4,14,9.6,61,25,163.5,67.7,33,60,0,22.5,80.5
1980,21.5,11,1.5,4,154,4,30.5,89.5,70,116.5,47.5,31.5
1981,102,43,25,271.2,158,185.5,88.8,169,137.7,35.5,14,3
1982,0,17,20,99,75.5,6.5,8,7,56,46,15,64
1983,49.5,51,29,0,179,30,65.6,124.5,277.8,74.5,11,26.2
1984,190.6,17.5,,,36.1,28.8,60.3,,,,,
1985,55,22.6,40.7,113.5,39.7,57.3,12.7,38.5,35.6,185.3,39,13
1986,4.2,11.5,7.2,186.8,201.8,161.9,8.3,4.6,195,79.7,66.1,114.2
1987,34.2,40.5,35.4,42.3,111.4,97.3,67,188.4,109.5,12.2,10.6,13
1988,61.5,29.2,12.4,43.2,58.3,191.9,72.8,239.9,235.3,16,1.3,0
1989,43.8,22.5,0.8,23.1,12.1,23.5,88.3,60.1,111.3,6.2,17.1,55.3
1990,1.7,18.3,26.7,36.2,37.3,2.9,42,65,132.5,100.3,11.3,1.7
1991,27.4,26.8,8.6,26.5,50.8,177.5,38.8,12.1,131.6,63.1,14.6,55
1992,118.3,29.9,10.8,91.2,57.8,0.8,0.2,40.4,101.4,66.8,39.9,16.1
1993,10.3,35.4,20.5,65.1,91.1,208,0.3,8.3,271.7,45,26.3,9.7
1994,77.3,17.4,28.9,26.3,65,40.6,61.3,41.2,28.2,21.4,8.9,32.7
1995,17.8,10.4,24.5,8.5,35.5,71.6,29,308,23.9,38.1,30.4,24
1996,12.6,0,4.5,4.3,19.7,15.4,4.5,139.6,71.9,104,10.8,1.7
1997,13.1,26.6,170.9,112.4,125.5,3.7,21.2,5.8,55,192.8,66.8,11.3
1998,3.2,15.1,42.5,0,0,95.1,19.2,119.6,89.4,120.4,73,11.4
1999,0,0,30.8,61,46.8,100.6,188,49.4,65.3,42.7,11,47.1
2000,5.1,11,5.2,19.6,68.4,106.1,24.7,,,241.9,31.3,40
2001,19.4,35.1,48.6,12.2,118.7,33.9,7.6,95.2,292,66.2,92.5,10
2002,5,9.2,1.5,13,4.2,138,180,33.4,64.9,186,78.5,6
2003,29,19.5,12,27,101.5,,,,,203.5,10,11
2004,11.5,7,95.5,173,20.5,36.2,30,48,232,34,17,4.5
2005,17,78,44,2,96,0,252.5,48,50,471,92,8
2006,0,9,19.5,30,49.5,4,104,44,230,,67,75.6
2008,26,13,6,24,40,26,166,135,150,67,3,0
2009,15,8,11,14,47,31,24,50,,,,27.3
2010,40.1,90.7,99,161.1,56.9,254.9,409.9,28.8,382.5,0,0,0
2011,28.7,0.3,0.4,0.1,2.9,136.7,,,,,,
2014,,159.8,146,90,25.3,29.4,3.1,,33.1,93.9,,
2015,,,,,,,,,,,48.7,1
2016,36.8,0,30.5,26.3,283.8,161,5,177,227,36,148,68
2017,42,12,127,92,110,56,48,41,227,145,17,53
2018,44,122,0,96,175,228,91,11,424,135,66,57
