Year,January,February,March,April,May,June,July,August,September,October,November,December
2000,5.4,3,5,24.6,40.9,152.6,0,64.3,32.1,153.1,3.6,11.8
2001,8.5,12.8,8.4,24.9,41.5,31,34.7,67.9,273.6,,14.5,1
2002,10,20.1,0.5,60.8,70.5,116.7,99.6,45.2,153.2,116.1,18,0.5
2003,33.7,17,28.5,18.5,37.6,100,49,100.9,98.2,82.1,0,10
2004,14,12,78,46,36.5,86,70.9,107.6,98.4,93.5,8.5,4
2005,3.5,49.5,40,28,67.5,34,123,46,146,133.5,0,10.5
2006,4.5,0,16,55,49,22.5,32.3,54,138.5,44,24,
2008,1,1,21,38,104,47,61.5,196.5,172,20.5,2,0
2009,9,2,0,10,89,22,16,21,257,46,0,
2010,28,27,6,74,36,34.4,463,10,170,9,0,0
2011,13,0,3,0,,,,,,,,
2014,,,50.4,27.4,83.4,98,145,40.7,402.1,52.51,61.5,14.5
2015,35.5,72,106,64.3,158.8,136.7,40.2,164.9,67.3,173.5,30.4,10.5
2016,20.7,8.7,103.7,52.6,80.2,118.5,62.1,83,95.7,111,86.8,2
2017,12.1,7.5,25.4,51,17,69.7,106.1,98.5,118.8,141.5,8,23.5
2018,36,7.5,30.1,104,87.1,120.7,74.8,30.2,303.9,52,29.5,1.7
