Year,January,February,March,April,May,June,July,August,September,October,November,December
2002,0,0,0,13,152.5,45.5,118.5,67.5,135,123,26,0
2003,20,66,19,37,53,48,48,27,202,266,19.5,0
2004,48,25.5,134,90,0,86,0,190,103,0,,0
2005,50,11,33,7,43,0,27,0,0,85,0,0
2006,0,0,12,0,0,0,23,28,120,48,0,63
2008,2,0,0,18,180,1,162,125,101,18,0,10
2009,0,0,14,0,148,0,0,0,86,37,70,37
2010,93,62,9,88,8.5,197,222,17,102,0,0,0
2011,58,0,0,0,18,27,8,0,0,12,2,74
2012,6,16,4,30,84,52,13,0,110,0,13,5.5
2013,31,8.5,0,59,,,73,59,186,45,19,30
2014,6,0,24,0,68,62.14,8,0,179,30,65,15
2015,36,19,62,45,141,63,50,0,133,139,45,0
2016,45,0,85.6,87.6,120,57,51.5,236.2,127.8,20.5,67.4,80.6
2017,0,4.5,107.6,44.7,110.8,64.6,18,44,458.2,19.7,14,75.7
