Year,January,February,March,April,May,June,July,August,September,October,November,December
1963,13.5,7.5,0,0,0,8.5,35.5,11,22.3,15.4,26.5,62.5
1964,,,,,92,40,41,36,111,26,41,42
1965,14,,6,35,50,148,26,85,97,34,10,69
1966,41,37,6,39,56,66,151,17,18,13,26,5
1967,37,12,42,19,10,7,,,124.5,10,10,2
1968,,118,,,,28,61,66,54,75,13,17
1969,,18,,11,20,24,28,86,36,16,0,10
1970,27,45,0,3,37,73,33,50,35,0,0,0
1971,0,0,0,0,54,118,,111,89,88,17,
1973,,,0,9,,67,,136,134,30,0,0
1974,0,0,46,33,4,18,0,73,0,14,0.4,2
1975,8,0,0,0,13.7,46.8,107,85.1,5,28,0,34
1976,0,0,64.5,29,71,60,192,73.5,88,80.5,153,61.5
1977,17.5,7.5,0,68.5,35.5,37.5,26.5,61,47.5,11,3,0.5
1978,22,0,12,37,69,0,60.5,51,113.5,91,0,9
1979,12,30.5,3,48,70,194,58,61,6,,7,60
1980,8,20,0,5.5,26,39.5,22.5,22.5,28,146,36,14
1981,76,20,16,,,52.3,,107.8,25,,9.9,
1982,0,20.5,0,,61.5,4,21.5,,,,,
1983,0,0,,,,,,,,,,
1987,,,,,,,,89,55,0,26.5,11
1988,38,14,32,50,10,53,75,47,46,0,8,0
1989,0,0,2,14,25,8,22,133,23,0,22,93.5
1990,12,26,,46,60.5,0,97,69,32.5,11,0,3
1991,8,0,8,6,12,89,131,143,21,14,6,101
1992,318,94,14,72,98,0,,,,48,85.3,18.5
1993,6.8,0,4,3.5,20,89.9,39.5,35,51,31,25.5,13.7
1994,0,0,10.8,3.6,,66.5,,45,70,65.5,0,46
1995,11,1,3.5,0,75.5,38,65,49,55,8,13,32
1996,1,10,0,1,45.5,26,16,68.5,86,9,3,1.6
1997,11,20,101.5,71,163,72.5,73,8,32.5,59.5,35,0
1998,0,2,1.5,0,9.5,87,33.5,55,0,13.5,5,0
1999,0,1.1,6,0,17,54.5,15,33,6,25,0,0
2000,0,0,0,0,76.5,93,28.5,63.5,20,24.5,31.5,22.2
2001,8.3,28.5,25.5,37.8,76,39,30,42,106.5,26,25,21.5
2002,20,28,1,36,31.5,45.5,152.5,77,85,123,21,3
2003,43,43.5,2.5,1,76.5,67,97,93.5,157,68,3,
2004,19,19,33,17,42,115.5,81,63,108,15.5,19,0
2005,12,69,21,17,17,0,47,74,8,21,4,18
2006,,0,,39,48,27,70,58,113,77.5,0,25
2007,25.5,3,18,65.5,94,42.5,78.5,38,71,5.5,10,0
2008,0,0,,16,31,11.5,,109.4,48.5,6,0,0
2009,0,0,7.5,,46,39,6,15,187.5,47.5,10,
2010,28.5,72.5,2.5,66.5,,33,111,5,66,1,0,0
2011,2,0,43.5,7,4,2.5,52,9.5,35,7.5,7,0
2012,5,82,52,17,12.5,74.5,41.5,66.5,51,4,10.5,6
2013,27,0,0,0,130.5,68,60.5,42,52.5,71.5,27.5,0
2014,21,2,27,8.5,26.5,89.5,70.5,19.2,99.1,9.5,49,28
2015,10,45,107.5,41.5,91,107,21.5,32.5,47,139.5,15.5,5.5
2016,11.5,1,26,32,95.5,41.5,54,93.5,72,12,63.5,2.5
2017,3.5,2,63.5,25,80.5,18.5,51,32.5,135.5,16,0,43.5
2018,8.51,38.5,0,52,19,56,45.5,17.5,92,27,11.5,13.5
