Year,January,February,March,April,May,June,July,August,September,October,November,December
1985,0,0,4.1,53.2,51.1,26.6,17,13,,40.9,5.1,35.2
1986,0,11.1,8.3,69,,51.9,32.9,1.5,24,108.4,86.6,35.4
1987,41.1,45.6,2.2,26.9,84.9,57.7,67.6,36.3,66.5,0,12.8,2.3
1988,,5.9,8.5,51.2,59.9,23.3,33.3,56.1,52.3,5.4,2.5,0
1989,4.4,0,1.2,32.2,0,34.6,68.1,55.2,18.2,0,39.5,57.5
1990,4.7,51.8,10.2,21.2,97.8,9.5,99.8,43.7,117,66.3,0,6.2
1991,3.1,17.8,0,0,26,70.5,63.2,8.6,43,21.5,1.6,35.3
1992,150.6,20.9,,,165.1,45.5,41.7,38.3,27.3,14.5,25.8,16.7
1993,8.8,5.2,10.7,0,37.2,65.8,13.5,38,49.1,34.6,41.5,12.8
1994,10.7,0,8.8,19.1,67.8,92.2,11,20.6,17.9,40,11.5,39.4
1995,7.5,1.2,7.1,2.3,18.7,32.6,37.2,54.2,3.9,7.5,2.7,20.5
1996,0,10.4,0,5.2,52,18.6,23.1,44.5,70.5,4.3,0,0
1997,26.8,0,57.1,90,70.6,13,52.4,18.3,,,27.1,0
1998,0,0,8.5,3.6,10.3,37.6,,68.8,38.5,21.4,3.6,0
1999,0,0,1.3,2.7,12.4,38.4,32.8,10.4,5.2,12.8,0.5,0
2000,0,0,4,19.5,50.1,13.6,4,54.7,0,,22.3,8.8
2001,15.5,15.5,33.1,37.7,37.6,22.1,45.5,61.3,73.7,12.2,7,5
2002,12,33.3,1,70.5,48.7,32,145.4,51.8,41,96.6,0,2.5
2003,23,26.2,21,5.5,34.5,14.8,60.3,103.5,63.9,92.8,0,
2004,10,13.3,22.3,84.7,24.5,87.2,73.8,61,71.1,7.5,,0
2005,3.5,51.2,54,12.5,38.4,3.8,106.1,11.2,13,49.7,0,8
2006,14.5,0,4.5,59,66.8,6,75,10.5,68.5,63.7,1,34.2
2007,20.5,1,0,16.5,100.8,45.5,76.5,3,41.6,0,8.5,0
2008,10,0,0,21.5,57.5,9.2,,130.7,,5.5,1,1
2009,0,0,10,9.5,59.7,29,31,13.5,59.5,18.7,65,22.7
2010,21,69,2,56,85.5,124,96,8,68.2,0,0,0
2011,12.9,0,1.7,7.3,3.5,2.4,46.9,21,24,12.1,20.5,0
2012,4.5,86.8,10.2,19.3,73,34.9,25.1,46.9,31.5,9.2,5.8,1.2
2013,69.6,,0,4.3,70.1,42.5,45.1,26.4,80.4,43.4,31.8,129.6
2014,7.2,0,35.3,8.5,60.6,64.9,23.8,9.5,94.7,17.5,88.1,21
2015,15.5,27.9,115.4,36.3,112.2,101.6,16.6,21.9,10.9,173.6,1,3.2
2016,37.2,0,25.5,7.5,89.3,40.5,16.8,61.4,5,15.6,,7
2017,2.5,6,50.7,7.7,5.2,25.6,38.6,34.2,55.2,14.2,0,44
2018,18.7,24.6,0,114.5,9.4,15.6,13.2,70.5,114,23.1,19.7,7.8
